,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Energy storage
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated
2024-01-01 01:00:00+01:00,73.8675,651.5575,0.0,,265.985,46.42,3951.135,563.79,0.0,249.6925,2092.24,,2139.5175,
2024-01-01 02:00:00+01:00,73.01,555.765,0.0,,405.3475,46.75,3947.9675,600.18,0.0,250.375,2099.94,,2138.7825,
2024-01-01 03:00:00+01:00,74.545,570.81,0.0,,262.7275,46.8125,3949.3075,594.82,0.0,248.675,2094.645,,2102.0425,
2024-01-01 04:00:00+01:00,74.11,601.4925,0.0,,679.35,46.8125,3951.8975,581.115,0.0,245.8125,2095.72,,2111.5575,
2024-01-01 05:00:00+01:00,72.635,621.78,0.0,,748.64,46.85,3953.29,566.185,0.0,244.6,2097.6425,,2077.0525,
2024-01-01 06:00:00+01:00,71.4575,671.4225,0.0,,178.84,46.85,3952.255,584.6125,0.0,246.7375,2098.1725,,2081.5325,
2024-01-01 07:00:00+01:00,74.1125,688.525,0.0,21.9725,,46.7025,3952.9775,622.98,0.0,242.63,2100.18,,2072.6375,
2024-01-01 08:00:00+01:00,73.49,682.455,0.0,5.37,7.9925,46.5775,3954.13,660.1425,0.055,249.945,2079.3225,,2000.7925,
2024-01-01 09:00:00+01:00,74.87,620.775,0.0,,12.205,46.74,3954.6875,687.08,94.87,246.4825,2096.3025,,1942.8875,
2024-01-01 10:00:00+01:00,74.2925,583.575,0.0,,13.7725,46.9075,3954.9625,708.7225,559.8125,242.9,2094.6575,,1817.8,
2024-01-01 11:00:00+01:00,74.84,611.3475,0.0,,596.1175,46.9825,3954.0225,730.2675,1113.1225,245.3725,2068.7725,,1748.905,
2024-01-01 12:00:00+01:00,74.7025,609.945,0.0,,835.1475,47.3075,3953.55,745.1,1109.325,243.955,2094.2825,,1752.9775,
2024-01-01 13:00:00+01:00,72.8225,618.6675,0.0,,352.2925,47.495,3954.3825,743.3425,894.59,245.0175,2094.3925,,1716.04,
2024-01-01 14:00:00+01:00,74.6925,624.3375,0.0,,342.72,47.4825,3953.765,741.55,666.585,242.345,2051.5375,,1610.63,
2024-01-01 15:00:00+01:00,73.4425,633.8025,0.0,27.34,50.025,47.4675,3949.55,755.745,271.0875,239.7725,1689.49,,1495.8725,
2024-01-01 16:00:00+01:00,74.375,612.9075,0.0,163.3275,0.3975,47.2425,3952.205,716.5275,16.625,243.2925,1237.4475,,1380.895,
2024-01-01 17:00:00+01:00,70.845,777.44,0.0,812.99,,47.0175,3955.0525,678.5475,0.0,247.8425,1297.375,,1165.2575,
2024-01-01 18:00:00+01:00,69.055,622.47,0.0,749.725,,46.9625,3955.44,556.355,0.0,254.6025,1908.9825,,1140.3,
2024-01-01 19:00:00+01:00,73.8925,652.24,0.0,848.905,,46.9725,3956.44,533.5675,0.0,254.7375,1739.4925,,1085.365,
2024-01-01 20:00:00+01:00,74.91,1015.395,45.045,895.0925,,47.23,3956.0125,532.42,0.0,253.975,1371.7575,,1235.115,
2024-01-01 21:00:00+01:00,73.9725,710.26,0.0,708.4425,,47.4525,3954.7975,529.8525,0.0,257.5475,1992.025,,1443.53,
2024-01-01 22:00:00+01:00,72.28,624.975,0.0,49.5775,26.7325,47.56,3955.03,529.01,0.0,258.8825,2003.5525,,1702.36,
2024-01-01 23:00:00+01:00,69.0925,617.3225,0.0,7.2025,37.14,47.7975,3954.7475,571.55,0.0,257.31,2040.04,,1898.9,
2024-01-02 00:00:00+01:00,70.0475,616.27,0.0,,410.8825,47.9775,3952.0075,582.375,0.0,258.6175,2036.6375,,1948.9625,
2024-01-02 01:00:00+01:00,73.2275,620.44,0.0,,853.61,48.195,3951.7425,583.1,0.0,255.2625,1926.9675,,1979.39,
