,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Solar
2024-01-01 01:00:00+01:00,0.0,0.44,930.19,176.13,16.65,94.62,
2024-01-01 02:00:00+01:00,0.0,0.44,925.57,176.69,16.26,91.42,
2024-01-01 03:00:00+01:00,0.0,0.44,926.13,175.89,16.12,97.32,
2024-01-01 04:00:00+01:00,0.0,0.44,908.27,175.38,15.43,105.69,
2024-01-01 05:00:00+01:00,0.0,0.44,926.59,385.24,15.26,100.89,
2024-01-01 06:00:00+01:00,0.0,0.44,924.6,472.7,16.59,102.63,
2024-01-01 07:00:00+01:00,0.0,0.44,945.72,395.17,17.32,105.72,
2024-01-01 08:00:00+01:00,0.0,0.44,945.73,390.92,20.07,113.37,
2024-01-01 09:00:00+01:00,0.0,0.44,952.53,292.28,21.22,123.06,
2024-01-01 10:00:00+01:00,0.0,0.44,950.1,328.51,20.45,122.19,
2024-01-01 11:00:00+01:00,0.0,0.44,952.98,285.16,19.96,119.57,
2024-01-01 12:00:00+01:00,0.0,0.44,946.96,366.97,19.66,120.53,
2024-01-01 13:00:00+01:00,0.0,0.44,940.07,369.89,20.22,121.89,
2024-01-01 14:00:00+01:00,0.0,0.44,944.87,344.27,19.02,128.76,
2024-01-01 15:00:00+01:00,0.0,0.44,943.82,442.2,18.17,133.61,
2024-01-01 16:00:00+01:00,0.0,0.44,951.27,439.75,18.13,136.63,
2024-01-01 17:00:00+01:00,0.0,0.44,944.67,523.65,17.39,134.79,
2024-01-01 18:00:00+01:00,0.0,0.44,947.42,462.8,15.4,138.27,
2024-01-01 19:00:00+01:00,0.0,0.44,943.69,451.12,15.4,136.67,
2024-01-01 20:00:00+01:00,0.0,0.44,939.78,438.51,15.87,126.55,
2024-01-01 21:00:00+01:00,0.0,0.44,935.91,365.71,16.99,124.37,
2024-01-01 22:00:00+01:00,0.0,0.44,927.38,346.96,16.6,123.59,
2024-01-01 23:00:00+01:00,0.0,0.44,927.93,305.17,16.26,124.42,
2024-01-02 00:00:00+01:00,0.0,0.44,938.45,337.55,16.97,124.6,
2024-01-02 01:00:00+01:00,0.0,0.44,913.36,213.4,16.23,135.29,
2024-01-02 02:00:00+01:00,0.0,0.44,921.92,210.02,16.59,132.6,
2024-01-02 03:00:00+01:00,0.0,0.44,931.62,208.73,16.74,125.15,
2024-01-02 04:00:00+01:00,0.0,0.44,938.25,210.69,16.92,113.53,
2024-01-02 05:00:00+01:00,0.0,0.44,940.4,412.53,16.61,106.18,
2024-01-02 06:00:00+01:00,0.0,0.44,960.5,396.11,17.16,109.08,
2024-01-02 07:00:00+01:00,0.0,0.44,969.59,472.47,16.2,105.1,
2024-01-02 08:00:00+01:00,0.0,0.44,996.35,547.25,15.83,120.59,
2024-01-02 09:00:00+01:00,0.0,0.44,1005.72,591.68,15.37,121.54,
2024-01-02 10:00:00+01:00,0.0,0.44,1009.57,794.09,15.45,115.97,
2024-01-02 11:00:00+01:00,0.0,0.44,1016.01,833.5,15.3,116.41,
2024-01-02 12:00:00+01:00,0.0,0.44,1026.83,1052.55,15.04,119.97,
2024-01-02 13:00:00+01:00,0.0,0.44,1030.2,905.0,15.28,108.47,
2024-01-02 14:00:00+01:00,0.0,0.44,1022.08,851.37,14.63,110.36,
2024-01-02 15:00:00+01:00,0.0,0.44,1021.29,940.18,13.31,114.64,
2024-01-02 16:00:00+01:00,0.0,0.44,1029.83,1011.14,13.76,117.84,
2024-01-02 17:00:00+01:00,0.0,0.44,1033.33,987.63,13.59,124.08,
2024-01-02 18:00:00+01:00,0.0,0.44,1008.87,787.19,14.1,125.46,
2024-01-02 19:00:00+01:00,0.0,0.44,1007.21,565.79,15.01,123.69,
2024-01-02 20:00:00+01:00,0.0,0.44,1020.86,581.04,14.34,129.57,
2024-01-02 21:00:00+01:00,0.0,0.44,1006.44,616.19,14.36,133.75,
2024-01-02 22:00:00+01:00,0.0,0.44,988.92,597.62,14.29,138.86,
