,Hydro Water Reservoir,Other,Solar,Wind Onshore
2024-01-01 01:00:00+01:00,2122.24,32.14,0.0,101.9
2024-01-01 02:00:00+01:00,2110.11,35.14,0.0,109.87
2024-01-01 03:00:00+01:00,1976.31,35.14,0.0,111.48
2024-01-01 04:00:00+01:00,1927.37,35.14,0.0,104.99
2024-01-01 05:00:00+01:00,1838.29,35.14,0.0,93.23
2024-01-01 06:00:00+01:00,1868.63,35.14,0.0,90.98
2024-01-01 07:00:00+01:00,1974.38,35.14,0.0,101.77
2024-01-01 08:00:00+01:00,2059.39,35.14,0.0,95.34
2024-01-01 09:00:00+01:00,2190.48,35.14,0.0,93.29
2024-01-01 10:00:00+01:00,2776.94,35.14,0.0,90.35
2024-01-01 11:00:00+01:00,3240.8,33.44,0.0,65.67
2024-01-01 12:00:00+01:00,3247.39,33.44,0.0,63.21
2024-01-01 13:00:00+01:00,3441.52,33.44,0.0,66.9
2024-01-01 14:00:00+01:00,3727.31,33.64,0.0,78.7
2024-01-01 15:00:00+01:00,3878.51,33.64,0.0,87.72
2024-01-01 16:00:00+01:00,4036.65,33.64,0.0,89.86
2024-01-01 17:00:00+01:00,4039.68,33.64,0.0,93.09
2024-01-01 18:00:00+01:00,4000.11,33.64,0.0,105.8
2024-01-01 19:00:00+01:00,3959.96,33.64,0.0,101.78
2024-01-01 20:00:00+01:00,3785.35,33.64,0.0,92.58
2024-01-01 21:00:00+01:00,3478.78,33.64,0.0,94.27
2024-01-01 22:00:00+01:00,3397.42,33.64,0.0,108.48
2024-01-01 23:00:00+01:00,2345.88,33.64,0.0,112.15
2024-01-02 00:00:00+01:00,2209.6,36.14,0.0,116.07
2024-01-02 01:00:00+01:00,2007.23,36.14,0.0,118.58
2024-01-02 02:00:00+01:00,2005.93,36.14,0.0,116.33
2024-01-02 03:00:00+01:00,1988.62,36.14,0.0,104.99
2024-01-02 04:00:00+01:00,2149.57,36.14,0.0,106.04
2024-01-02 05:00:00+01:00,2711.17,36.14,0.0,114.38
2024-01-02 06:00:00+01:00,3033.31,36.14,0.0,125.39
2024-01-02 07:00:00+01:00,3943.56,36.14,0.0,131.61
2024-01-02 08:00:00+01:00,3946.52,36.14,0.0,237.77
2024-01-02 09:00:00+01:00,3958.94,36.14,0.0,247.31
2024-01-02 10:00:00+01:00,3962.52,33.14,0.0,258.72
2024-01-02 11:00:00+01:00,4277.65,33.54,0.0,269.27
2024-01-02 12:00:00+01:00,4316.06,33.54,0.0,274.04
2024-01-02 13:00:00+01:00,4315.71,33.54,0.0,338.01
2024-01-02 14:00:00+01:00,4376.61,34.44,0.0,365.18
2024-01-02 15:00:00+01:00,4336.95,34.44,0.0,352.41
2024-01-02 16:00:00+01:00,4272.19,34.44,0.0,338.21
2024-01-02 17:00:00+01:00,4280.82,34.24,0.0,320.44
2024-01-02 18:00:00+01:00,4143.33,34.24,0.0,342.78
2024-01-02 19:00:00+01:00,3973.69,34.24,0.0,374.43
2024-01-02 20:00:00+01:00,3876.65,34.24,0.0,409.74
2024-01-02 21:00:00+01:00,3116.11,34.24,0.0,415.55
2024-01-02 22:00:00+01:00,2615.2,34.24,0.0,441.69
2024-01-02 23:00:00+01:00,2232.54,34.24,0.0,448.91
2024-01-03 00:00:00+01:00,2497.19,32.14,0.0,463.97
2024-01-03 01:00:00+01:00,2339.74,32.84,0.0,450.47
2024-01-03 02:00:00+01:00,2082.33,33.84,0.0,431.73
2024-01-03 03:00:00+01:00,1969.7,33.84,0.0,435.86
2024-01-03 04:00:00+01:00,2167.82,33.84,0.0,432.27
2024-01-03 05:00:00+01:00,2803.88,33.84,0.0,414.15
2024-01-03 06:00:00+01:00,3208.05,33.84,0.0,398.98
2024-01-03 07:00:00+01:00,3415.05,33.84,0.0,382.82
2024-01-03 08:00:00+01:00,3879.12,33.14,0.0,367.11
2024-01-03 09:00:00+01:00,3881.39,33.14,0.0,369.56
2024-01-03 10:00:00+01:00,3901.41,33.14,0.02,353.43
2024-01-03 11:00:00+01:00,3878.24,33.14,0.1,340.29
2024-01-03 12:00:00+01:00,3858.36,33.14,0.07,342.74
2024-01-03 13:00:00+01:00,3856.83,33.14,0.0,345.93
2024-01-03 14:00:00+01:00,3859.58,33.14,0.0,349.62
2024-01-03 15:00:00+01:00,3940.98,33.14,0.0,382.01
2024-01-03 16:00:00+01:00,3956.69,33.14,0.0,395.29
2024-01-03 17:00:00+01:00,4231.56,33.04,0.0,419.85
2024-01-03 18:00:00+01:00,4266.72,33.04,0.0,505.55
2024-01-03 19:00:00+01:00,4256.36,33.04,0.0,552.45
2024-01-03 20:00:00+01:00,3986.57,33.04,0.0,598.4
2024-01-03 21:00:00+01:00,3976.58,33.04,0.0,601.88
2024-01-03 22:00:00+01:00,3884.97,33.04,0.0,672.33
2024-01-03 23:00:00+01:00,3830.68,32.54,0.0,741.28
2024-01-04 00:00:00+01:00,3619.49,27.64,0.0,721.13
2024-01-04 01:00:00+01:00,3120.08,27.64,0.0,725.81
2024-01-04 02:00:00+01:00,3216.68,29.64,0.0,738.91
2024-01-04 03:00:00+01:00,3340.66,29.64,0.0,730.21
2024-01-04 04:00:00+01:00,3483.67,29.64,0.0,591.36
2024-01-04 05:00:00+01:00,3503.71,29.14,0.0,604.56
2024-01-04 06:00:00+01:00,3749.75,29.14,0.0,628.65
2024-01-04 07:00:00+01:00,3997.52,29.14,0.0,660.31
2024-01-04 08:00:00+01:00,4162.23,29.14,0.0,790.95
2024-01-04 09:00:00+01:00,4131.31,29.14,0.0,841.97
2024-01-04 10:00:00+01:00,4110.54,29.14,0.06,988.54
2024-01-04 11:00:00+01:00,4164.5,28.94,0.13,1045.8
2024-01-04 12:00:00+01:00,4140.39,28.94,0.07,1106.95
2024-01-04 13:00:00+01:00,4139.88,28.94,0.0,1295.42
2024-01-04 14:00:00+01:00,4171.55,28.94,0.0,1343.86
2024-01-04 15:00:00+01:00,4275.51,28.94,0.0,1405.97
2024-01-04 16:00:00+01:00,4353.64,28.94,0.0,1458.05
2024-01-04 17:00:00+01:00,4435.91,28.94,0.0,1471.59
2024-01-04 18:00:00+01:00,4434.86,28.94,0.0,1474.17
2024-01-04 19:00:00+01:00,4436.98,28.94,0.0,1492.63
