,Solar,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,1192.0
2024-01-01 01:15:00+01:00,0.0,1240.0
2024-01-01 01:30:00+01:00,0.0,1292.0
2024-01-01 01:45:00+01:00,0.0,1348.0
2024-01-01 02:00:00+01:00,0.0,1396.0
2024-01-01 02:15:00+01:00,0.0,1452.0
2024-01-01 02:30:00+01:00,0.0,1504.0
2024-01-01 02:45:00+01:00,0.0,1560.0
2024-01-01 03:00:00+01:00,0.0,1604.0
2024-01-01 03:15:00+01:00,0.0,1616.0
2024-01-01 03:30:00+01:00,0.0,1632.0
2024-01-01 03:45:00+01:00,0.0,1644.0
2024-01-01 04:00:00+01:00,0.0,1648.0
2024-01-01 04:15:00+01:00,0.0,1604.0
2024-01-01 04:30:00+01:00,0.0,1544.0
2024-01-01 04:45:00+01:00,0.0,1488.0
2024-01-01 05:00:00+01:00,0.0,1420.0
2024-01-01 05:15:00+01:00,0.0,1344.0
2024-01-01 05:30:00+01:00,0.0,1272.0
2024-01-01 05:45:00+01:00,0.0,1200.0
2024-01-01 06:00:00+01:00,0.0,1132.0
2024-01-01 06:15:00+01:00,0.0,1056.0
2024-01-01 06:30:00+01:00,0.0,980.0
2024-01-01 06:45:00+01:00,0.0,904.0
2024-01-01 07:00:00+01:00,0.0,852.0
2024-01-01 07:15:00+01:00,0.0,824.0
2024-01-01 07:30:00+01:00,0.0,800.0
2024-01-01 07:45:00+01:00,40.0,784.0
2024-01-01 08:00:00+01:00,80.0,768.0
2024-01-01 08:15:00+01:00,88.0,780.0
2024-01-01 08:30:00+01:00,100.0,788.0
2024-01-01 08:45:00+01:00,116.0,796.0
2024-01-01 09:00:00+01:00,136.0,812.0
2024-01-01 09:15:00+01:00,160.0,836.0
2024-01-01 09:30:00+01:00,184.0,864.0
2024-01-01 09:45:00+01:00,212.0,892.0
2024-01-01 10:00:00+01:00,248.0,924.0
2024-01-01 10:15:00+01:00,300.0,956.0
2024-01-01 10:30:00+01:00,356.0,988.0
2024-01-01 10:45:00+01:00,404.0,1020.0
2024-01-01 11:00:00+01:00,440.0,1048.0
2024-01-01 11:15:00+01:00,464.0,1048.0
2024-01-01 11:30:00+01:00,488.0,1048.0
2024-01-01 11:45:00+01:00,516.0,1048.0
2024-01-01 12:00:00+01:00,536.0,1048.0
2024-01-01 12:15:00+01:00,548.0,1068.0
2024-01-01 12:30:00+01:00,552.0,1088.0
2024-01-01 12:45:00+01:00,544.0,1116.0
2024-01-01 13:00:00+01:00,528.0,1136.0
2024-01-01 13:15:00+01:00,508.0,1148.0
2024-01-01 13:30:00+01:00,484.0,1152.0
2024-01-01 13:45:00+01:00,460.0,1160.0
2024-01-01 14:00:00+01:00,432.0,1156.0
2024-01-01 14:15:00+01:00,396.0,1128.0
2024-01-01 14:30:00+01:00,360.0,1100.0
2024-01-01 14:45:00+01:00,320.0,1072.0
2024-01-01 15:00:00+01:00,276.0,1044.0
2024-01-01 15:15:00+01:00,236.0,1016.0
2024-01-01 15:30:00+01:00,200.0,988.0
2024-01-01 15:45:00+01:00,172.0,964.0
2024-01-01 16:00:00+01:00,136.0,940.0
2024-01-01 16:15:00+01:00,12.0,924.0
2024-01-01 16:30:00+01:00,0.0,904.0
2024-01-01 16:45:00+01:00,0.0,888.0
2024-01-01 17:00:00+01:00,0.0,864.0
2024-01-01 17:15:00+01:00,0.0,836.0
2024-01-01 17:30:00+01:00,0.0,812.0
2024-01-01 17:45:00+01:00,0.0,788.0
2024-01-01 18:00:00+01:00,0.0,764.0
2024-01-01 18:15:00+01:00,0.0,748.0
2024-01-01 18:30:00+01:00,0.0,728.0
2024-01-01 18:45:00+01:00,0.0,704.0
2024-01-01 19:00:00+01:00,0.0,684.0
2024-01-01 19:15:00+01:00,0.0,664.0
2024-01-01 19:30:00+01:00,0.0,648.0
2024-01-01 19:45:00+01:00,0.0,632.0
2024-01-01 20:00:00+01:00,0.0,616.0
2024-01-01 20:15:00+01:00,0.0,604.0
2024-01-01 20:30:00+01:00,0.0,596.0
2024-01-01 20:45:00+01:00,0.0,584.0
2024-01-01 21:00:00+01:00,0.0,576.0
2024-01-01 21:15:00+01:00,0.0,568.0
2024-01-01 21:30:00+01:00,0.0,564.0
2024-01-01 21:45:00+01:00,0.0,556.0
2024-01-01 22:00:00+01:00,0.0,556.0
2024-01-01 22:15:00+01:00,0.0,556.0
2024-01-01 22:30:00+01:00,0.0,560.0
2024-01-01 22:45:00+01:00,0.0,564.0
2024-01-01 23:00:00+01:00,0.0,568.0
2024-01-01 23:15:00+01:00,0.0,584.0
2024-01-01 23:30:00+01:00,0.0,596.0
2024-01-01 23:45:00+01:00,0.0,616.0
2024-01-02 00:00:00+01:00,0.0,804.0
2024-01-02 00:15:00+01:00,0.0,780.0
2024-01-02 00:30:00+01:00,0.0,752.0
2024-01-02 00:45:00+01:00,0.0,728.0
2024-01-02 01:00:00+01:00,0.0,696.0
2024-01-02 01:15:00+01:00,0.0,664.0
2024-01-02 01:30:00+01:00,0.0,628.0
2024-01-02 01:45:00+01:00,0.0,596.0
2024-01-02 02:00:00+01:00,0.0,564.0
2024-01-02 02:15:00+01:00,0.0,544.0
2024-01-02 02:30:00+01:00,0.0,524.0
2024-01-02 02:45:00+01:00,0.0,500.0
2024-01-02 03:00:00+01:00,0.0,488.0
2024-01-02 03:15:00+01:00,0.0,480.0
2024-01-02 03:30:00+01:00,0.0,476.0
2024-01-02 03:45:00+01:00,0.0,468.0
2024-01-02 04:00:00+01:00,0.0,464.0
2024-01-02 04:15:00+01:00,0.0,464.0
2024-01-02 04:30:00+01:00,0.0,468.0
2024-01-02 04:45:00+01:00,0.0,472.0
2024-01-02 05:00:00+01:00,0.0,488.0
2024-01-02 05:15:00+01:00,0.0,524.0
2024-01-02 05:30:00+01:00,0.0,560.0
2024-01-02 05:45:00+01:00,0.0,596.0
2024-01-02 06:00:00+01:00,0.0,636.0
2024-01-02 06:15:00+01:00,0.0,684.0
2024-01-02 06:30:00+01:00,0.0,732.0
2024-01-02 06:45:00+01:00,0.0,776.0
2024-01-02 07:00:00+01:00,0.0,812.0
2024-01-02 07:15:00+01:00,0.0,848.0
2024-01-02 07:30:00+01:00,0.0,892.0
2024-01-02 07:45:00+01:00,40.0,936.0
2024-01-02 08:00:00+01:00,80.0,984.0
2024-01-02 08:15:00+01:00,92.0,1020.0
2024-01-02 08:30:00+01:00,104.0,1060.0
2024-01-02 08:45:00+01:00,120.0,1096.0
2024-01-02 09:00:00+01:00,140.0,1132.0
2024-01-02 09:15:00+01:00,168.0,1184.0
2024-01-02 09:30:00+01:00,188.0,1232.0
2024-01-02 09:45:00+01:00,212.0,1284.0
2024-01-02 10:00:00+01:00,232.0,1332.0
2024-01-02 10:15:00+01:00,256.0,1348.0
2024-01-02 10:30:00+01:00,280.0,1368.0
2024-01-02 10:45:00+01:00,304.0,1392.0
2024-01-02 11:00:00+01:00,324.0,1412.0
2024-01-02 11:15:00+01:00,340.0,1356.0
2024-01-02 11:30:00+01:00,352.0,1316.0
2024-01-02 11:45:00+01:00,364.0,1272.0
2024-01-02 12:00:00+01:00,368.0,1220.0
2024-01-02 12:15:00+01:00,368.0,1152.0
2024-01-02 12:30:00+01:00,364.0,1088.0
2024-01-02 12:45:00+01:00,356.0,1032.0
2024-01-02 13:00:00+01:00,344.0,988.0
2024-01-02 13:15:00+01:00,324.0,952.0
2024-01-02 13:30:00+01:00,308.0,916.0
2024-01-02 13:45:00+01:00,288.0,880.0
2024-01-02 14:00:00+01:00,264.0,848.0
2024-01-02 14:15:00+01:00,240.0,836.0
2024-01-02 14:30:00+01:00,216.0,828.0
2024-01-02 14:45:00+01:00,192.0,816.0
2024-01-02 15:00:00+01:00,168.0,804.0
2024-01-02 15:15:00+01:00,144.0,796.0
2024-01-02 15:30:00+01:00,128.0,784.0
2024-01-02 15:45:00+01:00,112.0,776.0
2024-01-02 16:00:00+01:00,100.0,768.0
2024-01-02 16:15:00+01:00,16.0,768.0
2024-01-02 16:30:00+01:00,0.0,768.0
2024-01-02 16:45:00+01:00,0.0,768.0
2024-01-02 17:00:00+01:00,0.0,772.0
2024-01-02 17:15:00+01:00,0.0,788.0
2024-01-02 17:30:00+01:00,0.0,804.0
2024-01-02 17:45:00+01:00,0.0,824.0
2024-01-02 18:00:00+01:00,0.0,840.0
2024-01-02 18:15:00+01:00,0.0,844.0
2024-01-02 18:30:00+01:00,0.0,852.0
2024-01-02 18:45:00+01:00,0.0,860.0
2024-01-02 19:00:00+01:00,0.0,868.0
2024-01-02 19:15:00+01:00,0.0,876.0
2024-01-02 19:30:00+01:00,0.0,888.0
2024-01-02 19:45:00+01:00,0.0,900.0
2024-01-02 20:00:00+01:00,0.0,916.0
2024-01-02 20:15:00+01:00,0.0,944.0
2024-01-02 20:30:00+01:00,0.0,968.0
2024-01-02 20:45:00+01:00,0.0,996.0
2024-01-02 21:00:00+01:00,0.0,1020.0
2024-01-02 21:15:00+01:00,0.0,1036.0
2024-01-02 21:30:00+01:00,0.0,1052.0
2024-01-02 21:45:00+01:00,0.0,1068.0
2024-01-02 22:00:00+01:00,0.0,1084.0
2024-01-02 22:15:00+01:00,0.0,1100.0
2024-01-02 22:30:00+01:00,0.0,1116.0
2024-01-02 22:45:00+01:00,0.0,1132.0
2024-01-02 23:00:00+01:00,0.0,1140.0
2024-01-02 23:15:00+01:00,0.0,1148.0
2024-01-02 23:30:00+01:00,0.0,1152.0
2024-01-02 23:45:00+01:00,0.0,1156.0
2024-01-03 00:00:00+01:00,0.0,1180.0
2024-01-03 00:15:00+01:00,0.0,1180.0
2024-01-03 00:30:00+01:00,0.0,1180.0
2024-01-03 00:45:00+01:00,0.0,1180.0
2024-01-03 01:00:00+01:00,0.0,1172.0
2024-01-03 01:15:00+01:00,0.0,1160.0
2024-01-03 01:30:00+01:00,0.0,1144.0
2024-01-03 01:45:00+01:00,0.0,1128.0
2024-01-03 02:00:00+01:00,0.0,1112.0
2024-01-03 02:15:00+01:00,0.0,1104.0
2024-01-03 02:30:00+01:00,0.0,1096.0
2024-01-03 02:45:00+01:00,0.0,1088.0
2024-01-03 03:00:00+01:00,0.0,1076.0
2024-01-03 03:15:00+01:00,0.0,1048.0
2024-01-03 03:30:00+01:00,0.0,1020.0
2024-01-03 03:45:00+01:00,0.0,992.0
2024-01-03 04:00:00+01:00,0.0,968.0
2024-01-03 04:15:00+01:00,0.0,960.0
2024-01-03 04:30:00+01:00,0.0,964.0
2024-01-03 04:45:00+01:00,0.0,972.0
2024-01-03 05:00:00+01:00,0.0,992.0
2024-01-03 05:15:00+01:00,0.0,1040.0
2024-01-03 05:30:00+01:00,0.0,1088.0
2024-01-03 05:45:00+01:00,0.0,1132.0
2024-01-03 06:00:00+01:00,0.0,1184.0
2024-01-03 06:15:00+01:00,0.0,1256.0
2024-01-03 06:30:00+01:00,0.0,1328.0
2024-01-03 06:45:00+01:00,0.0,1400.0
2024-01-03 07:00:00+01:00,0.0,1440.0
2024-01-03 07:15:00+01:00,0.0,1456.0
2024-01-03 07:30:00+01:00,0.0,1472.0
2024-01-03 07:45:00+01:00,28.0,1504.0
2024-01-03 08:00:00+01:00,76.0,1540.0
2024-01-03 08:15:00+01:00,88.0,1552.0
2024-01-03 08:30:00+01:00,104.0,1564.0
2024-01-03 08:45:00+01:00,124.0,1576.0
2024-01-03 09:00:00+01:00,148.0,1592.0
2024-01-03 09:15:00+01:00,180.0,1604.0
2024-01-03 09:30:00+01:00,208.0,1612.0
2024-01-03 09:45:00+01:00,244.0,1624.0
2024-01-03 10:00:00+01:00,280.0,1628.0
2024-01-03 10:15:00+01:00,324.0,1616.0
2024-01-03 10:30:00+01:00,372.0,1604.0
2024-01-03 10:45:00+01:00,408.0,1592.0
2024-01-03 11:00:00+01:00,440.0,1584.0
2024-01-03 11:15:00+01:00,464.0,1580.0
2024-01-03 11:30:00+01:00,488.0,1576.0
2024-01-03 11:45:00+01:00,512.0,1576.0
2024-01-03 12:00:00+01:00,528.0,1560.0
2024-01-03 12:15:00+01:00,536.0,1528.0
2024-01-03 12:30:00+01:00,532.0,1496.0
2024-01-03 12:45:00+01:00,524.0,1464.0
2024-01-03 13:00:00+01:00,512.0,1440.0
2024-01-03 13:15:00+01:00,496.0,1416.0
2024-01-03 13:30:00+01:00,476.0,1392.0
2024-01-03 13:45:00+01:00,452.0,1368.0
2024-01-03 14:00:00+01:00,424.0,1332.0
2024-01-03 14:15:00+01:00,392.0,1268.0
2024-01-03 14:30:00+01:00,360.0,1204.0
2024-01-03 14:45:00+01:00,320.0,1140.0
2024-01-03 15:00:00+01:00,276.0,1084.0
2024-01-03 15:15:00+01:00,236.0,1048.0
2024-01-03 15:30:00+01:00,200.0,1008.0
2024-01-03 15:45:00+01:00,168.0,972.0
2024-01-03 16:00:00+01:00,136.0,948.0
2024-01-03 16:15:00+01:00,20.0,944.0
2024-01-03 16:30:00+01:00,0.0,940.0
2024-01-03 16:45:00+01:00,0.0,936.0
2024-01-03 17:00:00+01:00,0.0,940.0
2024-01-03 17:15:00+01:00,0.0,952.0
2024-01-03 17:30:00+01:00,0.0,968.0
2024-01-03 17:45:00+01:00,0.0,984.0
2024-01-03 18:00:00+01:00,0.0,1000.0
2024-01-03 18:15:00+01:00,0.0,1020.0
2024-01-03 18:30:00+01:00,0.0,1036.0
2024-01-03 18:45:00+01:00,0.0,1056.0
2024-01-03 19:00:00+01:00,0.0,1064.0
2024-01-03 19:15:00+01:00,0.0,1064.0
2024-01-03 19:30:00+01:00,0.0,1064.0
2024-01-03 19:45:00+01:00,0.0,1068.0
2024-01-03 20:00:00+01:00,0.0,1064.0
2024-01-03 20:15:00+01:00,0.0,1060.0
2024-01-03 20:30:00+01:00,0.0,1052.0
2024-01-03 20:45:00+01:00,0.0,1044.0
2024-01-03 21:00:00+01:00,0.0,1040.0
2024-01-03 21:15:00+01:00,0.0,1036.0
2024-01-03 21:30:00+01:00,0.0,1028.0
2024-01-03 21:45:00+01:00,0.0,1024.0
2024-01-03 22:00:00+01:00,0.0,1020.0
2024-01-03 22:15:00+01:00,0.0,1032.0
2024-01-03 22:30:00+01:00,0.0,1044.0
2024-01-03 22:45:00+01:00,0.0,1056.0
2024-01-03 23:00:00+01:00,0.0,1064.0
2024-01-03 23:15:00+01:00,0.0,1064.0
2024-01-03 23:30:00+01:00,0.0,1068.0
2024-01-03 23:45:00+01:00,0.0,1068.0
2024-01-04 00:00:00+01:00,0.0,1292.0
2024-01-04 00:15:00+01:00,0.0,1308.0
2024-01-04 00:30:00+01:00,0.0,1324.0
2024-01-04 00:45:00+01:00,0.0,1348.0
2024-01-04 01:00:00+01:00,0.0,1396.0
2024-01-04 01:15:00+01:00,0.0,1460.0
2024-01-04 01:30:00+01:00,0.0,1524.0
2024-01-04 01:45:00+01:00,0.0,1580.0
2024-01-04 02:00:00+01:00,0.0,1644.0
2024-01-04 02:15:00+01:00,0.0,1688.0
2024-01-04 02:30:00+01:00,0.0,1736.0
2024-01-04 02:45:00+01:00,0.0,1784.0
2024-01-04 03:00:00+01:00,0.0,1852.0
2024-01-04 03:15:00+01:00,0.0,1896.0
2024-01-04 03:30:00+01:00,0.0,1936.0
2024-01-04 03:45:00+01:00,0.0,1976.0
2024-01-04 04:00:00+01:00,0.0,1992.0
2024-01-04 04:15:00+01:00,0.0,1988.0
2024-01-04 04:30:00+01:00,0.0,2000.0
2024-01-04 04:45:00+01:00,0.0,2020.0
2024-01-04 05:00:00+01:00,0.0,2048.0
2024-01-04 05:15:00+01:00,0.0,2072.0
2024-01-04 05:30:00+01:00,0.0,2096.0
2024-01-04 05:45:00+01:00,0.0,2120.0
2024-01-04 06:00:00+01:00,0.0,2144.0
2024-01-04 06:15:00+01:00,0.0,2172.0
2024-01-04 06:30:00+01:00,0.0,2196.0
2024-01-04 06:45:00+01:00,0.0,2224.0
2024-01-04 07:00:00+01:00,0.0,2228.0
2024-01-04 07:15:00+01:00,0.0,2220.0
2024-01-04 07:30:00+01:00,0.0,2212.0
2024-01-04 07:45:00+01:00,40.0,2212.0
2024-01-04 08:00:00+01:00,80.0,2236.0
2024-01-04 08:15:00+01:00,96.0,2272.0
2024-01-04 08:30:00+01:00,112.0,2304.0
2024-01-04 08:45:00+01:00,136.0,2336.0
2024-01-04 09:00:00+01:00,164.0,2380.0
2024-01-04 09:15:00+01:00,200.0,2424.0
2024-01-04 09:30:00+01:00,232.0,2468.0
2024-01-04 09:45:00+01:00,268.0,2512.0
2024-01-04 10:00:00+01:00,308.0,2552.0
2024-01-04 10:15:00+01:00,352.0,2572.0
2024-01-04 10:30:00+01:00,396.0,2596.0
2024-01-04 10:45:00+01:00,432.0,2624.0
2024-01-04 11:00:00+01:00,468.0,2652.0
2024-01-04 11:15:00+01:00,500.0,2676.0
2024-01-04 11:30:00+01:00,528.0,2704.0
2024-01-04 11:45:00+01:00,552.0,2728.0
2024-01-04 12:00:00+01:00,572.0,2752.0
2024-01-04 12:15:00+01:00,584.0,2784.0
2024-01-04 12:30:00+01:00,584.0,2816.0
2024-01-04 12:45:00+01:00,580.0,2852.0
2024-01-04 13:00:00+01:00,568.0,2880.0
2024-01-04 13:15:00+01:00,552.0,2888.0
2024-01-04 13:30:00+01:00,532.0,2892.0
2024-01-04 13:45:00+01:00,512.0,2900.0
2024-01-04 14:00:00+01:00,484.0,2912.0
2024-01-04 14:15:00+01:00,452.0,2952.0
2024-01-04 14:30:00+01:00,416.0,2988.0
2024-01-04 14:45:00+01:00,372.0,3028.0
2024-01-04 15:00:00+01:00,324.0,3068.0
2024-01-04 15:15:00+01:00,276.0,3028.0
2024-01-04 15:30:00+01:00,232.0,2988.0
2024-01-04 15:45:00+01:00,196.0,2952.0
2024-01-04 16:00:00+01:00,168.0,2920.0
2024-01-04 16:15:00+01:00,24.0,2892.0
2024-01-04 16:30:00+01:00,0.0,2868.0
2024-01-04 16:45:00+01:00,0.0,2840.0
2024-01-04 17:00:00+01:00,0.0,2812.0
2024-01-04 17:15:00+01:00,0.0,2784.0
2024-01-04 17:30:00+01:00,0.0,2756.0
2024-01-04 17:45:00+01:00,0.0,2728.0
2024-01-04 18:00:00+01:00,0.0,2704.0
2024-01-04 18:15:00+01:00,0.0,2684.0
2024-01-04 18:30:00+01:00,0.0,2664.0
2024-01-04 18:45:00+01:00,0.0,2644.0
2024-01-04 19:00:00+01:00,0.0,2616.0
2024-01-04 19:15:00+01:00,0.0,2580.0
2024-01-04 19:30:00+01:00,0.0,2548.0
2024-01-04 19:45:00+01:00,0.0,2516.0
2024-01-04 20:00:00+01:00,0.0,2476.0
2024-01-04 20:15:00+01:00,0.0,2440.0
2024-01-04 20:30:00+01:00,0.0,2400.0
2024-01-04 20:45:00+01:00,0.0,2360.0
2024-01-04 21:00:00+01:00,0.0,2316.0
2024-01-04 21:15:00+01:00,0.0,2252.0
2024-01-04 21:30:00+01:00,0.0,2192.0
2024-01-04 21:45:00+01:00,0.0,2132.0
2024-01-04 22:00:00+01:00,0.0,2080.0
2024-01-04 22:15:00+01:00,0.0,2032.0
2024-01-04 22:30:00+01:00,0.0,1988.0
2024-01-04 22:45:00+01:00,0.0,1940.0
2024-01-04 23:00:00+01:00,0.0,1892.0
2024-01-04 23:15:00+01:00,0.0,1848.0
2024-01-04 23:30:00+01:00,0.0,1800.0
2024-01-04 23:45:00+01:00,0.0,1752.0
2024-01-05 00:00:00+01:00,0.0,1468.0
2024-01-05 00:15:00+01:00,0.0,1400.0
2024-01-05 00:30:00+01:00,0.0,1340.0
2024-01-05 00:45:00+01:00,0.0,1280.0
2024-01-05 01:00:00+01:00,0.0,1220.0
2024-01-05 01:15:00+01:00,0.0,1160.0
2024-01-05 01:30:00+01:00,0.0,1096.0
2024-01-05 01:45:00+01:00,0.0,1028.0
2024-01-05 02:00:00+01:00,0.0,968.0
2024-01-05 02:15:00+01:00,0.0,900.0
2024-01-05 02:30:00+01:00,0.0,832.0
2024-01-05 02:45:00+01:00,0.0,768.0
2024-01-05 03:00:00+01:00,0.0,708.0
2024-01-05 03:15:00+01:00,0.0,652.0
2024-01-05 03:30:00+01:00,0.0,596.0
2024-01-05 03:45:00+01:00,0.0,540.0
2024-01-05 04:00:00+01:00,0.0,484.0
2024-01-05 04:15:00+01:00,0.0,432.0
2024-01-05 04:30:00+01:00,0.0,376.0
2024-01-05 04:45:00+01:00,0.0,320.0
2024-01-05 05:00:00+01:00,0.0,276.0
2024-01-05 05:15:00+01:00,0.0,252.0
2024-01-05 05:30:00+01:00,0.0,228.0
2024-01-05 05:45:00+01:00,0.0,204.0
2024-01-05 06:00:00+01:00,0.0,192.0
2024-01-05 06:15:00+01:00,0.0,208.0
2024-01-05 06:30:00+01:00,0.0,220.0
2024-01-05 06:45:00+01:00,0.0,236.0
2024-01-05 07:00:00+01:00,0.0,256.0
2024-01-05 07:15:00+01:00,0.0,292.0
2024-01-05 07:30:00+01:00,0.0,328.0
2024-01-05 07:45:00+01:00,40.0,364.0
2024-01-05 08:00:00+01:00,76.0,396.0
2024-01-05 08:15:00+01:00,84.0,420.0
2024-01-05 08:30:00+01:00,96.0,440.0
2024-01-05 08:45:00+01:00,112.0,464.0
2024-01-05 09:00:00+01:00,132.0,480.0
2024-01-05 09:15:00+01:00,156.0,508.0
2024-01-05 09:30:00+01:00,176.0,532.0
2024-01-05 09:45:00+01:00,196.0,556.0
2024-01-05 10:00:00+01:00,220.0,572.0
2024-01-05 10:15:00+01:00,244.0,564.0
2024-01-05 10:30:00+01:00,268.0,556.0
2024-01-05 10:45:00+01:00,292.0,548.0
2024-01-05 11:00:00+01:00,312.0,544.0
2024-01-05 11:15:00+01:00,328.0,524.0
2024-01-05 11:30:00+01:00,344.0,508.0
2024-01-05 11:45:00+01:00,360.0,492.0
2024-01-05 12:00:00+01:00,368.0,476.0
2024-01-05 12:15:00+01:00,372.0,476.0
2024-01-05 12:30:00+01:00,372.0,476.0
2024-01-05 12:45:00+01:00,364.0,480.0
2024-01-05 13:00:00+01:00,356.0,480.0
2024-01-05 13:15:00+01:00,344.0,480.0
2024-01-05 13:30:00+01:00,324.0,480.0
2024-01-05 13:45:00+01:00,308.0,476.0
2024-01-05 14:00:00+01:00,288.0,468.0
2024-01-05 14:15:00+01:00,264.0,456.0
2024-01-05 14:30:00+01:00,240.0,444.0
2024-01-05 14:45:00+01:00,216.0,436.0
2024-01-05 15:00:00+01:00,188.0,420.0
2024-01-05 15:15:00+01:00,160.0,408.0
2024-01-05 15:30:00+01:00,140.0,400.0
2024-01-05 15:45:00+01:00,124.0,388.0
2024-01-05 16:00:00+01:00,116.0,376.0
2024-01-05 16:15:00+01:00,24.0,368.0
2024-01-05 16:30:00+01:00,4.0,360.0
2024-01-05 16:45:00+01:00,0.0,352.0
2024-01-05 17:00:00+01:00,0.0,340.0
2024-01-05 17:15:00+01:00,0.0,332.0
2024-01-05 17:30:00+01:00,0.0,320.0
2024-01-05 17:45:00+01:00,0.0,312.0
2024-01-05 18:00:00+01:00,0.0,296.0
2024-01-05 18:15:00+01:00,0.0,284.0
2024-01-05 18:30:00+01:00,0.0,272.0
2024-01-05 18:45:00+01:00,0.0,260.0
2024-01-05 19:00:00+01:00,0.0,248.0
2024-01-05 19:15:00+01:00,0.0,244.0
2024-01-05 19:30:00+01:00,0.0,236.0
2024-01-05 19:45:00+01:00,0.0,228.0
2024-01-05 20:00:00+01:00,0.0,224.0
2024-01-05 20:15:00+01:00,0.0,216.0
2024-01-05 20:30:00+01:00,0.0,212.0
2024-01-05 20:45:00+01:00,0.0,208.0
2024-01-05 21:00:00+01:00,0.0,204.0
2024-01-05 21:15:00+01:00,0.0,196.0
2024-01-05 21:30:00+01:00,0.0,196.0
2024-01-05 21:45:00+01:00,0.0,192.0
2024-01-05 22:00:00+01:00,0.0,188.0
2024-01-05 22:15:00+01:00,0.0,188.0
2024-01-05 22:30:00+01:00,0.0,188.0
2024-01-05 22:45:00+01:00,0.0,188.0
2024-01-05 23:00:00+01:00,0.0,188.0
2024-01-05 23:15:00+01:00,0.0,184.0
2024-01-05 23:30:00+01:00,0.0,184.0
2024-01-05 23:45:00+01:00,0.0,180.0
