,Solar,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,5131.94,29893.24
2024-01-01 01:15:00+01:00,0.0,5084.57,29844.21
2024-01-01 01:30:00+01:00,0.0,5048.39,29803.73
2024-01-01 01:45:00+01:00,0.0,5007.35,29777.85
2024-01-01 02:00:00+01:00,0.0,4959.78,29689.34
2024-01-01 02:15:00+01:00,0.0,4941.65,29673.85
2024-01-01 02:30:00+01:00,0.0,4921.45,29638.48
2024-01-01 02:45:00+01:00,0.0,4906.29,29576.7
2024-01-01 03:00:00+01:00,0.0,4815.75,29482.82
2024-01-01 03:15:00+01:00,0.0,4782.59,29400.06
2024-01-01 03:30:00+01:00,0.0,4743.15,29343.22
2024-01-01 03:45:00+01:00,0.0,4706.12,29277.87
2024-01-01 04:00:00+01:00,0.0,4653.2,29271.13
2024-01-01 04:15:00+01:00,0.0,4600.17,29211.67
2024-01-01 04:30:00+01:00,0.0,4545.15,29166.43
2024-01-01 04:45:00+01:00,0.0,4486.99,29125.46
2024-01-01 05:00:00+01:00,0.0,4426.2,29118.17
2024-01-01 05:15:00+01:00,0.0,4383.42,29192.14
2024-01-01 05:30:00+01:00,0.0,4333.38,29243.12
2024-01-01 05:45:00+01:00,0.0,4288.99,29307.4
2024-01-01 06:00:00+01:00,0.0,4252.95,29473.2
2024-01-01 06:15:00+01:00,0.0,4215.51,29584.05
2024-01-01 06:30:00+01:00,0.0,4179.39,29700.67
2024-01-01 06:45:00+01:00,0.0,4144.09,29810.81
2024-01-01 07:00:00+01:00,0.0,4151.79,29837.02
2024-01-01 07:15:00+01:00,0.0,4147.27,29847.95
2024-01-01 07:30:00+01:00,0.0,4140.56,29866.08
2024-01-01 07:45:00+01:00,0.0,4136.85,29892.28
2024-01-01 08:00:00+01:00,52.58,4125.73,30049.6
2024-01-01 08:15:00+01:00,297.97,4159.04,30107.95
2024-01-01 08:30:00+01:00,771.66,4166.31,30168.13
2024-01-01 08:45:00+01:00,1421.62,4216.49,30189.4
2024-01-01 09:00:00+01:00,2180.85,4224.67,30200.09
2024-01-01 09:15:00+01:00,3047.71,4231.6,30168.61
2024-01-01 09:30:00+01:00,3964.72,4234.37,30105.11
2024-01-01 09:45:00+01:00,4825.5,4244.87,30080.43
2024-01-01 10:00:00+01:00,5596.51,4249.53,30064.28
2024-01-01 10:15:00+01:00,6318.94,4237.76,30105.79
2024-01-01 10:30:00+01:00,6941.33,4203.12,30108.8
2024-01-01 10:45:00+01:00,7430.03,4211.43,30150.41
2024-01-01 11:00:00+01:00,7810.81,4218.84,30184.37
2024-01-01 11:15:00+01:00,8112.04,4242.25,30259.41
2024-01-01 11:30:00+01:00,8300.11,4245.85,30306.57
2024-01-01 11:45:00+01:00,8368.16,4240.41,30373.5
2024-01-01 12:00:00+01:00,8353.38,4237.02,30404.39
2024-01-01 12:15:00+01:00,8235.61,4242.95,30406.39
2024-01-01 12:30:00+01:00,8043.35,4250.65,30412.41
2024-01-01 12:45:00+01:00,7784.92,4253.85,30448.9
2024-01-01 13:00:00+01:00,7494.66,4259.03,30414.15
2024-01-01 13:15:00+01:00,7151.81,4271.79,30233.71
2024-01-01 13:30:00+01:00,6738.72,4286.78,30028.68
2024-01-01 13:45:00+01:00,6240.67,4300.21,29785.36
2024-01-01 14:00:00+01:00,5666.38,4306.02,29558.57
2024-01-01 14:15:00+01:00,5010.56,4301.38,29349.53
2024-01-01 14:30:00+01:00,4274.0,4291.74,29135.38
2024-01-01 14:45:00+01:00,3509.89,4282.37,28907.48
2024-01-01 15:00:00+01:00,2775.18,4278.48,28641.42
2024-01-01 15:15:00+01:00,2054.77,4248.96,28341.47
2024-01-01 15:30:00+01:00,1369.38,4208.03,28034.67
2024-01-01 15:45:00+01:00,768.72,4161.49,27730.05
2024-01-01 16:00:00+01:00,329.84,3985.98,27455.07
2024-01-01 16:15:00+01:00,105.77,3994.84,27346.81
2024-01-01 16:30:00+01:00,27.0,4033.05,27232.44
2024-01-01 16:45:00+01:00,7.34,4047.4,27116.88
2024-01-01 17:00:00+01:00,0.0,4262.03,27012.82
2024-01-01 17:15:00+01:00,0.0,4280.99,26989.06
2024-01-01 17:30:00+01:00,0.0,4363.65,26964.45
2024-01-01 17:45:00+01:00,0.0,4437.18,26937.85
2024-01-01 18:00:00+01:00,0.0,4505.68,26900.94
2024-01-01 18:15:00+01:00,0.0,4510.82,26825.64
2024-01-01 18:30:00+01:00,0.0,4503.52,26748.61
2024-01-01 18:45:00+01:00,0.0,4563.31,26674.1
2024-01-01 19:00:00+01:00,0.0,4553.27,26564.78
2024-01-01 19:15:00+01:00,0.0,4542.38,26384.78
2024-01-01 19:30:00+01:00,0.0,4520.09,26221.73
2024-01-01 19:45:00+01:00,0.0,4497.3,26104.0
2024-01-01 20:00:00+01:00,0.0,4469.35,25951.69
2024-01-01 20:15:00+01:00,0.0,4436.34,25738.74
2024-01-01 20:30:00+01:00,0.0,4397.7,25469.66
2024-01-01 20:45:00+01:00,0.0,4366.96,25175.89
2024-01-01 21:00:00+01:00,0.0,4317.54,24848.05
2024-01-01 21:15:00+01:00,0.0,4275.0,24474.06
2024-01-01 21:30:00+01:00,0.0,4221.89,24106.63
2024-01-01 21:45:00+01:00,0.0,4185.84,23743.67
2024-01-01 22:00:00+01:00,0.0,4129.28,23232.2
2024-01-01 22:15:00+01:00,0.0,4041.24,22877.38
2024-01-01 22:30:00+01:00,0.0,3940.98,22526.77
2024-01-01 22:45:00+01:00,0.0,3841.65,22173.15
