,Solar,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,953.13,1447.21
2024-01-01 02:00:00+01:00,0.0,923.58,1351.79
2024-01-01 03:00:00+01:00,0.0,898.67,1314.13
2024-01-01 04:00:00+01:00,0.0,871.25,1196.17
2024-01-01 05:00:00+01:00,0.01,844.0,1032.04
2024-01-01 06:00:00+01:00,0.03,829.25,851.75
2024-01-01 07:00:00+01:00,0.04,820.0,773.25
2024-01-01 08:00:00+01:00,0.25,815.08,856.67
2024-01-01 09:00:00+01:00,5.02,797.71,883.46
2024-01-01 10:00:00+01:00,21.45,755.17,846.83
2024-01-01 11:00:00+01:00,35.07,712.13,855.88
2024-01-01 12:00:00+01:00,39.33,673.5,788.29
2024-01-01 13:00:00+01:00,34.0,629.04,752.67
2024-01-01 14:00:00+01:00,19.31,585.92,743.58
2024-01-01 15:00:00+01:00,3.25,559.08,770.13
2024-01-01 16:00:00+01:00,0.12,543.54,823.88
2024-01-01 17:00:00+01:00,0.04,549.46,833.08
2024-01-01 18:00:00+01:00,0.03,585.67,790.5
2024-01-01 19:00:00+01:00,0.01,628.83,819.46
2024-01-01 20:00:00+01:00,0.0,650.0,880.38
2024-01-01 21:00:00+01:00,0.0,671.58,932.96
2024-01-01 22:00:00+01:00,0.0,701.17,959.92
2024-01-01 23:00:00+01:00,0.0,731.71,975.63
2024-01-02 00:00:00+01:00,0.0,708.42,1352.71
2024-01-02 01:00:00+01:00,0.0,688.29,1295.04
2024-01-02 02:00:00+01:00,0.0,682.54,1270.25
2024-01-02 03:00:00+01:00,0.0,702.54,1316.33
2024-01-02 04:00:00+01:00,0.0,767.92,1311.08
2024-01-02 05:00:00+01:00,0.01,855.63,1258.92
2024-01-02 06:00:00+01:00,0.03,937.63,1163.96
2024-01-02 07:00:00+01:00,0.05,989.5,1205.0
2024-01-02 08:00:00+01:00,0.22,1005.42,1561.79
2024-01-02 09:00:00+01:00,4.91,1007.67,1882.5
2024-01-02 10:00:00+01:00,21.75,1009.0,2068.79
2024-01-02 11:00:00+01:00,35.45,1009.0,2360.83
2024-01-02 12:00:00+01:00,39.77,1009.0,2422.92
2024-01-02 13:00:00+01:00,34.51,1009.0,2438.29
2024-01-02 14:00:00+01:00,19.87,1009.0,2489.96
2024-01-02 15:00:00+01:00,3.35,1008.38,2498.79
2024-01-02 16:00:00+01:00,0.08,1006.67,2582.04
2024-01-02 17:00:00+01:00,0.05,1004.75,2576.67
2024-01-02 18:00:00+01:00,0.03,1002.63,2362.42
2024-01-02 19:00:00+01:00,0.01,998.96,2348.83
2024-01-02 20:00:00+01:00,0.0,989.88,2433.0
2024-01-02 21:00:00+01:00,0.0,977.33,2505.17
2024-01-02 22:00:00+01:00,0.0,970.17,2500.79
2024-01-02 23:00:00+01:00,0.0,963.83,2475.29
2024-01-03 00:00:00+01:00,0.0,960.38,2801.54
2024-01-03 01:00:00+01:00,0.0,949.67,2680.38
2024-01-03 02:00:00+01:00,0.0,941.0,2632.63
2024-01-03 03:00:00+01:00,0.0,932.25,2596.79
2024-01-03 04:00:00+01:00,0.0,923.38,2513.13
2024-01-03 05:00:00+01:00,0.01,910.17,2294.63
2024-01-03 06:00:00+01:00,0.03,902.67,1985.25
2024-01-03 07:00:00+01:00,0.05,907.33,1871.63
2024-01-03 08:00:00+01:00,0.11,919.54,2105.88
2024-01-03 09:00:00+01:00,4.68,930.25,2206.46
2024-01-03 10:00:00+01:00,22.08,930.63,2128.08
2024-01-03 11:00:00+01:00,35.85,919.13,2298.75
2024-01-03 12:00:00+01:00,40.24,890.67,2151.04
2024-01-03 13:00:00+01:00,35.05,863.58,2075.38
2024-01-03 14:00:00+01:00,20.46,843.83,2084.33
2024-01-03 15:00:00+01:00,3.65,824.5,2055.54
2024-01-03 16:00:00+01:00,0.1,813.0,2107.33
2024-01-03 17:00:00+01:00,0.05,816.17,2063.88
2024-01-03 18:00:00+01:00,0.03,828.71,1841.79
2024-01-03 19:00:00+01:00,0.02,840.42,1826.33
2024-01-03 20:00:00+01:00,0.0,845.79,1893.21
2024-01-03 21:00:00+01:00,0.0,846.75,1949.96
2024-01-03 22:00:00+01:00,0.0,854.17,1949.08
2024-01-03 23:00:00+01:00,0.0,869.08,1946.08
2024-01-04 00:00:00+01:00,0.0,1019.0,2874.75
2024-01-04 01:00:00+01:00,0.0,1017.63,2852.63
2024-01-04 02:00:00+01:00,0.0,1014.63,2845.71
2024-01-04 03:00:00+01:00,0.0,1010.25,2913.46
2024-01-04 04:00:00+01:00,0.0,1005.33,2859.04
2024-01-04 05:00:00+01:00,0.01,1000.08,2610.88
2024-01-04 06:00:00+01:00,0.03,994.04,2208.71
2024-01-04 07:00:00+01:00,0.05,983.75,1985.63
2024-01-04 08:00:00+01:00,0.43,958.33,2087.92
2024-01-04 09:00:00+01:00,8.03,929.92,2046.46
2024-01-04 10:00:00+01:00,29.03,887.63,1806.67
2024-01-04 11:00:00+01:00,49.35,821.46,1702.88
2024-01-04 12:00:00+01:00,57.45,750.79,1457.25
2024-01-04 13:00:00+01:00,49.1,689.38,1254.63
2024-01-04 14:00:00+01:00,29.36,644.04,1045.96
2024-01-04 15:00:00+01:00,6.52,624.29,874.21
2024-01-04 16:00:00+01:00,0.3,621.88,788.04
2024-01-04 17:00:00+01:00,0.05,620.83,720.04
2024-01-04 18:00:00+01:00,0.03,621.79,628.71
2024-01-04 19:00:00+01:00,0.02,623.58,587.71
2024-01-04 20:00:00+01:00,0.0,621.38,602.04
2024-01-04 21:00:00+01:00,0.0,624.75,598.17
2024-01-04 22:00:00+01:00,0.0,636.29,611.88
2024-01-04 23:00:00+01:00,0.0,646.88,635.08
2024-01-05 00:00:00+01:00,0.0,611.75,654.0
2024-01-05 01:00:00+01:00,0.0,636.17,699.58
2024-01-05 02:00:00+01:00,0.0,664.75,765.75
2024-01-05 03:00:00+01:00,0.0,688.96,869.67
2024-01-05 04:00:00+01:00,0.0,710.5,964.58
2024-01-05 05:00:00+01:00,0.01,731.58,1023.29
2024-01-05 06:00:00+01:00,0.03,746.63,989.08
2024-01-05 07:00:00+01:00,0.05,762.25,993.25
2024-01-05 08:00:00+01:00,0.54,776.0,1195.08
2024-01-05 09:00:00+01:00,10.01,789.13,1327.75
2024-01-05 10:00:00+01:00,34.11,797.46,1425.08
2024-01-05 11:00:00+01:00,54.27,800.92,1532.58
2024-01-05 12:00:00+01:00,59.57,799.54,1575.21
2024-01-05 13:00:00+01:00,50.08,799.67,1587.13
2024-01-05 14:00:00+01:00,28.48,807.46,1609.88
2024-01-05 15:00:00+01:00,6.33,816.92,1562.33
2024-01-05 16:00:00+01:00,0.3,827.0,1558.54
2024-01-05 17:00:00+01:00,0.05,837.58,1527.58
2024-01-05 18:00:00+01:00,0.03,842.79,1384.25
2024-01-05 19:00:00+01:00,0.02,842.54,1376.0
2024-01-05 20:00:00+01:00,0.0,839.46,1368.46
2024-01-05 21:00:00+01:00,0.0,833.42,1394.88
2024-01-05 22:00:00+01:00,0.0,825.17,1360.33
2024-01-05 23:00:00+01:00,0.0,818.46,1316.54
2024-01-06 00:00:00+01:00,0.0,845.0,1537.33
2024-01-06 01:00:00+01:00,0.0,834.79,1494.0
2024-01-06 02:00:00+01:00,0.0,825.42,1439.29
2024-01-06 03:00:00+01:00,0.0,814.46,1390.79
2024-01-06 04:00:00+01:00,0.0,805.79,1320.08
2024-01-06 05:00:00+01:00,0.01,798.92,1203.79
2024-01-06 06:00:00+01:00,0.03,791.38,1038.25
2024-01-06 07:00:00+01:00,0.05,779.96,938.13
2024-01-06 08:00:00+01:00,0.53,762.33,1006.08
2024-01-06 09:00:00+01:00,10.61,742.17,990.46
2024-01-06 10:00:00+01:00,42.23,717.13,942.75
2024-01-06 11:00:00+01:00,77.0,683.13,852.42
2024-01-06 12:00:00+01:00,94.22,651.04,760.42
2024-01-06 13:00:00+01:00,82.85,628.38,704.63
2024-01-06 14:00:00+01:00,50.39,612.54,665.54
2024-01-06 15:00:00+01:00,11.82,601.29,607.67
2024-01-06 16:00:00+01:00,0.54,602.38,616.75
2024-01-06 17:00:00+01:00,0.05,600.46,627.42
2024-01-06 18:00:00+01:00,0.03,589.13,541.21
2024-01-06 19:00:00+01:00,0.02,572.21,519.54
2024-01-06 20:00:00+01:00,0.0,548.17,493.79
2024-01-06 21:00:00+01:00,0.0,514.88,472.04
2024-01-06 22:00:00+01:00,0.0,482.13,430.0
2024-01-06 23:00:00+01:00,0.0,457.21,418.21
2024-01-07 00:00:00+01:00,0.0,505.58,608.58
2024-01-07 01:00:00+01:00,0.0,488.63,557.71
2024-01-07 02:00:00+01:00,0.0,472.54,499.96
2024-01-07 03:00:00+01:00,0.0,455.25,448.29
2024-01-07 04:00:00+01:00,0.0,441.92,400.5
2024-01-07 05:00:00+01:00,0.01,429.38,349.13
2024-01-07 06:00:00+01:00,0.03,417.13,302.58
2024-01-07 07:00:00+01:00,0.05,401.92,281.25
2024-01-07 08:00:00+01:00,0.77,386.04,324.46
2024-01-07 09:00:00+01:00,14.54,377.42,337.17
2024-01-07 10:00:00+01:00,50.76,369.0,343.33
2024-01-07 11:00:00+01:00,86.75,357.0,339.46
2024-01-07 12:00:00+01:00,101.07,347.5,306.54
2024-01-07 13:00:00+01:00,84.63,350.79,301.71
2024-01-07 14:00:00+01:00,49.92,379.67,335.79
2024-01-07 15:00:00+01:00,12.21,422.5,349.92
2024-01-07 16:00:00+01:00,0.58,467.92,405.75
2024-01-07 17:00:00+01:00,0.05,508.54,467.17
2024-01-07 18:00:00+01:00,0.03,530.33,444.75
2024-01-07 19:00:00+01:00,0.02,537.17,463.75
2024-01-07 20:00:00+01:00,0.0,536.83,489.92
2024-01-07 21:00:00+01:00,0.0,537.21,515.63
2024-01-07 22:00:00+01:00,0.0,546.46,501.25
2024-01-07 23:00:00+01:00,0.0,557.67,488.92
2024-01-08 00:00:00+01:00,0.0,583.17,715.71
2024-01-08 01:00:00+01:00,0.0,571.0,631.96
2024-01-08 02:00:00+01:00,0.0,562.33,559.33
2024-01-08 03:00:00+01:00,0.0,550.67,513.46
2024-01-08 04:00:00+01:00,0.0,542.67,490.25
2024-01-08 05:00:00+01:00,0.01,531.88,461.88
2024-01-08 06:00:00+01:00,0.03,504.04,397.71
2024-01-08 07:00:00+01:00,0.05,477.75,341.96
2024-01-08 08:00:00+01:00,0.72,450.58,352.67
2024-01-08 09:00:00+01:00,13.91,414.58,310.0
2024-01-08 10:00:00+01:00,48.68,372.42,270.63
2024-01-08 11:00:00+01:00,78.19,336.92,218.79
2024-01-08 12:00:00+01:00,89.89,305.46,171.88
2024-01-08 13:00:00+01:00,78.41,283.38,146.75
2024-01-08 14:00:00+01:00,48.32,275.54,139.54
2024-01-08 15:00:00+01:00,12.63,272.29,127.13
2024-01-08 16:00:00+01:00,0.62,270.67,126.75
2024-01-08 17:00:00+01:00,0.05,266.83,131.33
2024-01-08 18:00:00+01:00,0.04,252.83,117.42
2024-01-08 19:00:00+01:00,0.02,229.88,113.67
2024-01-08 20:00:00+01:00,0.0,193.71,114.33
2024-01-08 21:00:00+01:00,0.0,156.54,115.46
2024-01-08 22:00:00+01:00,0.0,133.54,116.29
2024-01-08 23:00:00+01:00,0.0,113.29,124.83
2024-01-09 00:00:00+01:00,0.0,78.38,189.17
2024-01-09 01:00:00+01:00,0.0,60.29,204.42
2024-01-09 02:00:00+01:00,0.0,63.42,227.71
2024-01-09 03:00:00+01:00,0.0,74.88,248.71
2024-01-09 04:00:00+01:00,0.0,85.5,270.13
2024-01-09 05:00:00+01:00,0.01,107.21,280.17
2024-01-09 06:00:00+01:00,0.03,130.92,254.71
2024-01-09 07:00:00+01:00,0.05,149.38,230.38
2024-01-09 08:00:00+01:00,0.48,166.79,241.58
2024-01-09 09:00:00+01:00,9.26,178.75,239.58
2024-01-09 10:00:00+01:00,34.06,181.67,212.96
2024-01-09 11:00:00+01:00,56.79,195.0,221.63
2024-01-09 12:00:00+01:00,66.66,217.92,190.29
2024-01-09 13:00:00+01:00,59.3,222.79,161.29
2024-01-09 14:00:00+01:00,35.62,226.04,126.0
2024-01-09 15:00:00+01:00,8.55,227.83,101.08
2024-01-09 16:00:00+01:00,0.41,209.42,85.46
2024-01-09 17:00:00+01:00,0.05,162.04,65.33
2024-01-09 18:00:00+01:00,0.04,108.63,49.17
2024-01-09 19:00:00+01:00,0.02,74.17,41.58
2024-01-09 20:00:00+01:00,0.0,53.0,40.0
2024-01-09 21:00:00+01:00,0.0,46.58,41.17
2024-01-09 22:00:00+01:00,0.0,48.29,40.58
2024-01-09 23:00:00+01:00,0.0,54.04,40.08
2024-01-10 00:00:00+01:00,0.0,44.67,65.13
2024-01-10 01:00:00+01:00,0.0,48.96,59.04
2024-01-10 02:00:00+01:00,0.0,56.29,53.96
2024-01-10 03:00:00+01:00,0.0,67.33,52.38
2024-01-10 04:00:00+01:00,0.0,76.38,47.96
2024-01-10 05:00:00+01:00,0.02,84.38,41.75
2024-01-10 06:00:00+01:00,0.03,93.13,36.96
2024-01-10 07:00:00+01:00,0.05,101.17,37.25
2024-01-10 08:00:00+01:00,0.45,109.29,49.21
2024-01-10 09:00:00+01:00,8.28,114.33,58.75
2024-01-10 10:00:00+01:00,29.21,105.17,62.46
2024-01-10 11:00:00+01:00,49.61,92.13,68.54
2024-01-10 12:00:00+01:00,59.18,84.96,71.63
2024-01-10 13:00:00+01:00,54.6,94.38,80.75
2024-01-10 14:00:00+01:00,35.05,115.54,99.83
2024-01-10 15:00:00+01:00,9.34,134.42,117.58
2024-01-10 16:00:00+01:00,0.47,149.25,143.21
2024-01-10 17:00:00+01:00,0.05,158.25,174.08
2024-01-10 18:00:00+01:00,0.04,164.38,186.54
2024-01-10 19:00:00+01:00,0.02,165.5,243.38
2024-01-10 20:00:00+01:00,0.0,181.08,338.08
2024-01-10 21:00:00+01:00,0.0,217.63,401.04
2024-01-10 22:00:00+01:00,0.0,248.5,403.75
2024-01-10 23:00:00+01:00,0.0,294.92,414.67
2024-01-11 00:00:00+01:00,0.0,321.25,542.25
2024-01-11 01:00:00+01:00,0.0,386.92,495.17
2024-01-11 02:00:00+01:00,0.0,429.42,446.92
2024-01-11 03:00:00+01:00,0.0,466.71,413.83
2024-01-11 04:00:00+01:00,0.0,476.46,362.96
2024-01-11 05:00:00+01:00,0.02,456.25,287.63
2024-01-11 06:00:00+01:00,0.03,422.54,234.88
2024-01-11 07:00:00+01:00,0.05,379.88,216.58
2024-01-11 08:00:00+01:00,0.62,339.92,254.92
2024-01-11 09:00:00+01:00,11.34,318.17,260.96
2024-01-11 10:00:00+01:00,38.57,314.04,245.54
2024-01-11 11:00:00+01:00,65.57,312.25,263.54
2024-01-11 12:00:00+01:00,76.91,314.46,219.92
2024-01-11 13:00:00+01:00,69.95,318.33,169.71
2024-01-11 14:00:00+01:00,45.12,304.04,177.42
2024-01-11 15:00:00+01:00,12.85,283.75,178.96
2024-01-11 16:00:00+01:00,0.67,259.29,201.92
2024-01-11 17:00:00+01:00,0.05,214.92,191.13
2024-01-11 18:00:00+01:00,0.04,176.21,125.92
2024-01-11 19:00:00+01:00,0.02,153.21,115.63
2024-01-11 20:00:00+01:00,0.0,129.38,120.42
2024-01-11 21:00:00+01:00,0.0,114.5,118.58
2024-01-11 22:00:00+01:00,0.0,115.96,107.54
2024-01-11 23:00:00+01:00,0.0,143.04,126.29
2024-01-12 00:00:00+01:00,0.0,164.46,81.83
2024-01-12 01:00:00+01:00,0.0,199.54,94.08
2024-01-12 02:00:00+01:00,0.0,261.67,123.75
2024-01-12 03:00:00+01:00,0.0,343.21,166.75
2024-01-12 04:00:00+01:00,0.0,437.88,191.71
2024-01-12 05:00:00+01:00,0.02,547.63,190.92
2024-01-12 06:00:00+01:00,0.03,597.13,178.46
2024-01-12 07:00:00+01:00,0.05,611.0,183.83
2024-01-12 08:00:00+01:00,0.57,613.71,250.83
2024-01-12 09:00:00+01:00,9.32,604.83,301.29
2024-01-12 10:00:00+01:00,27.34,602.29,352.29
2024-01-12 11:00:00+01:00,46.94,603.96,351.0
2024-01-12 12:00:00+01:00,57.41,610.42,285.17
2024-01-12 13:00:00+01:00,54.44,613.17,232.58
2024-01-12 14:00:00+01:00,36.12,628.33,245.13
2024-01-12 15:00:00+01:00,10.57,642.5,308.25
2024-01-12 16:00:00+01:00,0.56,655.54,465.88
2024-01-12 17:00:00+01:00,0.05,677.33,599.0
2024-01-12 18:00:00+01:00,0.04,707.58,636.13
2024-01-12 19:00:00+01:00,0.02,717.83,790.71
2024-01-12 20:00:00+01:00,0.0,708.17,1052.33
2024-01-12 21:00:00+01:00,0.0,713.83,1251.29
2024-01-12 22:00:00+01:00,0.0,735.79,1413.04
2024-01-12 23:00:00+01:00,0.0,769.83,1591.88
2024-01-13 00:00:00+01:00,0.0,725.13,1749.33
2024-01-13 01:00:00+01:00,0.0,768.42,1886.08
2024-01-13 02:00:00+01:00,0.0,845.25,1952.33
2024-01-13 03:00:00+01:00,0.0,896.46,2044.21
2024-01-13 04:00:00+01:00,0.0,924.13,2181.88
2024-01-13 05:00:00+01:00,0.02,942.33,2289.17
2024-01-13 06:00:00+01:00,0.03,957.63,2183.17
2024-01-13 07:00:00+01:00,0.05,971.29,2135.88
2024-01-13 08:00:00+01:00,0.3,989.67,2428.83
2024-01-13 09:00:00+01:00,7.35,1000.96,2563.04
2024-01-13 10:00:00+01:00,28.14,1004.96,2529.0
2024-01-13 11:00:00+01:00,57.99,1008.29,2673.08
2024-01-13 12:00:00+01:00,72.54,1009.33,2598.71
2024-01-13 13:00:00+01:00,60.06,1008.63,2560.33
2024-01-13 14:00:00+01:00,35.37,1008.79,2560.25
2024-01-13 15:00:00+01:00,10.41,1007.5,2546.92
2024-01-13 16:00:00+01:00,0.57,1001.83,2607.71
2024-01-13 17:00:00+01:00,0.05,990.75,2563.96
2024-01-13 18:00:00+01:00,0.04,980.08,2304.04
2024-01-13 19:00:00+01:00,0.02,968.38,2257.13
2024-01-13 20:00:00+01:00,0.0,952.58,2301.83
2024-01-13 21:00:00+01:00,0.0,937.25,2290.71
2024-01-13 22:00:00+01:00,0.0,930.21,2184.75
2024-01-13 23:00:00+01:00,0.0,928.21,2051.75
2024-01-14 00:00:00+01:00,0.0,933.58,2211.0
2024-01-14 01:00:00+01:00,0.0,921.63,2108.5
2024-01-14 02:00:00+01:00,0.0,908.58,1954.92
2024-01-14 03:00:00+01:00,0.0,898.04,1877.13
2024-01-14 04:00:00+01:00,0.0,891.88,1818.17
2024-01-14 05:00:00+01:00,0.02,886.96,1684.33
2024-01-14 06:00:00+01:00,0.03,880.13,1484.96
