,Solar,Wind Onshore
2024-01-01 02:00:00+02:00,0.0,1275.5
2024-01-01 02:15:00+02:00,0.0,1309.9
2024-01-01 02:30:00+02:00,0.0,1337.9
2024-01-01 02:45:00+02:00,0.0,1367.7
2024-01-01 03:00:00+02:00,0.0,1397.5
2024-01-01 03:15:00+02:00,0.0,1426.5
2024-01-01 03:30:00+02:00,0.0,1453.8
2024-01-01 03:45:00+02:00,0.0,1483.4
2024-01-01 04:00:00+02:00,0.0,1518.3
2024-01-01 04:15:00+02:00,0.0,1543.0
2024-01-01 04:30:00+02:00,0.0,1561.6
2024-01-01 04:45:00+02:00,0.0,1573.5
2024-01-01 05:00:00+02:00,0.0,1574.4
2024-01-01 05:15:00+02:00,0.0,1582.0
2024-01-01 05:30:00+02:00,0.0,1592.1
2024-01-01 05:45:00+02:00,0.0,1603.8
2024-01-01 06:00:00+02:00,0.0,1621.1
2024-01-01 06:15:00+02:00,0.0,1629.3
2024-01-01 06:30:00+02:00,0.0,1632.3
2024-01-01 06:45:00+02:00,0.0,1629.7
2024-01-01 07:00:00+02:00,0.0,1617.9
2024-01-01 07:15:00+02:00,0.0,1612.0
2024-01-01 07:30:00+02:00,0.0,1608.4
2024-01-01 07:45:00+02:00,0.0,1607.0
2024-01-01 08:00:00+02:00,0.0,1611.6
2024-01-01 08:15:00+02:00,0.0,1607.0
2024-01-01 08:30:00+02:00,0.2,1597.3
2024-01-01 08:45:00+02:00,0.0,1580.8
2024-01-01 09:00:00+02:00,0.0,1552.2
2024-01-01 09:15:00+02:00,0.0,1534.3
2024-01-01 09:30:00+02:00,0.5,1522.4
2024-01-01 09:45:00+02:00,3.5,1512.2
2024-01-01 10:00:00+02:00,9.3,1506.0
2024-01-01 10:15:00+02:00,13.5,1498.8
2024-01-01 10:30:00+02:00,16.7,1491.2
2024-01-01 10:45:00+02:00,24.4,1485.6
2024-01-01 11:00:00+02:00,36.6,1482.4
2024-01-01 11:15:00+02:00,43.9,1477.4
2024-01-01 11:30:00+02:00,48.1,1472.9
2024-01-01 11:45:00+02:00,51.9,1464.5
2024-01-01 12:00:00+02:00,54.6,1448.1
2024-01-01 12:15:00+02:00,55.8,1444.6
2024-01-01 12:30:00+02:00,55.6,1451.3
2024-01-01 12:45:00+02:00,53.9,1457.9
2024-01-01 13:00:00+02:00,50.5,1461.9
2024-01-01 13:15:00+02:00,46.3,1483.7
2024-01-01 13:30:00+02:00,41.6,1517.7
2024-01-01 13:45:00+02:00,33.9,1566.4
2024-01-01 14:00:00+02:00,21.4,1636.9
2024-01-01 14:15:00+02:00,13.7,1698.3
2024-01-01 14:30:00+02:00,10.5,1755.2
2024-01-01 14:45:00+02:00,7.0,1819.7
2024-01-01 15:00:00+02:00,2.8,1892.9
2024-01-01 15:15:00+02:00,0.5,1958.1
2024-01-01 15:30:00+02:00,0.0,2016.6
2024-01-01 15:45:00+02:00,0.0,2079.8
2024-01-01 16:00:00+02:00,0.0,2151.8
2024-01-01 16:15:00+02:00,0.2,2204.4
2024-01-01 16:30:00+02:00,0.0,2243.9
2024-01-01 16:45:00+02:00,0.0,2272.8
2024-01-01 17:00:00+02:00,0.0,2285.8
2024-01-01 17:15:00+02:00,0.0,2301.6
2024-01-01 17:30:00+02:00,0.0,2316.8
2024-01-01 17:45:00+02:00,0.0,2326.7
2024-01-01 18:00:00+02:00,0.0,2332.7
2024-01-01 18:15:00+02:00,0.0,2334.1
2024-01-01 18:30:00+02:00,0.0,2332.0
2024-01-01 18:45:00+02:00,0.0,2322.6
2024-01-01 19:00:00+02:00,0.0,2302.7
2024-01-01 19:15:00+02:00,0.0,2288.7
2024-01-01 19:30:00+02:00,0.0,2277.6
2024-01-01 19:45:00+02:00,0.0,2264.6
2024-01-01 20:00:00+02:00,0.0,2250.0
2024-01-01 20:15:00+02:00,0.0,2237.3
2024-01-01 20:30:00+02:00,0.0,2225.5
2024-01-01 20:45:00+02:00,0.0,2214.6
2024-01-01 21:00:00+02:00,0.0,2205.2
2024-01-01 21:15:00+02:00,0.0,2194.7
2024-01-01 21:30:00+02:00,0.0,2183.4
2024-01-01 21:45:00+02:00,0.0,2172.4
2024-01-01 22:00:00+02:00,0.0,2161.8
2024-01-01 22:15:00+02:00,0.0,2150.2
2024-01-01 22:30:00+02:00,0.0,2137.9
2024-01-01 22:45:00+02:00,0.0,2125.0
2024-01-01 23:00:00+02:00,0.0,2110.8
2024-01-01 23:15:00+02:00,0.0,2097.4
2024-01-01 23:30:00+02:00,0.0,2085.0
2024-01-01 23:45:00+02:00,0.0,2070.1
2024-01-02 00:00:00+02:00,0.0,2050.0
2024-01-02 00:15:00+02:00,0.0,2038.3
2024-01-02 00:30:00+02:00,0.0,2032.5
2024-01-02 00:45:00+02:00,0.0,2029.2
2024-01-02 01:00:00+02:00,0.0,1900.0
2024-01-02 01:15:00+02:00,0.0,1894.8
2024-01-02 01:30:00+02:00,0.0,1886.5
2024-01-02 01:45:00+02:00,0.0,1867.3
2024-01-02 02:00:00+02:00,0.0,1831.6
2024-01-02 02:15:00+02:00,0.0,1809.7
2024-01-02 02:30:00+02:00,0.0,1795.8
2024-01-02 02:45:00+02:00,0.0,1782.9
2024-01-02 03:00:00+02:00,0.0,1773.3
2024-01-02 03:15:00+02:00,0.0,1764.6
2024-01-02 03:30:00+02:00,0.0,1756.2
2024-01-02 03:45:00+02:00,0.0,1752.7
2024-01-02 04:00:00+02:00,0.0,1756.9
2024-01-02 04:15:00+02:00,0.0,1753.1
2024-01-02 04:30:00+02:00,0.0,1745.2
2024-01-02 04:45:00+02:00,0.0,1733.4
2024-01-02 05:00:00+02:00,0.0,1713.9
2024-01-02 05:15:00+02:00,0.0,1701.6
2024-01-02 05:30:00+02:00,0.0,1692.4
2024-01-02 05:45:00+02:00,0.0,1687.3
2024-01-02 06:00:00+02:00,0.0,1690.6
2024-01-02 06:15:00+02:00,0.0,1684.0
2024-01-02 06:30:00+02:00,0.0,1671.8
2024-01-02 06:45:00+02:00,0.0,1655.2
2024-01-02 07:00:00+02:00,0.0,1630.4
2024-01-02 07:15:00+02:00,0.0,1611.2
2024-01-02 07:30:00+02:00,0.0,1595.1
2024-01-02 07:45:00+02:00,0.0,1577.9
2024-01-02 08:00:00+02:00,0.0,1559.9
2024-01-02 08:15:00+02:00,0.0,1544.3
2024-01-02 08:30:00+02:00,0.2,1530.7
2024-01-02 08:45:00+02:00,0.0,1517.8
2024-01-02 09:00:00+02:00,0.0,1505.5
2024-01-02 09:15:00+02:00,0.0,1495.5
2024-01-02 09:30:00+02:00,0.5,1486.4
2024-01-02 09:45:00+02:00,2.9,1482.2
2024-01-02 10:00:00+02:00,7.4,1486.3
2024-01-02 10:15:00+02:00,10.9,1481.0
2024-01-02 10:30:00+02:00,13.9,1469.9
2024-01-02 10:45:00+02:00,21.7,1456.6
2024-01-02 11:00:00+02:00,34.4,1439.7
2024-01-02 11:15:00+02:00,42.0,1421.6
2024-01-02 11:30:00+02:00,46.4,1403.5
2024-01-02 11:45:00+02:00,50.0,1378.3
2024-01-02 12:00:00+02:00,52.3,1341.5
2024-01-02 12:15:00+02:00,53.3,1318.5
2024-01-02 12:30:00+02:00,53.2,1304.9
2024-01-02 12:45:00+02:00,51.7,1292.8
2024-01-02 13:00:00+02:00,49.0,1282.4
2024-01-02 13:15:00+02:00,45.1,1280.5
2024-01-02 13:30:00+02:00,40.5,1284.7
2024-01-02 13:45:00+02:00,32.7,1297.2
2024-01-02 14:00:00+02:00,19.7,1320.9
2024-01-02 14:15:00+02:00,11.9,1341.6
2024-01-02 14:30:00+02:00,9.0,1361.3
2024-01-02 14:45:00+02:00,6.0,1385.8
2024-01-02 15:00:00+02:00,2.4,1415.6
2024-01-02 15:15:00+02:00,0.5,1442.6
2024-01-02 15:30:00+02:00,0.0,1468.9
2024-01-02 15:45:00+02:00,0.0,1494.2
2024-01-02 16:00:00+02:00,0.0,1516.4
2024-01-02 16:15:00+02:00,0.2,1544.5
2024-01-02 16:30:00+02:00,0.0,1575.5
2024-01-02 16:45:00+02:00,0.0,1612.9
2024-01-02 17:00:00+02:00,0.0,1661.6
2024-01-02 17:15:00+02:00,0.0,1698.2
2024-01-02 17:30:00+02:00,0.0,1727.3
2024-01-02 17:45:00+02:00,0.0,1753.8
2024-01-02 18:00:00+02:00,0.0,1775.6
2024-01-02 18:15:00+02:00,0.0,1796.4
2024-01-02 18:30:00+02:00,0.0,1814.7
2024-01-02 18:45:00+02:00,0.0,1832.5
2024-01-02 19:00:00+02:00,0.0,1852.5
2024-01-02 19:15:00+02:00,0.0,1862.5
2024-01-02 19:30:00+02:00,0.0,1865.7
2024-01-02 19:45:00+02:00,0.0,1861.7
2024-01-02 20:00:00+02:00,0.0,1847.4
2024-01-02 20:15:00+02:00,0.0,1835.8
2024-01-02 20:30:00+02:00,0.0,1824.8
2024-01-02 20:45:00+02:00,0.0,1809.8
2024-01-02 21:00:00+02:00,0.0,1790.9
2024-01-02 21:15:00+02:00,0.0,1772.8
2024-01-02 21:30:00+02:00,0.0,1755.5
2024-01-02 21:45:00+02:00,0.0,1734.1
2024-01-02 22:00:00+02:00,0.0,1706.2
2024-01-02 22:15:00+02:00,0.0,1686.4
2024-01-02 22:30:00+02:00,0.0,1673.0
2024-01-02 22:45:00+02:00,0.0,1658.8
2024-01-02 23:00:00+02:00,0.0,1642.4
2024-01-02 23:15:00+02:00,0.0,1636.9
2024-01-02 23:30:00+02:00,0.0,1637.4
2024-01-02 23:45:00+02:00,0.0,1650.3
2024-01-03 00:00:00+02:00,0.0,1683.3
2024-01-03 00:15:00+02:00,0.0,1698.6
2024-01-03 00:30:00+02:00,0.0,1703.3
2024-01-03 00:45:00+02:00,0.0,1706.8
2024-01-03 01:00:00+02:00,0.0,1752.0
2024-01-03 01:15:00+02:00,0.0,1752.6
2024-01-03 01:30:00+02:00,0.0,1753.4
2024-01-03 01:45:00+02:00,0.0,1755.8
2024-01-03 02:00:00+02:00,0.0,1760.8
2024-01-03 02:15:00+02:00,0.0,1762.9
2024-01-03 02:30:00+02:00,0.0,1763.5
2024-01-03 02:45:00+02:00,0.0,1763.0
2024-01-03 03:00:00+02:00,0.0,1760.4
2024-01-03 03:15:00+02:00,0.0,1759.2
2024-01-03 03:30:00+02:00,0.0,1758.9
2024-01-03 03:45:00+02:00,0.0,1758.1
2024-01-03 04:00:00+02:00,0.0,1756.4
2024-01-03 04:15:00+02:00,0.0,1756.5
2024-01-03 04:30:00+02:00,0.0,1758.1
2024-01-03 04:45:00+02:00,0.0,1759.5
2024-01-03 05:00:00+02:00,0.0,1759.8
2024-01-03 05:15:00+02:00,0.0,1763.9
2024-01-03 05:30:00+02:00,0.0,1770.5
2024-01-03 05:45:00+02:00,0.0,1780.2
2024-01-03 06:00:00+02:00,0.0,1794.7
2024-01-03 06:15:00+02:00,0.0,1806.5
2024-01-03 06:30:00+02:00,0.0,1816.9
2024-01-03 06:45:00+02:00,0.0,1828.5
2024-01-03 07:00:00+02:00,0.0,1841.2
