,Solar,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,240.0,14778.51
2024-01-01 02:00:00+01:00,0.0,240.0,14361.58
2024-01-01 03:00:00+01:00,0.0,240.0,13939.37
2024-01-01 04:00:00+01:00,0.0,240.0,13514.28
2024-01-01 05:00:00+01:00,0.0,240.0,12836.23
2024-01-01 06:00:00+01:00,0.0,240.0,12157.88
2024-01-01 07:00:00+01:00,0.0,240.0,11478.27
2024-01-01 08:00:00+01:00,0.0,240.0,11061.4
2024-01-01 09:00:00+01:00,239.11,240.0,10644.33
2024-01-01 10:00:00+01:00,1469.18,240.0,10227.5
2024-01-01 11:00:00+01:00,2915.24,240.0,10491.84
2024-01-01 12:00:00+01:00,3926.07,240.0,10756.21
2024-01-01 13:00:00+01:00,4156.47,240.0,11018.48
2024-01-01 14:00:00+01:00,3755.11,240.0,10672.25
2024-01-01 15:00:00+01:00,2747.35,240.0,10325.58
2024-01-01 16:00:00+01:00,1099.32,240.0,9980.16
2024-01-01 17:00:00+01:00,65.73,240.0,10763.75
2024-01-01 18:00:00+01:00,0.0,240.0,11549.53
2024-01-01 19:00:00+01:00,0.0,240.0,12336.34
2024-01-01 20:00:00+01:00,0.0,240.0,13661.83
2024-01-01 21:00:00+01:00,0.0,240.0,14986.92
2024-01-01 22:00:00+01:00,0.0,240.0,16311.74
2024-01-01 23:00:00+01:00,0.0,240.0,16881.7
2024-01-02 00:00:00+01:00,0.0,240.0,16983.7
2024-01-02 01:00:00+01:00,0.0,240.0,17655.43
2024-01-02 02:00:00+01:00,0.0,240.0,17929.73
2024-01-02 03:00:00+01:00,0.0,240.0,18197.93
2024-01-02 04:00:00+01:00,0.0,240.0,18462.18
2024-01-02 05:00:00+01:00,0.0,240.0,18480.81
2024-01-02 06:00:00+01:00,0.0,240.0,18498.83
2024-01-02 07:00:00+01:00,0.0,240.0,18513.95
2024-01-02 08:00:00+01:00,0.0,240.0,18561.82
2024-01-02 09:00:00+01:00,230.13,240.0,18609.35
2024-01-02 10:00:00+01:00,1385.65,240.0,18658.45
2024-01-02 11:00:00+01:00,2955.97,240.0,18914.86
2024-01-02 12:00:00+01:00,4109.65,240.0,19169.83
2024-01-02 13:00:00+01:00,4305.35,240.0,19423.1
2024-01-02 14:00:00+01:00,3644.94,240.0,19486.06
2024-01-02 15:00:00+01:00,2442.83,240.0,19541.68
2024-01-02 16:00:00+01:00,941.79,240.0,19597.25
2024-01-02 17:00:00+01:00,48.78,240.0,19282.57
2024-01-02 18:00:00+01:00,0.0,240.0,18969.02
2024-01-02 19:00:00+01:00,0.0,240.0,18655.93
2024-01-02 20:00:00+01:00,0.0,240.0,18178.72
2024-01-02 21:00:00+01:00,0.0,240.0,17699.8
2024-01-02 22:00:00+01:00,0.0,240.0,17221.07
2024-01-02 23:00:00+01:00,0.0,240.0,17219.62
2024-01-03 00:00:00+01:00,0.0,240.0,17873.38
2024-01-03 01:00:00+01:00,0.0,240.0,17808.76
2024-01-03 02:00:00+01:00,0.0,240.0,17706.45
2024-01-03 03:00:00+01:00,0.0,240.0,17593.67
2024-01-03 04:00:00+01:00,0.0,240.0,17475.89
2024-01-03 05:00:00+01:00,0.0,240.0,17583.85
2024-01-03 06:00:00+01:00,0.0,240.0,17690.48
2024-01-03 07:00:00+01:00,0.0,240.0,17793.02
2024-01-03 08:00:00+01:00,0.0,240.0,18014.73
2024-01-03 09:00:00+01:00,307.11,240.0,18235.91
2024-01-03 10:00:00+01:00,1847.39,240.0,18458.77
2024-01-03 11:00:00+01:00,3423.4,240.0,18713.67
2024-01-03 12:00:00+01:00,4235.44,240.0,18966.63
2024-01-03 13:00:00+01:00,4461.87,240.0,19216.05
2024-01-03 14:00:00+01:00,3879.82,240.0,19204.24
2024-01-03 15:00:00+01:00,2627.2,240.0,19191.45
2024-01-03 16:00:00+01:00,1065.52,240.0,19180.08
2024-01-03 17:00:00+01:00,64.38,240.0,19009.2
2024-01-03 18:00:00+01:00,0.0,240.0,18842.51
2024-01-03 19:00:00+01:00,0.0,240.0,18676.54
2024-01-03 20:00:00+01:00,0.0,240.0,18201.87
2024-01-03 21:00:00+01:00,0.0,240.0,17726.61
2024-01-03 22:00:00+01:00,0.0,240.0,17250.35
2024-01-03 23:00:00+01:00,0.0,240.0,16745.33
2024-01-04 00:00:00+01:00,0.0,240.0,16029.53
2024-01-04 01:00:00+01:00,0.0,240.0,15409.39
2024-01-04 02:00:00+01:00,0.0,240.0,14749.11
2024-01-04 03:00:00+01:00,0.0,240.0,14075.38
2024-01-04 04:00:00+01:00,0.0,240.0,13396.11
2024-01-04 05:00:00+01:00,0.0,210.0,12425.67
2024-01-04 06:00:00+01:00,0.0,171.0,11454.1
2024-01-04 07:00:00+01:00,0.0,225.5,10478.21
2024-01-04 08:00:00+01:00,0.0,209.5,9729.11
2024-01-04 09:00:00+01:00,342.8,222.5,8979.98
2024-01-04 10:00:00+01:00,2017.49,239.5,8240.54
2024-01-04 11:00:00+01:00,3983.16,240.0,8181.59
2024-01-04 12:00:00+01:00,5254.16,240.0,8124.98
2024-01-04 13:00:00+01:00,5528.39,240.0,8064.79
2024-01-04 14:00:00+01:00,4808.06,240.0,8512.24
2024-01-04 15:00:00+01:00,3214.94,240.0,8960.56
2024-01-04 16:00:00+01:00,1247.53,240.0,9410.26
2024-01-04 17:00:00+01:00,71.64,240.0,9905.74
2024-01-04 18:00:00+01:00,0.0,240.0,10406.59
2024-01-04 19:00:00+01:00,0.0,240.0,10908.94
2024-01-04 20:00:00+01:00,0.0,240.0,10928.64
2024-01-04 21:00:00+01:00,0.0,240.0,10948.74
2024-01-04 22:00:00+01:00,0.0,240.0,10971.51
2024-01-04 23:00:00+01:00,0.0,233.5,10531.12
2024-01-05 00:00:00+01:00,0.0,155.5,10935.93
2024-01-05 01:00:00+01:00,0.0,164.5,10416.04
2024-01-05 02:00:00+01:00,0.0,159.0,10326.83
2024-01-05 03:00:00+01:00,0.0,52.5,10230.93
2024-01-05 04:00:00+01:00,0.0,57.5,10134.02
2024-01-05 05:00:00+01:00,0.0,34.0,9749.91
2024-01-05 06:00:00+01:00,0.0,30.0,9365.0
2024-01-05 07:00:00+01:00,0.0,30.5,8978.23
2024-01-05 08:00:00+01:00,0.0,53.5,8122.72
2024-01-05 09:00:00+01:00,210.26,36.0,7267.73
2024-01-05 10:00:00+01:00,1368.89,36.5,6416.4
2024-01-05 11:00:00+01:00,2763.75,37.0,6112.79
2024-01-05 12:00:00+01:00,3637.13,35.5,5809.65
2024-01-05 13:00:00+01:00,3844.72,36.0,5506.78
2024-01-05 14:00:00+01:00,3453.51,39.0,5077.02
2024-01-05 15:00:00+01:00,2470.21,41.5,4648.42
2024-01-05 16:00:00+01:00,981.01,51.0,4222.01
2024-01-05 17:00:00+01:00,57.54,84.5,4058.33
2024-01-05 18:00:00+01:00,0.0,94.0,3900.96
2024-01-05 19:00:00+01:00,0.0,91.0,3744.74
2024-01-05 20:00:00+01:00,0.0,110.5,3808.29
2024-01-05 21:00:00+01:00,0.0,103.0,3871.17
2024-01-05 22:00:00+01:00,0.0,150.5,3933.95
2024-01-05 23:00:00+01:00,0.0,158.0,3924.59
2024-01-06 00:00:00+01:00,0.0,272.5,3953.28
2024-01-06 01:00:00+01:00,0.0,293.0,3868.17
2024-01-06 02:00:00+01:00,0.0,311.5,3946.38
2024-01-06 03:00:00+01:00,0.0,321.0,4025.27
2024-01-06 04:00:00+01:00,0.0,330.5,4104.22
2024-01-06 05:00:00+01:00,0.0,368.0,4356.5
2024-01-06 06:00:00+01:00,0.0,374.5,4609.03
2024-01-06 07:00:00+01:00,0.0,352.5,4862.28
2024-01-06 08:00:00+01:00,0.0,378.5,4984.67
2024-01-06 09:00:00+01:00,301.37,385.5,5106.93
2024-01-06 10:00:00+01:00,1768.12,378.5,5228.58
2024-01-06 11:00:00+01:00,3332.4,358.5,5637.7
2024-01-06 12:00:00+01:00,4248.29,334.0,6047.46
2024-01-06 13:00:00+01:00,4618.07,303.0,6457.15
2024-01-06 14:00:00+01:00,4082.08,322.0,6669.94
2024-01-06 15:00:00+01:00,2917.37,342.5,6883.25
2024-01-06 16:00:00+01:00,1273.05,354.0,7096.64
2024-01-06 17:00:00+01:00,83.84,384.0,7125.9
2024-01-06 18:00:00+01:00,0.0,388.0,7154.8
2024-01-06 19:00:00+01:00,0.0,407.0,7183.88
2024-01-06 20:00:00+01:00,0.0,434.5,7182.27
2024-01-06 21:00:00+01:00,0.0,434.5,7180.62
2024-01-06 22:00:00+01:00,0.0,416.0,7179.02
2024-01-06 23:00:00+01:00,0.0,408.5,7083.28
2024-01-07 00:00:00+01:00,0.0,334.5,6576.74
2024-01-07 01:00:00+01:00,0.0,341.0,6493.79
2024-01-07 02:00:00+01:00,0.0,328.5,6563.15
2024-01-07 03:00:00+01:00,0.0,333.0,6631.03
2024-01-07 04:00:00+01:00,0.0,338.0,6698.66
2024-01-07 05:00:00+01:00,0.0,390.0,6821.95
2024-01-07 06:00:00+01:00,0.0,410.0,6945.18
