,Solar,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,1397.0,4596.0
2024-01-01 01:15:00+01:00,0.0,1395.0,4582.0
2024-01-01 01:30:00+01:00,0.0,1394.0,4564.0
2024-01-01 01:45:00+01:00,0.0,1392.0,4547.0
2024-01-01 02:00:00+01:00,0.0,1391.0,4530.0
2024-01-01 02:15:00+01:00,0.0,1389.0,4515.0
2024-01-01 02:30:00+01:00,0.0,1387.0,4499.0
2024-01-01 02:45:00+01:00,0.0,1385.0,4486.0
2024-01-01 03:00:00+01:00,0.0,1383.0,4470.0
2024-01-01 03:15:00+01:00,0.0,1382.0,4451.0
2024-01-01 03:30:00+01:00,0.0,1382.0,4427.0
2024-01-01 03:45:00+01:00,0.0,1382.0,4407.0
2024-01-01 04:00:00+01:00,0.0,1382.0,4387.0
2024-01-01 04:15:00+01:00,0.0,1385.0,4356.0
2024-01-01 04:30:00+01:00,0.0,1392.0,4316.0
2024-01-01 04:45:00+01:00,0.0,1400.0,4276.0
2024-01-01 05:00:00+01:00,0.0,1407.0,4236.0
2024-01-01 05:15:00+01:00,0.0,1410.0,4215.0
2024-01-01 05:30:00+01:00,0.0,1410.0,4204.0
2024-01-01 05:45:00+01:00,0.0,1411.0,4193.0
2024-01-01 06:00:00+01:00,0.0,1411.0,4184.0
2024-01-01 06:15:00+01:00,0.0,1411.0,4172.0
2024-01-01 06:30:00+01:00,0.0,1411.0,4160.0
2024-01-01 06:45:00+01:00,0.0,1411.0,4147.0
2024-01-01 07:00:00+01:00,0.0,1410.0,4133.0
2024-01-01 07:15:00+01:00,0.0,1409.0,4113.0
2024-01-01 07:30:00+01:00,0.0,1407.0,4082.0
2024-01-01 07:45:00+01:00,0.0,1405.0,4054.0
2024-01-01 08:00:00+01:00,0.0,1403.0,4022.0
2024-01-01 08:15:00+01:00,0.0,1400.0,3994.0
2024-01-01 08:30:00+01:00,0.0,1397.0,3964.0
2024-01-01 08:45:00+01:00,0.0,1394.0,3935.0
2024-01-01 09:00:00+01:00,0.0,1391.0,3907.0
2024-01-01 09:15:00+01:00,29.0,1387.0,3880.0
2024-01-01 09:30:00+01:00,56.0,1383.0,3858.0
2024-01-01 09:45:00+01:00,84.0,1380.0,3835.0
2024-01-01 10:00:00+01:00,115.0,1376.0,3810.0
2024-01-01 10:15:00+01:00,216.0,1373.0,3798.0
2024-01-01 10:30:00+01:00,319.0,1371.0,3796.0
2024-01-01 10:45:00+01:00,420.0,1369.0,3792.0
2024-01-01 11:00:00+01:00,522.0,1367.0,3790.0
2024-01-01 11:15:00+01:00,560.0,1365.0,3789.0
2024-01-01 11:30:00+01:00,602.0,1362.0,3791.0
2024-01-01 11:45:00+01:00,638.0,1360.0,3794.0
2024-01-01 12:00:00+01:00,678.0,1358.0,3797.0
2024-01-01 12:15:00+01:00,697.0,1357.0,3795.0
2024-01-01 12:30:00+01:00,713.0,1357.0,3791.0
2024-01-01 12:45:00+01:00,731.0,1357.0,3786.0
2024-01-01 13:00:00+01:00,749.0,1357.0,3779.0
2024-01-01 13:15:00+01:00,830.0,1361.0,3763.0
2024-01-01 13:30:00+01:00,913.0,1369.0,3735.0
2024-01-01 13:45:00+01:00,997.0,1376.0,3708.0
2024-01-01 14:00:00+01:00,1076.0,1383.0,3679.0
2024-01-01 14:15:00+01:00,1036.0,1387.0,3647.0
2024-01-01 14:30:00+01:00,990.0,1386.0,3613.0
2024-01-01 14:45:00+01:00,947.0,1385.0,3575.0
2024-01-01 15:00:00+01:00,904.0,1385.0,3541.0
2024-01-01 15:15:00+01:00,831.0,1384.0,3502.0
2024-01-01 15:30:00+01:00,759.0,1382.0,3459.0
2024-01-01 15:45:00+01:00,686.0,1381.0,3412.0
2024-01-01 16:00:00+01:00,612.0,1380.0,3370.0
2024-01-01 16:15:00+01:00,471.0,1378.0,3312.0
2024-01-01 16:30:00+01:00,331.0,1375.0,3238.0
2024-01-01 16:45:00+01:00,189.0,1372.0,3165.0
2024-01-01 17:00:00+01:00,52.0,1369.0,3093.0
2024-01-01 17:15:00+01:00,41.0,1365.0,3019.0
2024-01-01 17:30:00+01:00,25.0,1359.0,2942.0
2024-01-01 17:45:00+01:00,12.0,1354.0,2865.0
2024-01-01 18:00:00+01:00,0.0,1349.0,2789.0
2024-01-01 18:15:00+01:00,0.0,1338.0,2712.0
2024-01-01 18:30:00+01:00,0.0,1322.0,2637.0
2024-01-01 18:45:00+01:00,0.0,1306.0,2562.0
2024-01-01 19:00:00+01:00,0.0,1290.0,2487.0
2024-01-01 19:15:00+01:00,0.0,1274.0,2424.0
2024-01-01 19:30:00+01:00,0.0,1260.0,2377.0
2024-01-01 19:45:00+01:00,0.0,1245.0,2332.0
2024-01-01 20:00:00+01:00,0.0,1231.0,2286.0
2024-01-01 20:15:00+01:00,0.0,1214.0,2243.0
2024-01-01 20:30:00+01:00,0.0,1193.0,2203.0
2024-01-01 20:45:00+01:00,0.0,1173.0,2165.0
2024-01-01 21:00:00+01:00,0.0,1153.0,2127.0
2024-01-01 21:15:00+01:00,0.0,1116.0,2088.0
2024-01-01 21:30:00+01:00,0.0,1062.0,2054.0
2024-01-01 21:45:00+01:00,0.0,1008.0,2016.0
2024-01-01 22:00:00+01:00,0.0,955.0,1980.0
2024-01-01 22:15:00+01:00,0.0,957.0,1985.0
2024-01-01 22:30:00+01:00,0.0,1016.0,2026.0
2024-01-01 22:45:00+01:00,0.0,1074.0,2069.0
2024-01-01 23:00:00+01:00,0.0,1133.0,2110.0
2024-01-01 23:15:00+01:00,0.0,1172.0,2157.0
2024-01-01 23:30:00+01:00,0.0,1192.0,2213.0
2024-01-01 23:45:00+01:00,0.0,1213.0,2267.0
2024-01-02 00:00:00+01:00,0.0,1117.0,2482.0
2024-01-02 00:15:00+01:00,0.0,1130.0,2503.0
2024-01-02 00:30:00+01:00,0.0,1143.0,2524.0
2024-01-02 00:45:00+01:00,0.0,1155.0,2544.0
2024-01-02 01:00:00+01:00,0.0,1168.0,2567.0
2024-01-02 01:15:00+01:00,0.0,1185.0,2612.0
2024-01-02 01:30:00+01:00,0.0,1206.0,2681.0
2024-01-02 01:45:00+01:00,0.0,1228.0,2752.0
2024-01-02 02:00:00+01:00,0.0,1249.0,2820.0
2024-01-02 02:15:00+01:00,0.0,1272.0,2891.0
2024-01-02 02:30:00+01:00,0.0,1295.0,2954.0
2024-01-02 02:45:00+01:00,0.0,1318.0,3024.0
2024-01-02 03:00:00+01:00,0.0,1342.0,3090.0
2024-01-02 03:15:00+01:00,0.0,1357.0,3152.0
2024-01-02 03:30:00+01:00,0.0,1363.0,3212.0
2024-01-02 03:45:00+01:00,0.0,1370.0,3275.0
2024-01-02 04:00:00+01:00,0.0,1377.0,3334.0
2024-01-02 04:15:00+01:00,0.0,1379.0,3376.0
2024-01-02 04:30:00+01:00,0.0,1376.0,3399.0
2024-01-02 04:45:00+01:00,0.0,1374.0,3427.0
2024-01-02 05:00:00+01:00,0.0,1371.0,3450.0
2024-01-02 05:15:00+01:00,0.0,1370.0,3478.0
2024-01-02 05:30:00+01:00,0.0,1370.0,3510.0
2024-01-02 05:45:00+01:00,0.0,1370.0,3541.0
2024-01-02 06:00:00+01:00,0.0,1371.0,3575.0
2024-01-02 06:15:00+01:00,0.0,1371.0,3603.0
2024-01-02 06:30:00+01:00,0.0,1371.0,3633.0
2024-01-02 06:45:00+01:00,0.0,1372.0,3662.0
2024-01-02 07:00:00+01:00,0.0,1372.0,3690.0
2024-01-02 07:15:00+01:00,0.0,1372.0,3696.0
2024-01-02 07:30:00+01:00,0.0,1372.0,3680.0
2024-01-02 07:45:00+01:00,0.0,1371.0,3661.0
2024-01-02 08:00:00+01:00,0.0,1371.0,3644.0
2024-01-02 08:15:00+01:00,0.0,1370.0,3626.0
2024-01-02 08:30:00+01:00,0.0,1370.0,3609.0
2024-01-02 08:45:00+01:00,0.0,1370.0,3593.0
2024-01-02 09:00:00+01:00,0.0,1370.0,3577.0
2024-01-02 09:15:00+01:00,23.0,1370.0,3562.0
2024-01-02 09:30:00+01:00,46.0,1369.0,3548.0
2024-01-02 09:45:00+01:00,71.0,1368.0,3535.0
2024-01-02 10:00:00+01:00,95.0,1367.0,3524.0
2024-01-02 10:15:00+01:00,122.0,1365.0,3470.0
2024-01-02 10:30:00+01:00,152.0,1360.0,3372.0
2024-01-02 10:45:00+01:00,181.0,1355.0,3276.0
2024-01-02 11:00:00+01:00,213.0,1350.0,3179.0
2024-01-02 11:15:00+01:00,231.0,1339.0,3084.0
2024-01-02 11:30:00+01:00,251.0,1323.0,2985.0
2024-01-02 11:45:00+01:00,271.0,1308.0,2888.0
2024-01-02 12:00:00+01:00,292.0,1292.0,2791.0
2024-01-02 12:15:00+01:00,300.0,1265.0,2681.0
2024-01-02 12:30:00+01:00,308.0,1227.0,2561.0
2024-01-02 12:45:00+01:00,318.0,1189.0,2439.0
2024-01-02 13:00:00+01:00,328.0,1151.0,2318.0
2024-01-02 13:15:00+01:00,282.0,1147.0,2283.0
2024-01-02 13:30:00+01:00,237.0,1176.0,2330.0
2024-01-02 13:45:00+01:00,192.0,1206.0,2379.0
2024-01-02 14:00:00+01:00,146.0,1236.0,2429.0
2024-01-02 14:15:00+01:00,140.0,1260.0,2469.0
2024-01-02 14:30:00+01:00,129.0,1279.0,2496.0
2024-01-02 14:45:00+01:00,123.0,1297.0,2526.0
2024-01-02 15:00:00+01:00,115.0,1315.0,2552.0
2024-01-02 15:15:00+01:00,102.0,1328.0,2575.0
2024-01-02 15:30:00+01:00,88.0,1335.0,2593.0
2024-01-02 15:45:00+01:00,76.0,1343.0,2612.0
2024-01-02 16:00:00+01:00,65.0,1350.0,2627.0
2024-01-02 16:15:00+01:00,50.0,1358.0,2724.0
2024-01-02 16:30:00+01:00,34.0,1367.0,2896.0
2024-01-02 16:45:00+01:00,23.0,1376.0,3067.0
2024-01-02 17:00:00+01:00,8.0,1385.0,3241.0
2024-01-02 17:15:00+01:00,5.0,1389.0,3391.0
2024-01-02 17:30:00+01:00,4.0,1386.0,3512.0
2024-01-02 17:45:00+01:00,0.0,1383.0,3638.0
2024-01-02 18:00:00+01:00,0.0,1380.0,3760.0
2024-01-02 18:15:00+01:00,0.0,1378.0,3845.0
2024-01-02 18:30:00+01:00,0.0,1377.0,3888.0
2024-01-02 18:45:00+01:00,0.0,1377.0,3931.0
2024-01-02 19:00:00+01:00,0.0,1376.0,3972.0
2024-01-02 19:15:00+01:00,0.0,1376.0,4016.0
2024-01-02 19:30:00+01:00,0.0,1376.0,4055.0
2024-01-02 19:45:00+01:00,0.0,1377.0,4097.0
2024-01-02 20:00:00+01:00,0.0,1377.0,4142.0
2024-01-02 20:15:00+01:00,0.0,1378.0,4178.0
2024-01-02 20:30:00+01:00,0.0,1379.0,4213.0
2024-01-02 20:45:00+01:00,0.0,1380.0,4247.0
2024-01-02 21:00:00+01:00,0.0,1381.0,4282.0
2024-01-02 21:15:00+01:00,0.0,1381.0,4315.0
2024-01-02 21:30:00+01:00,0.0,1381.0,4342.0
2024-01-02 21:45:00+01:00,0.0,1382.0,4372.0
2024-01-02 22:00:00+01:00,0.0,1382.0,4399.0
2024-01-02 22:15:00+01:00,0.0,1382.0,4417.0
2024-01-02 22:30:00+01:00,0.0,1381.0,4426.0
2024-01-02 22:45:00+01:00,0.0,1380.0,4437.0
2024-01-02 23:00:00+01:00,0.0,1380.0,4446.0
2024-01-02 23:15:00+01:00,0.0,1379.0,4454.0
2024-01-02 23:30:00+01:00,0.0,1378.0,4465.0
2024-01-02 23:45:00+01:00,0.0,1378.0,4475.0
2024-01-03 00:00:00+01:00,0.0,1377.0,4486.0
2024-01-03 00:15:00+01:00,0.0,1376.0,4494.0
2024-01-03 00:30:00+01:00,0.0,1375.0,4498.0
2024-01-03 00:45:00+01:00,0.0,1374.0,4504.0
2024-01-03 01:00:00+01:00,0.0,1373.0,4508.0
2024-01-03 01:15:00+01:00,0.0,1372.0,4516.0
2024-01-03 01:30:00+01:00,0.0,1371.0,4522.0
2024-01-03 01:45:00+01:00,0.0,1370.0,4532.0
2024-01-03 02:00:00+01:00,0.0,1369.0,4540.0
2024-01-03 02:15:00+01:00,0.0,1368.0,4544.0
2024-01-03 02:30:00+01:00,0.0,1367.0,4542.0
2024-01-03 02:45:00+01:00,0.0,1366.0,4542.0
