,Solar,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,,173.29
2024-01-01 02:00:00+01:00,0.0,,175.34
2024-01-01 03:00:00+01:00,0.0,,174.71
2024-01-01 04:00:00+01:00,0.0,,179.21
2024-01-01 05:00:00+01:00,0.0,,181.15
2024-01-01 06:00:00+01:00,0.0,,178.22
2024-01-01 07:00:00+01:00,0.0,,178.32
2024-01-01 08:00:00+01:00,0.0,,175.51
2024-01-01 09:00:00+01:00,0.0,,176.08
2024-01-01 10:00:00+01:00,0.0,,174.94
2024-01-01 11:00:00+01:00,0.0,,173.5
2024-01-01 12:00:00+01:00,0.0,,171.27
2024-01-01 13:00:00+01:00,0.0,,169.28
2024-01-01 14:00:00+01:00,0.0,,166.98
2024-01-01 15:00:00+01:00,0.0,,167.35
2024-01-01 16:00:00+01:00,0.0,,166.37
2024-01-01 17:00:00+01:00,0.0,,164.91
2024-01-01 18:00:00+01:00,0.0,,163.23
2024-01-01 19:00:00+01:00,0.0,,161.49
2024-01-01 20:00:00+01:00,0.0,,160.41
2024-01-01 21:00:00+01:00,0.0,,159.39
2024-01-01 22:00:00+01:00,0.0,,158.04
2024-01-01 23:00:00+01:00,0.0,,156.82
2024-01-02 00:00:00+01:00,0.0,,123.53
2024-01-02 01:00:00+01:00,0.0,,124.39
2024-01-02 02:00:00+01:00,0.0,,125.02
2024-01-02 03:00:00+01:00,0.0,,125.58
2024-01-02 04:00:00+01:00,0.0,,125.37
2024-01-02 05:00:00+01:00,0.0,,124.47
2024-01-02 06:00:00+01:00,0.0,,123.41
2024-01-02 07:00:00+01:00,0.0,,123.41
2024-01-02 08:00:00+01:00,0.0,,121.1
2024-01-02 09:00:00+01:00,0.0,,121.56
2024-01-02 10:00:00+01:00,0.0,,119.62
2024-01-02 11:00:00+01:00,0.0,,118.07
2024-01-02 12:00:00+01:00,0.0,,116.01
2024-01-02 13:00:00+01:00,0.0,,117.71
2024-01-02 14:00:00+01:00,0.0,,119.39
2024-01-02 15:00:00+01:00,0.0,,124.91
2024-01-02 16:00:00+01:00,0.0,,126.63
2024-01-02 17:00:00+01:00,0.0,,129.11
2024-01-02 18:00:00+01:00,0.0,,131.62
2024-01-02 19:00:00+01:00,0.0,,133.92
2024-01-02 20:00:00+01:00,0.0,,135.8
2024-01-02 21:00:00+01:00,0.0,,137.6
2024-01-02 22:00:00+01:00,0.0,,138.74
2024-01-02 23:00:00+01:00,0.0,,139.56
2024-01-03 00:00:00+01:00,0.0,,117.87
2024-01-03 01:00:00+01:00,0.0,,118.34
2024-01-03 02:00:00+01:00,0.0,,119.61
2024-01-03 03:00:00+01:00,0.0,,122.04
2024-01-03 04:00:00+01:00,0.0,,125.31
2024-01-03 05:00:00+01:00,0.0,,127.46
2024-01-03 06:00:00+01:00,0.0,,127.89
2024-01-03 07:00:00+01:00,0.0,,126.97
2024-01-03 08:00:00+01:00,0.0,,119.51
2024-01-03 09:00:00+01:00,0.0,,134.54
2024-01-03 10:00:00+01:00,0.0,,132.47
2024-01-03 11:00:00+01:00,0.0,,132.06
2024-01-03 12:00:00+01:00,0.0,,132.9
2024-01-03 13:00:00+01:00,0.0,,135.18
2024-01-03 14:00:00+01:00,0.0,,136.94
2024-01-03 15:00:00+01:00,0.0,,144.68
2024-01-03 16:00:00+01:00,0.0,,143.02
2024-01-03 17:00:00+01:00,0.0,,139.27
2024-01-03 18:00:00+01:00,0.0,,153.14
2024-01-03 19:00:00+01:00,0.0,,148.57
2024-01-03 20:00:00+01:00,0.0,,144.11
2024-01-03 21:00:00+01:00,0.0,,138.73
2024-01-03 22:00:00+01:00,0.0,,133.8
2024-01-03 23:00:00+01:00,0.0,,128.29
2024-01-04 00:00:00+01:00,0.0,,107.52
2024-01-04 01:00:00+01:00,0.0,,104.1
2024-01-04 02:00:00+01:00,0.0,,97.74
2024-01-04 03:00:00+01:00,0.0,,94.91
2024-01-04 04:00:00+01:00,0.0,,91.86
2024-01-04 05:00:00+01:00,0.0,,90.64
2024-01-04 06:00:00+01:00,0.0,,88.23
2024-01-04 07:00:00+01:00,0.0,,86.36
2024-01-04 08:00:00+01:00,0.0,,81.65
2024-01-04 09:00:00+01:00,0.0,,83.38
2024-01-04 10:00:00+01:00,0.0,,79.78
2024-01-04 11:00:00+01:00,0.0,,76.54
2024-01-04 12:00:00+01:00,0.0,,71.5
2024-01-04 13:00:00+01:00,0.0,,67.13
2024-01-04 14:00:00+01:00,0.0,,63.4
2024-01-04 15:00:00+01:00,0.0,,62.66
2024-01-04 16:00:00+01:00,0.0,,59.1
2024-01-04 17:00:00+01:00,0.0,,54.48
2024-01-04 18:00:00+01:00,0.0,,49.96
2024-01-04 19:00:00+01:00,0.0,,46.77
2024-01-04 20:00:00+01:00,0.0,,44.8
2024-01-04 21:00:00+01:00,0.0,,42.37
2024-01-04 22:00:00+01:00,0.0,,39.88
2024-01-04 23:00:00+01:00,0.0,,38.13
2024-01-05 00:00:00+01:00,0.0,,36.65
2024-01-05 01:00:00+01:00,0.0,,36.47
2024-01-05 02:00:00+01:00,0.0,,35.96
2024-01-05 03:00:00+01:00,0.0,,35.21
2024-01-05 04:00:00+01:00,0.0,,33.65
2024-01-05 05:00:00+01:00,0.0,,32.34
2024-01-05 06:00:00+01:00,0.0,,30.76
2024-01-05 07:00:00+01:00,0.0,,29.22
2024-01-05 08:00:00+01:00,0.0,,27.77
2024-01-05 09:00:00+01:00,0.0,,25.96
2024-01-05 10:00:00+01:00,0.0,,23.97
2024-01-05 11:00:00+01:00,0.0,,21.48
2024-01-05 12:00:00+01:00,0.0,,20.31
2024-01-05 13:00:00+01:00,0.0,,19.97
2024-01-05 14:00:00+01:00,0.0,,19.98
2024-01-05 15:00:00+01:00,0.0,,20.9
2024-01-05 16:00:00+01:00,0.0,,20.37
2024-01-05 17:00:00+01:00,0.0,,19.13
2024-01-05 18:00:00+01:00,0.0,,16.67
2024-01-05 19:00:00+01:00,0.0,,14.53
2024-01-05 20:00:00+01:00,0.0,,13.61
2024-01-05 21:00:00+01:00,0.0,,13.43
2024-01-05 22:00:00+01:00,0.0,,12.63
2024-01-05 23:00:00+01:00,0.0,,11.81
2024-01-06 00:00:00+01:00,0.0,,16.98
2024-01-06 01:00:00+01:00,0.0,,18.45
2024-01-06 02:00:00+01:00,0.0,,19.34
2024-01-06 03:00:00+01:00,0.0,,19.41
2024-01-06 04:00:00+01:00,0.0,,19.76
2024-01-06 05:00:00+01:00,0.0,,20.8
2024-01-06 06:00:00+01:00,0.0,,21.83
2024-01-06 07:00:00+01:00,0.0,,21.44
2024-01-06 08:00:00+01:00,0.0,,18.82
2024-01-06 09:00:00+01:00,0.0,,15.31
2024-01-06 10:00:00+01:00,0.0,,14.34
2024-01-06 11:00:00+01:00,0.0,,14.93
2024-01-06 12:00:00+01:00,0.0,,15.67
2024-01-06 13:00:00+01:00,0.0,,16.46
2024-01-06 14:00:00+01:00,0.0,,16.54
2024-01-06 15:00:00+01:00,0.0,,15.88
2024-01-06 16:00:00+01:00,0.0,,15.81
