,Solar,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,2576.21
2024-01-01 02:00:00+01:00,0.0,2413.94
2024-01-01 03:00:00+01:00,0.0,2273.01
2024-01-01 04:00:00+01:00,0.0,2117.32
2024-01-01 05:00:00+01:00,0.0,1926.8
2024-01-01 06:00:00+01:00,0.0,1742.99
2024-01-01 07:00:00+01:00,0.0,1615.73
2024-01-01 08:00:00+01:00,94.75,1569.04
2024-01-01 09:00:00+01:00,428.22,1525.67
2024-01-01 10:00:00+01:00,684.13,1461.97
2024-01-01 11:00:00+01:00,883.0,1411.45
2024-01-01 12:00:00+01:00,830.58,1367.47
2024-01-01 13:00:00+01:00,687.36,1425.03
2024-01-01 14:00:00+01:00,478.67,1537.7
2024-01-01 15:00:00+01:00,63.64,1691.8
2024-01-01 16:00:00+01:00,0.0,1872.84
2024-01-01 17:00:00+01:00,0.0,2042.5
2024-01-01 18:00:00+01:00,0.0,2194.27
2024-01-01 19:00:00+01:00,0.0,2326.97
2024-01-01 20:00:00+01:00,0.0,2407.52
2024-01-01 21:00:00+01:00,0.0,2430.63
2024-01-01 22:00:00+01:00,0.0,2390.8
2024-01-01 23:00:00+01:00,0.0,2308.59
2024-01-02 00:00:00+01:00,0.0,2475.99
2024-01-02 01:00:00+01:00,0.0,2400.69
2024-01-02 02:00:00+01:00,0.0,2298.69
2024-01-02 03:00:00+01:00,0.0,2131.02
2024-01-02 04:00:00+01:00,0.0,1917.14
2024-01-02 05:00:00+01:00,0.0,1678.51
2024-01-02 06:00:00+01:00,0.0,1460.97
2024-01-02 07:00:00+01:00,4.41,1344.04
2024-01-02 08:00:00+01:00,300.9,1351.71
2024-01-02 09:00:00+01:00,820.32,1425.74
2024-01-02 10:00:00+01:00,1179.06,1534.49
2024-01-02 11:00:00+01:00,1370.18,1601.77
2024-01-02 12:00:00+01:00,1178.37,1748.22
2024-01-02 13:00:00+01:00,814.91,2051.05
2024-01-02 14:00:00+01:00,365.89,2505.92
2024-01-02 15:00:00+01:00,23.88,3031.17
2024-01-02 16:00:00+01:00,0.0,3506.4
2024-01-02 17:00:00+01:00,0.0,3912.28
2024-01-02 18:00:00+01:00,0.0,4248.17
2024-01-02 19:00:00+01:00,0.0,4499.74
2024-01-02 20:00:00+01:00,0.0,4689.07
2024-01-02 21:00:00+01:00,0.0,4851.06
2024-01-02 22:00:00+01:00,0.0,5011.57
2024-01-02 23:00:00+01:00,0.0,5197.76
2024-01-03 00:00:00+01:00,0.0,5484.62
2024-01-03 01:00:00+01:00,0.0,5610.97
2024-01-03 02:00:00+01:00,0.0,5722.52
