,Solar,Wind Onshore
2024-01-01 01:00:00+01:00,0.0,63.96
2024-01-01 02:00:00+01:00,0.0,64.99
2024-01-01 03:00:00+01:00,0.0,67.58
2024-01-01 04:00:00+01:00,0.0,68.9
2024-01-01 05:00:00+01:00,0.0,66.69
2024-01-01 06:00:00+01:00,0.0,65.51
2024-01-01 07:00:00+01:00,0.0,64.84
2024-01-01 08:00:00+01:00,0.0,65.89
2024-01-01 09:00:00+01:00,0.0,65.95
2024-01-01 10:00:00+01:00,0.0,64.78
2024-01-01 11:00:00+01:00,0.0,64.52
2024-01-01 12:00:00+01:00,0.0,67.41
2024-01-01 13:00:00+01:00,0.0,73.98
2024-01-01 14:00:00+01:00,0.0,80.46
2024-01-01 15:00:00+01:00,0.0,86.18
2024-01-01 16:00:00+01:00,0.0,91.0
2024-01-01 17:00:00+01:00,0.0,121.95
2024-01-01 18:00:00+01:00,0.0,131.19
2024-01-01 19:00:00+01:00,0.0,137.81
2024-01-01 20:00:00+01:00,0.0,149.17
2024-01-01 21:00:00+01:00,0.0,162.63
2024-01-01 22:00:00+01:00,0.0,178.22
2024-01-01 23:00:00+01:00,0.0,189.36
2024-01-02 00:00:00+01:00,0.0,153.38
2024-01-02 01:00:00+01:00,0.0,157.61
2024-01-02 02:00:00+01:00,0.0,161.31
2024-01-02 03:00:00+01:00,0.0,165.02
2024-01-02 04:00:00+01:00,0.0,172.6
2024-01-02 05:00:00+01:00,0.0,181.44
2024-01-02 06:00:00+01:00,0.0,190.85
2024-01-02 07:00:00+01:00,0.0,200.63
2024-01-02 08:00:00+01:00,0.0,209.51
2024-01-02 09:00:00+01:00,0.0,217.44
2024-01-02 10:00:00+01:00,0.0,232.14
2024-01-02 11:00:00+01:00,0.0,248.74
2024-01-02 12:00:00+01:00,0.0,265.2
2024-01-02 13:00:00+01:00,0.0,277.24
2024-01-02 14:00:00+01:00,0.0,288.27
2024-01-02 15:00:00+01:00,0.0,300.62
2024-01-02 16:00:00+01:00,0.0,310.68
2024-01-02 17:00:00+01:00,0.0,312.37
2024-01-02 18:00:00+01:00,0.0,312.15
2024-01-02 19:00:00+01:00,0.0,312.94
2024-01-02 20:00:00+01:00,0.0,323.73
2024-01-02 21:00:00+01:00,0.0,343.05
2024-01-02 22:00:00+01:00,0.0,366.61
2024-01-02 23:00:00+01:00,0.0,384.35
2024-01-03 00:00:00+01:00,0.0,448.4
2024-01-03 01:00:00+01:00,0.0,425.06
2024-01-03 02:00:00+01:00,0.0,404.81
2024-01-03 03:00:00+01:00,0.0,393.58
2024-01-03 04:00:00+01:00,0.0,376.6
2024-01-03 05:00:00+01:00,0.0,363.24
2024-01-03 06:00:00+01:00,0.0,351.37
