,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
22W20161130----Z,10YBE----------2,165,Nobelwind Offshore Windpark,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W201806271---D,10YBE----------2,470,EDF Luminus Seraing TGV,Fossil Gas,2023-12-31 23:00:00+00:00,220
22W20180628----H,10YBE----------2,307,Rentel Offshore WP,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W20181005PU--J,10YBE----------2,385,VILVOORDE TGV,Fossil Gas,2023-12-31 23:00:00+00:00,150
22W201902131---T,10YBE----------2,369.6,Norther Offshore WP,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W201909111---M,10YBE----------2,219.1,Northwester 2,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W20200608A---8,10YBE----------2,235.5,Mermaid,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W20200608C---Z,10YBE----------2,252,Seastar,Wind Offshore,2023-12-31 23:00:00+00:00,220
22W20220520----B,10YBE----------2,890,Flémalle CCGT,Fossil Gas,2025-12-31 23:00:00+00:00,380
22W20231024----8,10YBE----------2,885,Luminus Seraing 2.0 CCGT,Fossil Gas,2025-12-31 23:00:00+00:00,220
22W202312042---S,10YBE----------2,200,Vilvoorde BESS,Energy storage,2025-12-31 23:00:00+00:00,380
22WAMERCO000010Y,10YBE----------2,451,Amercoeur 1 R TGV,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WBELWIN0000271,10YBE----------2,171,Belwind Phase 1,Wind Offshore,2023-12-31 23:00:00+00:00,150
22WCOOXII000070C,10YBE----------2,690,COO II T,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
22WCOOXIX000067T,10YBE----------2,474,COO I T,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
22WDOELX1000076X,10YBE----------2,445,DOEL 1,Nuclear,2023-12-31 23:00:00+00:00,380
22WDOELX2000077N,10YBE----------2,445,DOEL 2,Nuclear,2023-12-31 23:00:00+00:00,380
22WDOELX40000793,10YBE----------2,1039,DOEL 4,Nuclear,2023-12-31 23:00:00+00:00,380
22WDROGEN0000863,10YBE----------2,465,DROGENBOS TGV,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WHERDER0001288,10YBE----------2,480.3,HERDERSBRUG STEG,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WINESCO000149P,10YBE----------2,138,INESCO WKK,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WMARCIN000179H,10YBE----------2,413,Marcinelle Energie (Carsid),Fossil Gas,2023-12-31 23:00:00+00:00,150
22WNORTHW000187B,10YBE----------2,216,Northwind,Wind Offshore,2023-12-31 23:00:00+00:00,220
22WPLATEX000208N,10YBE----------2,144,PLATE-TAILLE T,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,150
22WRINGVA000209C,10YBE----------2,385,RINGVAART STEG,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WRODENH000213L,10YBE----------2,268,RODENHUIZE 4,Biomass,2023-12-31 23:00:00+00:00,150
22WSAINT-000221B,10YBE----------2,386,SAINT-GHISLAIN STEG,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WSCHELD0002261,10YBE----------2,140,Scheldelaan Exxonmobil,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WT-POWE000244W,10YBE----------2,422,T-power Beringen,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WTHORNT000237E,10YBE----------2,147.6,Thorntonbank - C-Power - Area NE,Wind Offshore,2023-12-31 23:00:00+00:00,150
22WTHORNT000238C,10YBE----------2,177.6,Thorntonbank - C-Power - Area SW,Wind Offshore,2023-12-31 23:00:00+00:00,150
22WTIHANG000239G,10YBE----------2,481,TIHANGE 1N,Nuclear,2023-12-31 23:00:00+00:00,380
22WTIHANG000240V,10YBE----------2,481,TIHANGE 1S,Nuclear,2023-12-31 23:00:00+00:00,380
22WTIHANG000242R,10YBE----------2,1038,TIHANGE 3,Nuclear,2023-12-31 23:00:00+00:00,380
22WZANDVL000255D,10YBE----------2,386.2,Zandvliet Power,Fossil Gas,2023-12-31 23:00:00+00:00,150
22WZELZAT0002618,10YBE----------2,315,Zelzate 2 Knippegroen,Fossil Gas,2023-12-31 23:00:00+00:00,150
