,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11W0-0000-0029-P,10Y1001A1001A82H,332,Windpark Nordsee One,Wind Offshore,2023-12-31 23:00:00+00:00,155
11W0-0000-0038-O,10Y1001A1001A82H,162,HKW Halle Dieselstraße,Fossil Gas,2023-12-31 23:00:00+00:00,20
11W0-0000-0043-Z,10Y1001A1001A82H,1052,Datteln,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11W0-0000-0095-9,10Y1001A1001A82H,396,Merkur Offshore GmbH,Wind Offshore,2023-12-31 23:00:00+00:00,110
11W0-0000-0100-I,10Y1001A1001A82H,264,GuD Marzahn,Fossil Gas,2023-12-31 23:00:00+00:00,110
11W0-0000-0130-6,10Y1001A1001A82H,450,Borkum Riffgrund II,Wind Offshore,2023-12-31 23:00:00+00:00,155
11W0-0000-0145-O,10Y1001A1001A82H,112.3,Radag,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,110
11W0-0000-0152-T,10Y1001A1001A82H,378,Arkona,Wind Offshore,2023-12-31 23:00:00+00:00,380
11W0-0000-0162-P,10Y1001A1001A82H,190.4,Küstenkraftwerk,Fossil Gas,2023-12-31 23:00:00+00:00,110
11W0-0000-0169-4,10Y1001A1001A82H,497,Windpark Hohe See,Wind Offshore,2023-12-31 23:00:00+00:00,380
11W0-0000-0170-R,10Y1001A1001A82H,112,Windpark Albatros,Wind Offshore,2023-12-31 23:00:00+00:00,380
11W0-0000-0171-O,10Y1001A1001A82H,252,Deutsche Bucht,Wind Offshore,2023-12-31 23:00:00+00:00,155
11W0-0000-0191-G,10Y1001A1001A82H,475,UW Bertikow Wind,Wind Onshore,2023-12-31 23:00:00+00:00,155
11W0-0000-0212-3,10Y1001A1001A82H,108,OWP Nordergründe GmbH,Wind Offshore,2023-12-31 23:00:00+00:00,110
11W0-0000-0261-N,10Y1001A1001A82H,200,Trianel Windpark Borkum II,Wind Offshore,2024-12-31 23:00:00+00:00,155
11W0-0000-0279-W,10Y1001A1001A82H,288,OWP Butendiek,Wind Offshore,2023-12-31 23:00:00+00:00,155
11W0-0000-0340-T,10Y1001A1001A82H,167,HKW Nord,Fossil Gas,2023-12-31 23:00:00+00:00,110
11W0-0000-0387-T,10Y1001A1001A82H,122.2,SP Gottesgabe,Solar,2023-12-31 23:00:00+00:00,110
11W0-0000-0389-N,10Y1001A1001A82H,122.2,SP Alttrebbin,Solar,2023-12-31 23:00:00+00:00,110
11W0-0000-0414-O,10Y1001A1001A82H,136,GuD Sued,Fossil Gas,2023-12-31 23:00:00+00:00,110
11W0-0000-0492-Z,10Y1001A1001A82H,257,Arcadis Ost 1,Wind Offshore,2023-12-31 23:00:00+00:00,220
11W0-0000-0512-P,10Y1001A1001A82H,171,Kaskasi 1,Wind Offshore,2023-12-31 23:00:00+00:00,380
11W0-0000-0513-M,10Y1001A1001A82H,171,Kaskasi 2,Wind Offshore,2023-12-31 23:00:00+00:00,380
11W0-0000-0657-Q,10Y1001A1001A82H,180.3,PV Boitzenburger Land,Solar,2023-12-31 23:00:00+00:00,110
11W0-0000-0667-M,10Y1001A1001A82H,150,GuD 40,Fossil Gas,2024-12-31 23:00:00+00:00,110
11W0-0000-0668-J,10Y1001A1001A82H,150,GuD 50,Fossil Gas,2024-12-31 23:00:00+00:00,110
11W0-0000-0696-D,10Y1001A1001A82H,870,KMW_GENERATION,Fossil Gas,2023-12-31 23:00:00+00:00,110
11W0-0000-0708-1,10Y1001A1001A82H,608.1,Herne,Fossil Gas,2023-12-31 23:00:00+00:00,380
11W0-0000-0731-A,10Y1001A1001A82H,319,Windpark Borkum Riffgrund III,Wind Offshore,2025-12-31 23:00:00+00:00,66
11W0-0000-0732-7,10Y1001A1001A82H,242,Gode Wind III,Wind Offshore,2024-12-31 23:00:00+00:00,155
11W0-0000-0771-V,10Y1001A1001A82H,109,Energiepark Witznitz,Solar,2023-12-31 23:00:00+00:00,380
11WD2BHAS000271O,10Y1001A1001A82H,225,KW Hastedt,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD2BMIT0002731,10Y1001A1001A82H,176,KW Mittelsbueren,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2BUKW000310A,10Y1001A1001A82H,120,Burghausen_GT,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2ERZH0002682,10Y1001A1001A82H,220,PSW Erzhausen,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD2FARK000287K,10Y1001A1001A82H,350,Kraftwerk Farge,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD2FFW-000203E,10Y1001A1001A82H,272.6,HKW West,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2FREI000095T,10Y1001A1001A82H,110.4,HKW Freimann,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2GEBE000177K,10Y1001A1001A82H,823,Franken I,Fossil Gas,2023-12-31 23:00:00+00:00,110
