,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
45W0000000000110,10YDK-1--------W,392,Skaerbaekvaerket,Fossil Gas,2023-12-31 23:00:00+00:00,400
45W000000000014V,10YDK-1--------W,407.1,Fynsvaerket,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
45W000000000015T,10YDK-1--------W,730,Studstrupvaerket,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
45W000000000016R,10YDK-1--------W,412,Nordjyllandsvaerket,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
45W000000000022W,10YDK-1--------W,399.6,Anholt,Wind Offshore,2023-12-31 23:00:00+00:00,220
45W000000000023U,10YDK-1--------W,160,Horns Rev A,Wind Offshore,2023-12-31 23:00:00+00:00,150
45W000000000024S,10YDK-1--------W,209.3,Horns Rev B,Wind Offshore,2023-12-31 23:00:00+00:00,150
45W000000000112V,10YDK-1--------W,108.2,Silkeborgvaerket,Fossil Gas,2023-12-31 23:00:00+00:00,60
45W000000000114R,10YDK-1--------W,407,Horns Rev C,Wind Offshore,2023-12-31 23:00:00+00:00,220
45W000000000153H,10YDK-1--------W,303,Solar Park Kassø,Solar,2023-12-31 23:00:00+00:00,150
45W000000000156B,10YDK-1--------W,165,Solar Park Gedmosen,Solar,2023-12-31 23:00:00+00:00,150
45W000000000172D,10YDK-1--------W,176,Vesterhav Nord,Wind Offshore,2024-12-31 23:00:00+00:00,150
45W000000000173B,10YDK-1--------W,168,Vesterhav Syd,Wind Offshore,2023-12-31 23:00:00+00:00,150
45W000000000206M,10YDK-1--------W,200,Solar Park Viuf and Håstrup,Solar,2025-12-31 23:00:00+00:00,150
45W000000000213P,10YDK-1--------W,175,Solar Park Holsted,Solar,2024-12-31 23:00:00+00:00,150
