,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
18W0000000000YR0,10YES-REE------0,102,EMEDI1,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W00000000010Z8,10YES-REE------0,130,EFEGEL1,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W0000000001101,10YES-REE------0,152.7,EFEGEL2,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W0000000001EAG,10YES-REE------0,479.7,EGASNE1,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W0000000005EQ5,10YES-REE------0,498.5,FEGPE1,Solar,2023-12-31 23:00:00+00:00,400
18W000000000A0UJ,10YES-REE------0,863.3,SOLARES 1,Solar,2024-12-31 23:00:00+00:00,400
18W000000000AI3J,10YES-REE------0,148.3,RODRIG,Solar,2023-12-31 23:00:00+00:00,220
18W000000000C7QZ,10YES-REE------0,429.9,EREGPE1,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000EZ9E,10YES-REE------0,447.3,EGASNE0,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000F0OB,10YES-REE------0,615.3,EGASNE2,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000F3DO,10YES-REE------0,392.8,SOLARMULA,Solar,2023-12-31 23:00:00+00:00,400
18W000000000FJQO,10YES-REE------0,216.6,FREGPE,Solar,2023-12-31 23:00:00+00:00,400
18W000000000H6OM,10YES-REE------0,100,SFGUILLENA,Solar,2023-12-31 23:00:00+00:00,220
18W000000000HTLX,10YES-REE------0,108,HC XALLAS1,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18W000000000I2I5,10YES-REE------0,113.3,EOL 09,Wind Onshore,2023-12-31 23:00:00+00:00,46
18W000000000I2K1,10YES-REE------0,267.2,PV AUDAX,Solar,2023-12-31 23:00:00+00:00,110
18W000000000I7A6,10YES-REE------0,140.9,FFIBGES,Solar,2024-12-31 23:00:00+00:00,400
18W000000000IB62,10YES-REE------0,306,FGIBGES,Solar,2023-12-31 23:00:00+00:00,220
18W000000000IG2W,10YES-REE------0,715.4,HCGSIHA,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000IG3U,10YES-REE------0,696.5,HCGSCSA,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000IG4S,10YES-REE------0,235.9,HCGEORS,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000IT2U,10YES-REE------0,270.4,FGASNE2,Solar,2023-12-31 23:00:00+00:00,220
18W000000000IVA8,10YES-REE------0,335.4,EREPSOL,Wind Onshore,2023-12-31 23:00:00+00:00,132
18W000000000J1G8,10YES-REE------0,180.1,SHEEN PV3,Solar,2023-12-31 23:00:00+00:00,400
18W000000000JIIR,10YES-REE------0,280.7,RWESZN,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000L44F,10YES-REE------0,206.2,VALDESOLAR,Solar,2023-12-31 23:00:00+00:00,400
18W000000000LD1V,10YES-REE------0,536,FREGPEM,Solar,2023-12-31 23:00:00+00:00,400
18W000000000LG2K,10YES-REE------0,157.5,FV 14,Solar,2023-12-31 23:00:00+00:00,44
18W000000000MOY2,10YES-REE------0,243.9,FTASOL,Solar,2023-12-31 23:00:00+00:00,400
18W000000000MU2B,10YES-REE------0,1106.5,EOLICAGES1,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000MYG8,10YES-REE------0,159,COMETAS,Wind Onshore,2023-12-31 23:00:00+00:00,220
18W000000000N00R,10YES-REE------0,250,FGENIA,Solar,2023-12-31 23:00:00+00:00,400
18W000000000N3TY,10YES-REE------0,100,EBOREA,Wind Onshore,2023-12-31 23:00:00+00:00,220
18W000000000N85U,10YES-REE------0,202.6,FV100EGHAB,Solar,2023-12-31 23:00:00+00:00,400
18W000000000NX7P,10YES-REE------0,130,OLMEDILLA,Solar,2023-12-31 23:00:00+00:00,400
18W000000000NXAJ,10YES-REE------0,300,EGECAM,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000NXPQ,10YES-REE------0,1296.1,FHIBGES,Solar,2023-12-31 23:00:00+00:00,400
18W000000000O4HE,10YES-REE------0,130,FV SABINAR,Solar,2023-12-31 23:00:00+00:00,400
18W000000000O9Z0,10YES-REE------0,193.4,FFFGASN,Solar,2024-12-31 23:00:00+00:00,400
18W000000000OY5M,10YES-REE------0,168.8,HABGN,Solar,2023-12-31 23:00:00+00:00,400
18W000000000P6PP,10YES-REE------0,110.2,ESTELO,Wind Onshore,2023-12-31 23:00:00+00:00,132
18W000000000P9SA,10YES-REE------0,103.3,EGREEN2,Other renewable,2024-12-31 23:00:00+00:00,220
18W000000000POUZ,10YES-REE------0,122.5,EFPART,Wind Onshore,2023-12-31 23:00:00+00:00,400
18W000000000PVZ4,10YES-REE------0,163.9,FVGREEN,Solar,2023-12-31 23:00:00+00:00,220
18W000000000Q2YF,10YES-REE------0,112,ALFOZ,Wind Onshore,2023-12-31 23:00:00+00:00,220
18W000000000Q5F7,10YES-REE------0,169.5,FRSIGMA,Solar,2023-12-31 23:00:00+00:00,400
18W000000000Q7E3,10YES-REE------0,448.3,FIIBGES,Solar,2024-12-31 23:00:00+00:00,400
18W000000000QDFK,10YES-REE------0,212.1,PEVER,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000QG8P,10YES-REE------0,361.4,MOL EBRO,Wind Onshore,2023-12-31 23:00:00+00:00,220
18W000000000QIOO,10YES-REE------0,114.4,CLIFV48,Solar,2023-12-31 23:00:00+00:00,400
18W000000000QSL0,10YES-REE------0,134.6,UPRENCIERZ,Wind Onshore,2024-12-31 23:00:00+00:00,66
18W000000000QZQ6,10YES-REE------0,110,PREAL01,Solar,2024-12-31 23:00:00+00:00,110
18W000000000QZS2,10YES-REE------0,125.3,FEHIBHV,Other renewable,2024-12-31 23:00:00+00:00,220
18W000000000R0HE,10YES-REE------0,179.1,HIBSIHA,Other renewable,2025-12-31 23:00:00+00:00,400
18W000000000R310,10YES-REE------0,157.5,FLAISLA,Solar,2024-12-31 23:00:00+00:00,44
18W000000000R3SK,10YES-REE------0,100,EPRADA2,Wind Onshore,2024-12-31 23:00:00+00:00,220
18W000000000RAR1,10YES-REE------0,124,FVEMINN,Solar,2024-12-31 23:00:00+00:00,400
18W000000000RATY,10YES-REE------0,116.5,UPFCENT,Solar,2024-12-31 23:00:00+00:00,400
18W000000000RCL7,10YES-REE------0,180,TICO,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000RDHC,10YES-REE------0,113.3,LAS MAJAS,Wind Onshore,2024-12-31 23:00:00+00:00,220
18W000000000RHV9,10YES-REE------0,430,FIBGEPI,Solar,2024-12-31 23:00:00+00:00,400
18W000000000RHW7,10YES-REE------0,391,FIBGENB,Solar,2024-12-31 23:00:00+00:00,400
18W000000000RHX5,10YES-REE------0,106,FIBGEAR,Solar,2024-12-31 23:00:00+00:00,220
18W000000000RHY3,10YES-REE------0,237,FIBGEOR,Solar,2024-12-31 23:00:00+00:00,220
18W000000000RHZ1,10YES-REE------0,267,FIBGECE,Solar,2024-12-31 23:00:00+00:00,400
18W000000000RI0V,10YES-REE------0,104,EIBGEBU,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000RIE3,10YES-REE------0,175,EEGPE1,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000RVKQ,10YES-REE------0,478.3,EEGPES,Wind Onshore,2024-12-31 23:00:00+00:00,400
18W000000000RVLO,10YES-REE------0,245.7,EREGPES,Wind Onshore,2025-12-31 23:00:00+00:00,220
18W000000000RX3H,10YES-REE------0,100,FGST150,Solar,2024-12-31 23:00:00+00:00,45
18W000000000RX5D,10YES-REE------0,150,FGST151,Solar,2024-12-31 23:00:00+00:00,45
18W000000000RX79,10YES-REE------0,150,FGST152,Solar,2024-12-31 23:00:00+00:00,45
18W000000000S76B,10YES-REE------0,170,FTRI,Solar,2025-12-31 23:00:00+00:00,400
18W000000000S8ET,10YES-REE------0,114.4,UPGARNACHA,Solar,2025-12-31 23:00:00+00:00,400
18W000000000S9TX,10YES-REE------0,325,FIEBGETA,Solar,2025-12-31 23:00:00+00:00,400
18W000000000S9UV,10YES-REE------0,250,FIBGEVE,Solar,2025-12-31 23:00:00+00:00,400
18W000000000SNEL,10YES-REE------0,144,EMCIBGE,Wind Onshore,2025-12-31 23:00:00+00:00,220
18W000000000SNGH,10YES-REE------0,106.8,ERRIBGE,Wind Onshore,2025-12-31 23:00:00+00:00,220
18W000000000SNID,10YES-REE------0,112.8,UP CASTAÑO,Solar,2025-12-31 23:00:00+00:00,30
18W000000000SNK9,10YES-REE------0,126,UP SERBAL,Solar,2025-12-31 23:00:00+00:00,30
18W000000000SSF4,10YES-REE------0,113,FBALBON,Solar,2025-12-31 23:00:00+00:00,400
18W000000000T2JX,10YES-REE------0,561.8,ABO2G,Fossil Gas,2025-12-31 23:00:00+00:00,220
18W000000000T3JU,10YES-REE------0,130,FGST176,Solar,2025-12-31 23:00:00+00:00,45
18W000000000T3LQ,10YES-REE------0,193.2,FGST177,Solar,2025-12-31 23:00:00+00:00,45
18W000000000T929,10YES-REE------0,146.5,ECERRA2,Wind Onshore,2025-12-31 23:00:00+00:00,400
18W000000000TGB7,10YES-REE------0,107.5,FTERRER,Solar,2025-12-31 23:00:00+00:00,400
18W000000000TGIU,10YES-REE------0,110.8,EIBGECA,Wind Onshore,2025-12-31 23:00:00+00:00,220
18W000000000TGOI,10YES-REE------0,250,FIBGECP,Solar,2025-12-31 23:00:00+00:00,400
18W000000000THNH,10YES-REE------0,236,FIBGECR,Solar,2025-12-31 23:00:00+00:00,400
18W000000000TRIY,10YES-REE------0,200,UPARM,Solar,2025-12-31 23:00:00+00:00,30
18W18WSRI4--123V,10YES-REE------0,426,SOTORIBE 4,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WABO1-12345-0X,10YES-REE------0,341.7,ABO¿O 1,Fossil Hard coal,2023-12-31 23:00:00+00:00,132
18WABO2-12345-0N,10YES-REE------0,561.8,ABO¿O 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
18WACE3-12345-00,10YES-REE------0,386,ACECA 3 IB,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WACE4-12345-0R,10YES-REE------0,372.6,ACECA 4 UF,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WAGUB-12345-0T,10YES-REE------0,360,AGUAYO B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
