,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
17W000000012058D,10YFR-RTE------C,95,MONTAHUT,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,225
17W0000000128028,10YFR-RTE------C,88.8,ORLU,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,150
17W000000012829P,10YFR-RTE------C,92.8,HOSPITALET,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,225
17W000000989065O,10YFR-RTE------C,126,FR_CPCUSO_GP,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W000000989066M,10YFR-RTE------C,125,FR_CPCUCOGEVI_GP,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W000001017788H,10YFR-RTE------C,40.5,SEYSSEL,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017789F,10YFR-RTE------C,90,CHAUTAGNE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017790U,10YFR-RTE------C,90,BRENS,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W000001017791S,10YFR-RTE------C,70,BREGNIER-CORDON,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017792Q,10YFR-RTE------C,44.6,SAULT-BRENAZ,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017793O,10YFR-RTE------C,80,PIERRE-BENITE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017794M,10YFR-RTE------C,72,VAUGRIS,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017795K,10YFR-RTE------C,80,SABLONS 1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W000001017796I,10YFR-RTE------C,80,SABLONS 2,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017797G,10YFR-RTE------C,60,GERVANS 1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W000001017798E,10YFR-RTE------C,60,GERVANS 2,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017799C,10YFR-RTE------C,63.8,LOGIS NEUF 2,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001017800G,10YFR-RTE------C,66,SAUVETERRE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W000001023704Q,10YFR-RTE------C,446,FR_LANDIVISIAUPU,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W000001345677Y,10YFR-RTE------C,480,BANC DE GUERANDE,Wind Offshore,2023-12-31 23:00:00+00:00,225
17W000001445568W,10YFR-RTE------C,497,FECAMP,Wind Offshore,2023-12-31 23:00:00+00:00,225
17W0000014685871,10YFR-RTE------C,240,COGENERATION NORMANDIE,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W000001521205J,10YFR-RTE------C,496,PARC EOLIEN EN MER DE LA BAIE DE ST-BRIEUC,Wind Offshore,2023-12-31 23:00:00+00:00,225
17W0000016003398,10YFR-RTE------C,230,CENTRALE SOLAIRE PHOTOVOLTAIQUE DE CONSTANTIN,Solar,2024-12-31 23:00:00+00:00,225
17W000001637625S,10YFR-RTE------C,105,BESS_AFD7_BARBAN_SAUCATS,Other,2024-12-31 23:00:00+00:00,225
17W000002144988S,10YFR-RTE------C,500,FERME EOLIENNE DE VENT-DES-ILES,Wind Offshore,2025-12-31 23:00:00+00:00,225
17W100B100P0189S,10YFR-RTE------C,1300,CATTENOM 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100B100P0287S,10YFR-RTE------C,131.8,MONTPEZAT,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,225
17W100P100P01776,10YFR-RTE------C,910,BLAYAIS 1,Nuclear,2023-12-31 23:00:00+00:00,400
