,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
48WSTN00000BAGE8,10YGB----------A,552,BAGE,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000BLLAV,10YGB----------A,134,BLLA,Wind Onshore,2023-12-31 23:00:00+00:00,132
48WSTN00000BLLXM,10YGB----------A,69,BLLX,Wind Onshore,2023-12-31 23:00:00+00:00,275
48WSTN00000BRGGA,10YGB----------A,268,BRGG,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000BRYPC,10YGB----------A,245,BRYP,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000CARRI,10YGB----------A,910,CARR,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000CASSD,10YGB----------A,11,CASS,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000CDCLQ,10YGB----------A,440,CDCL,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000CLACI,10YGB----------A,44,CLAC,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000CORBV,10YGB----------A,401,CORB,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000COSO2,10YGB----------A,800,COSO,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000COWEA,10YGB----------A,100,COWE,Fossil Oil,2023-12-31 23:00:00+00:00,400
48WSTN00000CRUAC,10YGB----------A,440,CRUA,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,275
48WSTN00000DAMCL,10YGB----------A,805,DAMC,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000DEEP3,10YGB----------A,260,DEEP,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000DERWO,10YGB----------A,236,DERW,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000DNGBQ,10YGB----------A,1320,DNGB,Nuclear,2023-12-31 23:00:00+00:00,400
48WSTN00000EAAOS,10YGB----------A,680,EAAO,Wind Offshore,2023-12-31 23:00:00+00:00,400
48WSTN00000EECLC,10YGB----------A,408,EECL,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000ERROK,10YGB----------A,75,ERRO,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000FASN8,10YGB----------A,75,FASN,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000FAWNX,10YGB----------A,150,FAWN,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000FELLH,10YGB----------A,180,FELL,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000FERRO,10YGB----------A,1960,FERR,Fossil Hard coal,2023-12-31 23:00:00+00:00,275
48WSTN00000FFESK,10YGB----------A,384,FFES,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,275
48WSTN00000FIDLP,10YGB----------A,1961,FIDL,Fossil Hard coal,2023-12-31 23:00:00+00:00,275
48WSTN00000FINLW,10YGB----------A,17,FINL,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000FOYEQ,10YGB----------A,320,FOYE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,275
48WSTN00000GAURQ,10YGB----------A,999,GAUR,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000GRMOP,10YGB----------A,144,GRMO,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000GRUBR,10YGB----------A,34,GRUB,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000GYARR,10YGB----------A,420,GYAR,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000HINB5,10YGB----------A,1400,HINB,Nuclear,2023-12-31 23:00:00+00:00,400
48WSTN00000HRTL5,10YGB----------A,1332,HRTL,Nuclear,2023-12-31 23:00:00+00:00,275
48WSTN00000HUMR2,10YGB----------A,1240,HUMR,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000HUNBV,10YGB----------A,1320,HUNB,Nuclear,2023-12-31 23:00:00+00:00,400
48WSTN00000INAWE,10YGB----------A,25,INAW,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000INDQH,10YGB----------A,140,INDQ,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000KEAD4,10YGB----------A,893,KEAD,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000LAGA3,10YGB----------A,905,LAGA,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000LAIGM,10YGB----------A,999,LAIG,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000LBARK,10YGB----------A,735,LBAR,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000LOAND,10YGB----------A,2400,LOAN,Fossil Hard coal,2023-12-31 23:00:00+00:00,275
48WSTN00000LOCGL,10YGB----------A,999,LOCG,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000MARKJ,10YGB----------A,55,MARK,Other,2023-12-31 23:00:00+00:00,275
48WSTN00000MEDPZ,10YGB----------A,700,MEDP,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000MRWDO,10YGB----------A,920,MRWD,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000NANT8,10YGB----------A,15,NANT,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000OLDSS,10YGB----------A,560,OLDS,Nuclear,2023-12-31 23:00:00+00:00,275
48WSTN00000PEHEU,10YGB----------A,1840,PEHE,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000PEMBL,10YGB----------A,2305,PEMB,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000PETEV,10YGB----------A,405,PETE,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000RANN0,10YGB----------A,51,RANN,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
48WSTN00000RATS9,10YGB----------A,2020,RATS,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
48WSTN00000ROCKK,10YGB----------A,830,ROCK,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000ROOS5,10YGB----------A,229,ROOS,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000RREWF,10YGB----------A,90,RREW,Wind Offshore,2023-12-31 23:00:00+00:00,275
48WSTN00000RRWWZ,10YGB----------A,90,RRWW,Wind Offshore,2023-12-31 23:00:00+00:00,275
48WSTN00000SCCLO,10YGB----------A,1200,SCCL,Fossil Gas,2023-12-31 23:00:00+00:00,275
48WSTN00000SEAB5,10YGB----------A,1258,SEAB,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000SEELA,10YGB----------A,299,SEEL,Fossil Gas,2023-12-31 23:00:00+00:00,400
48WSTN00000SFILV,10YGB----------A,20,SFIL,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
