,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
26W-0066050TORI9,10Y1001A1001A73I,368,IM_0066050UP_TORINONORD_1,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-1216960CETS8,10Y1001A1001A73I,115,IM_1216960UP_CETSERVOLA_1,Fossil Gas,2023-12-31 23:00:00+00:00,132
26W-1382671TRINS,10Y1001A1001A73I,197,IM_1382671UP_TRINOBESS2_1,Other,2024-12-31 23:00:00+00:00,380
26W-M03SFRNSFRNA,10Y1001A1001A73I,268,IM_M03SFRNUP_SFRNGNRZNE_2,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,380
26W-R01ENTRETQ-M,10Y1001A1001A73I,125,IM_R01ENTRUP_ETQ_ROVINA_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S01BVRGVERZR,10Y1001A1001A73I,100,IM_S01BVRGUP_VERZUOLO_2,Fossil Gas,2023-12-31 23:00:00+00:00,132
26W-S01CHVSCHIV0,10Y1001A1001A73I,370,IM_S01CHVSUP_CHIVASSO_2,Fossil Gas,2023-12-31 23:00:00+00:00,150
26W-S01ECLFNCTLB,10Y1001A1001A73I,776,IM_S01ECLFUP_NCTLVRNFRR_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S01ENTRETQCL,10Y1001A1001A73I,1064,IM_S01ENTRUP_ETQCHIOTAS_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S01LNEILEINX,10Y1001A1001A73I,385,IM_S01LNEIUP_LEINI_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S01MNCLMONCJ,10Y1001A1001A73I,373,IM_S01MNCLUP_MONCALIERI_3,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-S01RASNROSO1,10Y1001A1001A73I,135,IM_S01RASNUP_ROSONE_1,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
26W-S01VNSEVENAF,10Y1001A1001A73I,230,IM_S01VNSEUP_VENAUS_1,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,380
26W-S02AVSIAVISB,10Y1001A1001A73I,127,IM_S02AVSIUP_AVISE_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26W-S02VLPLVALPT,10Y1001A1001A73I,130,IM_S02VLPLUP_VALPELLIN_1,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
26W-S03ACMNCASSO,10Y1001A1001A73I,843,IM_S03ACMNUP_CASSANO_2,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03ACMSCTE-I,10Y1001A1001A73I,381,IM_S03ACMSUP_CTE_DEL_M_2,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-S03CDTLCNTRJ,10Y1001A1001A73I,800,IM_S03CDTLUP_CNTRLDTRNL_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03DBLMTNRSW,10Y1001A1001A73I,122,IM_S03DBLMUP_TNRSDLMNSP_1,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-S03EDLOEDOLM,10Y1001A1001A73I,950,IM_S03EDLOUP_EDOLO_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S03FERRNPWR1,10Y1001A1001A73I,230,IM_S03FERRUP_NPWRFRRRRB_10,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03GRGNGARGA,10Y1001A1001A73I,137,IM_S03GRGNUP_GARGNANO_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
26W-S03RNCVRONCH,10Y1001A1001A73I,1000,IM_S03RNCVUP_RONCOVALG_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S03SFRNS-FIB,10Y1001A1001A73I,272,IM_S03SFRNUP_S.FIORANO_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S03SRMDSERMH,10Y1001A1001A73I,367,IM_S03SRMDUP_SERMIDE_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03TRBGTURBK,10Y1001A1001A73I,425,IM_S03TRBGUP_TURBIGO_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03TVZZ1159W,10Y1001A1001A73I,0,IM_S03TVZZUP_115980_31571,Other,2023-12-31 23:00:00+00:00,380
26W-S03TVZZTAVAZ,10Y1001A1001A73I,371,IM_S03TVZZUP_TAVAZZANO_C_6,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S03VEGHVOGHQ,10Y1001A1001A73I,381,IM_S03VEGHUP_VOGHERA_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S04CRDACARDD,10Y1001A1001A73I,121,IM_S04CRDAUP_CARDANO_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26W-S04NATRCNTR9,10Y1001A1001A73I,175,IM_S04NATRUP_CNTRLNTRNO_11,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
