,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
49W000000000000J,10YNL----------L,120.3,Westereems,Wind Onshore,2023-12-31 23:00:00+00:00,110
49W0000000000342,10YNL----------L,112,Den Haag,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W0000000000431,10YNL----------L,684,Diemen,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000045Y,10YNL----------L,440,Hemweg,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000046W,10YNL----------L,869,Velsen,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000047U,10YNL----------L,248,Lage Weide 6,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000048S,10YNL----------L,455,TNZ150 ELSTA,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W0000000000504,10YNL----------L,128,NAM Schoonebeek,Fossil Gas,2023-12-31 23:00:00+00:00,110
49W0000000000512,10YNL----------L,435,Sloecentrale 10,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000054X,10YNL----------L,485,Borssele 30,Nuclear,2023-12-31 23:00:00+00:00,380
49W000000000058P,10YNL----------L,928,Enecogen,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000063W,10YNL----------L,766,Moerdijk,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000066Q,10YNL----------L,1580,Eemshaven ,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
49W000000000069K,10YNL----------L,1304,Claus,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000070Z,10YNL----------L,631,Amer,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
49W000000000072V,10YNL----------L,443,FLEVO 4,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000074R,10YNL----------L,464,FLEVO 5,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000078J,10YNL----------L,731,NLROTTETH__1,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
49W000000000080W,10YNL----------L,360,Eems 7,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000082S,10YNL----------L,360,Eems 6,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000084O,10YNL----------L,360,Eems 5,Fossil Gas,2023-12-31 23:00:00+00:00,220
49W000000000086K,10YNL----------L,360,Eems 4,Fossil Gas,2023-12-31 23:00:00+00:00,220
49W000000000088G,10YNL----------L,360,Eems 3,Fossil Gas,2023-12-31 23:00:00+00:00,220
49W000000000090T,10YNL----------L,225,Merwedekanaal 12,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000092P,10YNL----------L,125,PERGEN 1,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000094L,10YNL----------L,125,PERGEN 2,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000096H,10YNL----------L,131,Eems 20,Fossil Gas,2023-12-31 23:00:00+00:00,220
49W000000000102B,10YNL----------L,1070,Maasvlakte,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
49W0000000001047,10YNL----------L,220,RoCa,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000110C,10YNL----------L,122,Prinses Alexia Windpark,Wind Onshore,2023-12-31 23:00:00+00:00,150
49W000000000111A,10YNL----------L,108,OWEZ,Wind Offshore,2023-12-31 23:00:00+00:00,150
49W0000000001128,10YNL----------L,750,Rijnmond,Fossil Gas,2023-12-31 23:00:00+00:00,150
49W000000000117Z,10YNL----------L,435,Sloecentrale 20,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000119V,10YNL----------L,1410,Eemshaven,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W0000000001225,10YNL----------L,426,Maastroom Energie CV,Fossil Gas,2023-12-31 23:00:00+00:00,380
49W000000000127W,10YNL----------L,600,Windpark Gemini,Wind Offshore,2023-12-31 23:00:00+00:00,380
49W0000000001411,10YNL----------L,144,Westermeerwind,Wind Offshore,2023-12-31 23:00:00+00:00,110
49W000000000143Y,10YNL----------L,195,WP NOP Agrowind,Wind Onshore,2023-12-31 23:00:00+00:00,110
49W000000000144W,10YNL----------L,129,Windfarm Luchterduinen,Wind Offshore,2023-12-31 23:00:00+00:00,150
49W000000000146S,10YNL----------L,120,Windfarm Princess Amalia,Wind Offshore,2023-12-31 23:00:00+00:00,150
49W000000000147Q,10YNL----------L,376,Borssele 1,Wind Offshore,2023-12-31 23:00:00+00:00,66
49W000000000148O,10YNL----------L,376,Borssele 2,Wind Offshore,2023-12-31 23:00:00+00:00,66
49W000000000152X,10YNL----------L,343,Delesto 2,Fossil Gas,2023-12-31 23:00:00+00:00,110
49W000000000154T,10YNL----------L,731.5,Borssele Windfarm III and IV,Wind Offshore,2023-12-31 23:00:00+00:00,400
49W000000000168I,10YNL----------L,382.7,Windpark Fryslan,Wind Onshore,2023-12-31 23:00:00+00:00,110
49W000000000171T,10YNL----------L,657,Hollandse Kust Zuid,Wind Offshore,2023-12-31 23:00:00+00:00,380
49W000000000179D,10YNL----------L,184,Windpark Wieringermeer,Wind Onshore,2023-12-31 23:00:00+00:00,150
49W000000000180S,10YNL----------L,118,Wieringermeer Extension,Wind Onshore,2023-12-31 23:00:00+00:00,150
49W000000000184K,10YNL----------L,760,OWF Hollandse Kust Noord,Wind Offshore,2023-12-31 23:00:00+00:00,380
49W0000000001989,10YNL----------L,116.7,WP Maasvlakte 2,Wind Onshore,2023-12-31 23:00:00+00:00,66
49W0000000002051,10YNL----------L,35,BESS Maxima,Other,2025-12-31 23:00:00+00:00,150
