,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
19W000000000004M,10YPL-AREA-----S,168,EW Włocławek,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,110
19W000000000016F,10YPL-AREA-----S,5102,Bełchatów,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,400
19W000000000033F,10YPL-AREA-----S,156.6,EC Białystok,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000034D,10YPL-AREA-----S,158,Blachownia,Fossil Coal-derived gas,2023-12-31 23:00:00+00:00,110
19W000000000035B,10YPL-AREA-----S,177,Bydgoszcz 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000000369,10YPL-AREA-----S,226,Chorzów,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000040I,10YPL-AREA-----S,94,Czechnica,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000041G,10YPL-AREA-----S,239,FW Darłowo,Wind Onshore,2023-12-31 23:00:00+00:00,400
19W000000000043C,10YPL-AREA-----S,900,Dolna Odra,Fossil Gas,2023-12-31 23:00:00+00:00,400
19W0000000000563,10YPL-AREA-----S,41.4,FW EGL,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W0000000000571,10YPL-AREA-----S,128.9,EC Nowa Sarzyna,Fossil Gas,2023-12-31 23:00:00+00:00,110
19W000000000059Y,10YPL-AREA-----S,217.3,Gdańsk 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000060C,10YPL-AREA-----S,70,Gorzów,Fossil Gas,2023-12-31 23:00:00+00:00,110
19W000000000061A,10YPL-AREA-----S,105.2,Gdynia 3,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000000628,10YPL-AREA-----S,189,Jaworzno 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000000636,10YPL-AREA-----S,1345,Jaworzno 3,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
19W0000000000725,10YPL-AREA-----S,49,Karolin 1,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000000741,10YPL-AREA-----S,212,Karolin 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000076Y,10YPL-AREA-----S,135,Katowice,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000000806,10YPL-AREA-----S,451,Kraków Łęg,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000094W,10YPL-AREA-----S,50,Konin,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,110
19W000000000095U,10YPL-AREA-----S,1797,Kozienice 1,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
19W000000000104I,10YPL-AREA-----S,2207,Kozienice 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
19W000000000106E,10YPL-AREA-----S,205,EC Łódź-3,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000107C,10YPL-AREA-----S,198,EC Łódź-4,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W0000000001098,10YPL-AREA-----S,231,EC Wrotków,Fossil Gas,2023-12-31 23:00:00+00:00,110
19W000000000111L,10YPL-AREA-----S,460,Łagisza,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
19W000000000116B,10YPL-AREA-----S,250,Łaziska 2,Fossil Hard coal,2023-12-31 23:00:00+00:00,0
19W0000000001195,10YPL-AREA-----S,905,Łaziska 3,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
19W0000000001276,10YPL-AREA-----S,120,FW Margonin,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W0000000001292,10YPL-AREA-----S,3342,Opole,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
19W0000000001349,10YPL-AREA-----S,690,Ostrołęka B,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
19W000000000142A,10YPL-AREA-----S,644,Pątnów 1,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,220
19W000000000149X,10YPL-AREA-----S,474,Pątnów 2,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,400
19W0000000001519,10YPL-AREA-----S,1674,Połaniec,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
