,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
46WPU0000000026R,10Y1001A1001A44P,334,Ritsem,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000027P,10Y1001A1001A44P,307,Vietas,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000028N,10Y1001A1001A44P,422,Porjus,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000029L,10Y1001A1001A44P,811,Harsprånget,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000031Y,10Y1001A1001A44P,320,Ligga,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000032W,10Y1001A1001A44P,428,Messaure,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000033U,10Y1001A1001A44P,201,Seitevare,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000035Q,10Y1001A1001A44P,474,Letsi,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000036O,10Y1001A1001A44P,273,Porsi,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000037M,10Y1001A1001A44P,200,Laxede,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000038K,10Y1001A1001A44P,100,Bastusel,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000039I,10Y1001A1001A44P,207,Gallejaur,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000040X,10Y1001A1001A44P,132,Vargfors,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
46WPU0000000103Z,10Y1001A1001A44P,150,Kvistforsen,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,130
46WPU0000000107R,10Y1001A1001A44P,156,Akkats,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,130
46WPU0000000113W,10Y1001A1001A44P,645,MarkbygdenETT,Wind Onshore,2023-12-31 23:00:00+00:00,130
46WPU0000000144L,10Y1001A1001A44P,380,Djupdal,Wind Onshore,2023-12-31 23:00:00+00:00,150
46WPU0000000145J,10Y1001A1001A44P,374,Kallamossen,Wind Onshore,2023-12-31 23:00:00+00:00,150
46WPU0000000147F,10Y1001A1001A44P,253,Markbygden 2 North,Wind Onshore,2023-12-31 23:00:00+00:00,130
46WPU0000000152M,10Y1001A1001A44P,101,Ersträsk South (ERS),Wind Onshore,2023-12-31 23:00:00+00:00,150
46WPU0000000153K,10Y1001A1001A44P,108,Högaliden Vindpark,Wind Onshore,2023-12-31 23:00:00+00:00,130
46WPU0000000207N,10Y1001A1001A44P,134,Ersträsk North (ERN),Wind Onshore,2023-12-31 23:00:00+00:00,150
46WPU0000000208L,10Y1001A1001A44P,148,Lehtirova Wind farm,Wind Onshore,2023-12-31 23:00:00+00:00,150
46WPU0000000225L,10Y1001A1001A44P,270,Gråberget,Wind Onshore,2024-12-31 23:00:00+00:00,150
46WPU0000000226J,10Y1001A1001A44P,116,Snöberget,Wind Onshore,2025-12-31 23:00:00+00:00,150
46WPU0000000236G,10Y1001A1001A44P,98,Blisterliden Vindkraftpark,Wind Onshore,2025-12-31 23:00:00+00:00,150
