,Actual Load
2024-01-01 01:00:00+01:00,7335.32
2024-01-01 01:15:00+01:00,7265.05
2024-01-01 01:30:00+01:00,7247.54
2024-01-01 01:45:00+01:00,7202.48
2024-01-01 02:00:00+01:00,7142.98
2024-01-01 02:15:00+01:00,7066.17
2024-01-01 02:30:00+01:00,7000.93
2024-01-01 02:45:00+01:00,6921.65
2024-01-01 03:00:00+01:00,6878.37
2024-01-01 03:15:00+01:00,6835.46
2024-01-01 03:30:00+01:00,6785.06
2024-01-01 03:45:00+01:00,6754.65
2024-01-01 04:00:00+01:00,6751.79
2024-01-01 04:15:00+01:00,6699.04
2024-01-01 04:30:00+01:00,6680.21
2024-01-01 04:45:00+01:00,6654.29
2024-01-01 05:00:00+01:00,6703.01
2024-01-01 05:15:00+01:00,6707.32
2024-01-01 05:30:00+01:00,6723.33
2024-01-01 05:45:00+01:00,6724.01
2024-01-01 06:00:00+01:00,6805.42
2024-01-01 06:15:00+01:00,6867.33
2024-01-01 06:30:00+01:00,6912.36
2024-01-01 06:45:00+01:00,6907.31
2024-01-01 07:00:00+01:00,6871.1
2024-01-01 07:15:00+01:00,6892.09
2024-01-01 07:30:00+01:00,6956.83
2024-01-01 07:45:00+01:00,6958.63
2024-01-01 08:00:00+01:00,7064.42
2024-01-01 08:15:00+01:00,7145.99
2024-01-01 08:30:00+01:00,7138.52
2024-01-01 08:45:00+01:00,7129.76
2024-01-01 09:00:00+01:00,7206.34
2024-01-01 09:15:00+01:00,7279.86
2024-01-01 09:30:00+01:00,7376.07
2024-01-01 09:45:00+01:00,7444.87
2024-01-01 10:00:00+01:00,7564.02
2024-01-01 10:15:00+01:00,7647.82
2024-01-01 10:30:00+01:00,7724.45
2024-01-01 10:45:00+01:00,7826.85
2024-01-01 11:00:00+01:00,7917.12
2024-01-01 11:15:00+01:00,8008.85
2024-01-01 11:30:00+01:00,8072.74
2024-01-01 11:45:00+01:00,8114.95
2024-01-01 12:00:00+01:00,8167.6
2024-01-01 12:15:00+01:00,8160.49
2024-01-01 12:30:00+01:00,8239.19
2024-01-01 12:45:00+01:00,8251.09
2024-01-01 13:00:00+01:00,8248.05
2024-01-01 13:15:00+01:00,8220.67
2024-01-01 13:30:00+01:00,8198.3
2024-01-01 13:45:00+01:00,8132.33
2024-01-01 14:00:00+01:00,8140.26
2024-01-01 14:15:00+01:00,8107.78
2024-01-01 14:30:00+01:00,8090.76
2024-01-01 14:45:00+01:00,8051.21
2024-01-01 15:00:00+01:00,8061.56
2024-01-01 15:15:00+01:00,8071.0
2024-01-01 15:30:00+01:00,8054.76
2024-01-01 15:45:00+01:00,7991.14
2024-01-01 16:00:00+01:00,7996.33
2024-01-01 16:15:00+01:00,8046.98
2024-01-01 16:30:00+01:00,8123.32
2024-01-01 16:45:00+01:00,8283.06
2024-01-01 17:00:00+01:00,8456.61
2024-01-01 17:15:00+01:00,8517.41
2024-01-01 17:30:00+01:00,8591.99
2024-01-01 17:45:00+01:00,8647.26
2024-01-01 18:00:00+01:00,8741.94
2024-01-01 18:15:00+01:00,8813.11
2024-01-01 18:30:00+01:00,8800.02
2024-01-01 18:45:00+01:00,8772.98
2024-01-01 19:00:00+01:00,8635.37
2024-01-01 19:15:00+01:00,8540.77
2024-01-01 19:30:00+01:00,8468.65
2024-01-01 19:45:00+01:00,8339.39
2024-01-01 20:00:00+01:00,8135.64
2024-01-01 20:15:00+01:00,8052.93
2024-01-01 20:30:00+01:00,8051.66
2024-01-01 20:45:00+01:00,7992.84
2024-01-01 21:00:00+01:00,7946.29
2024-01-01 21:15:00+01:00,7966.59
2024-01-01 21:30:00+01:00,7945.22
2024-01-01 21:45:00+01:00,7875.95
2024-01-01 22:00:00+01:00,8003.15
2024-01-01 22:15:00+01:00,8035.16
2024-01-01 22:30:00+01:00,7972.8
2024-01-01 22:45:00+01:00,7860.91
2024-01-01 23:00:00+01:00,7868.74
2024-01-01 23:15:00+01:00,7816.64
2024-01-01 23:30:00+01:00,7764.24
2024-01-01 23:45:00+01:00,7678.03
2024-01-02 00:00:00+01:00,7647.49
2024-01-02 00:15:00+01:00,7554.18
2024-01-02 00:30:00+01:00,7477.87
2024-01-02 00:45:00+01:00,7377.21
2024-01-02 01:00:00+01:00,7246.12
2024-01-02 01:15:00+01:00,7101.06
2024-01-02 01:30:00+01:00,7056.46
2024-01-02 01:45:00+01:00,6985.17
2024-01-02 02:00:00+01:00,6960.59
2024-01-02 02:15:00+01:00,6884.12
2024-01-02 02:30:00+01:00,6841.6
2024-01-02 02:45:00+01:00,6855.19
2024-01-02 03:00:00+01:00,6812.08
