,Actual Load
2024-01-01 01:00:00+01:00,2241.74
2024-01-01 02:00:00+01:00,2210.01
2024-01-01 03:00:00+01:00,2271.26
2024-01-01 04:00:00+01:00,2213.04
2024-01-01 05:00:00+01:00,2201.46
2024-01-01 06:00:00+01:00,2218.22
2024-01-01 07:00:00+01:00,2262.76
2024-01-01 08:00:00+01:00,2355.66
2024-01-01 09:00:00+01:00,2442.74
2024-01-01 10:00:00+01:00,2495.94
2024-01-01 11:00:00+01:00,2554.25
2024-01-01 12:00:00+01:00,2583.51
2024-01-01 13:00:00+01:00,2656.57
2024-01-01 14:00:00+01:00,2635.14
2024-01-01 15:00:00+01:00,2621.99
2024-01-01 16:00:00+01:00,2560.45
2024-01-01 17:00:00+01:00,2686.62
2024-01-01 18:00:00+01:00,2636.58
2024-01-01 19:00:00+01:00,2505.12
2024-01-01 20:00:00+01:00,2443.36
2024-01-01 21:00:00+01:00,2444.89
2024-01-01 22:00:00+01:00,2377.45
2024-01-01 23:00:00+01:00,2313.55
2024-01-02 00:00:00+01:00,2388.53
2024-01-02 01:00:00+01:00,2379.14
2024-01-02 02:00:00+01:00,2377.38
2024-01-02 03:00:00+01:00,2444.52
2024-01-02 04:00:00+01:00,2466.25
2024-01-02 05:00:00+01:00,2485.71
2024-01-02 06:00:00+01:00,2701.97
2024-01-02 07:00:00+01:00,2869.69
2024-01-02 08:00:00+01:00,3003.28
2024-01-02 09:00:00+01:00,3073.18
2024-01-02 10:00:00+01:00,3113.33
2024-01-02 11:00:00+01:00,3159.5
2024-01-02 12:00:00+01:00,3118.36
2024-01-02 13:00:00+01:00,3143.41
2024-01-02 14:00:00+01:00,3132.07
2024-01-02 15:00:00+01:00,3174.35
2024-01-02 16:00:00+01:00,3266.32
2024-01-02 17:00:00+01:00,3427.68
2024-01-02 18:00:00+01:00,3311.7
2024-01-02 19:00:00+01:00,3391.78
2024-01-02 20:00:00+01:00,3168.87
2024-01-02 21:00:00+01:00,3205.57
2024-01-02 22:00:00+01:00,3027.53
2024-01-02 23:00:00+01:00,2939.26
2024-01-03 00:00:00+01:00,3078.25
2024-01-03 01:00:00+01:00,3137.91
2024-01-03 02:00:00+01:00,3051.56
2024-01-03 03:00:00+01:00,2968.9
2024-01-03 04:00:00+01:00,3006.87
2024-01-03 05:00:00+01:00,3113.93
2024-01-03 06:00:00+01:00,3348.67
2024-01-03 07:00:00+01:00,3483.83
2024-01-03 08:00:00+01:00,3627.5
2024-01-03 09:00:00+01:00,3632.75
2024-01-03 10:00:00+01:00,3691.23
2024-01-03 11:00:00+01:00,3743.89
2024-01-03 12:00:00+01:00,3686.77
2024-01-03 13:00:00+01:00,3690.09
2024-01-03 14:00:00+01:00,3568.07
2024-01-03 15:00:00+01:00,3419.74
2024-01-03 16:00:00+01:00,3479.51
2024-01-03 17:00:00+01:00,3572.44
2024-01-03 18:00:00+01:00,3420.97
2024-01-03 19:00:00+01:00,3245.48
2024-01-03 20:00:00+01:00,3120.88
