,Actual Load
2024-01-01 01:00:00+01:00,11311.9
2024-01-01 01:15:00+01:00,11280.72
2024-01-01 01:30:00+01:00,11247.95
2024-01-01 01:45:00+01:00,11127.99
2024-01-01 02:00:00+01:00,11127.2
2024-01-01 02:15:00+01:00,11073.62
2024-01-01 02:30:00+01:00,10982.28
2024-01-01 02:45:00+01:00,10894.3
2024-01-01 03:00:00+01:00,10848.26
2024-01-01 03:15:00+01:00,10757.63
2024-01-01 03:30:00+01:00,10782.92
2024-01-01 03:45:00+01:00,10714.58
2024-01-01 04:00:00+01:00,10703.44
2024-01-01 04:15:00+01:00,10626.93
2024-01-01 04:30:00+01:00,10598.12
2024-01-01 04:45:00+01:00,10579.73
2024-01-01 05:00:00+01:00,10614.47
2024-01-01 05:15:00+01:00,10661.68
2024-01-01 05:30:00+01:00,10710.22
2024-01-01 05:45:00+01:00,10726.83
2024-01-01 06:00:00+01:00,10851.52
2024-01-01 06:15:00+01:00,10861.34
2024-01-01 06:30:00+01:00,10874.69
2024-01-01 06:45:00+01:00,10911.92
2024-01-01 07:00:00+01:00,11052.11
2024-01-01 07:15:00+01:00,11076.47
2024-01-01 07:30:00+01:00,11202.04
2024-01-01 07:45:00+01:00,11251.75
2024-01-01 08:00:00+01:00,11382.46
2024-01-01 08:15:00+01:00,11556.83
2024-01-01 08:30:00+01:00,11623.94
2024-01-01 08:45:00+01:00,11686.27
2024-01-01 09:00:00+01:00,11789.55
2024-01-01 09:15:00+01:00,11849.63
2024-01-01 09:30:00+01:00,11911.64
2024-01-01 09:45:00+01:00,12063.69
2024-01-01 10:00:00+01:00,12155.82
2024-01-01 10:15:00+01:00,12224.21
2024-01-01 10:30:00+01:00,12246.54
2024-01-01 10:45:00+01:00,12296.2
2024-01-01 11:00:00+01:00,12331.84
2024-01-01 11:15:00+01:00,12352.08
2024-01-01 11:30:00+01:00,12384.52
2024-01-01 11:45:00+01:00,12374.46
2024-01-01 12:00:00+01:00,12379.92
2024-01-01 12:15:00+01:00,12402.74
2024-01-01 12:30:00+01:00,12442.69
2024-01-01 12:45:00+01:00,12496.32
2024-01-01 13:00:00+01:00,12517.71
2024-01-01 13:15:00+01:00,12513.51
2024-01-01 13:30:00+01:00,12549.23
2024-01-01 13:45:00+01:00,12489.41
2024-01-01 14:00:00+01:00,12511.64
2024-01-01 14:15:00+01:00,12568.81
2024-01-01 14:30:00+01:00,12609.98
2024-01-01 14:45:00+01:00,12722.51
2024-01-01 15:00:00+01:00,12829.19
2024-01-01 15:15:00+01:00,12927.9
2024-01-01 15:30:00+01:00,12996.32
2024-01-01 15:45:00+01:00,13165.18
2024-01-01 16:00:00+01:00,13300.64
2024-01-01 16:15:00+01:00,13545.05
2024-01-01 16:30:00+01:00,13656.17
2024-01-01 16:45:00+01:00,13947.79
2024-01-01 17:00:00+01:00,14105.65
2024-01-01 17:15:00+01:00,14303.72
2024-01-01 17:30:00+01:00,14413.79
2024-01-01 17:45:00+01:00,14485.48
2024-01-01 18:00:00+01:00,14495.05
2024-01-01 18:15:00+01:00,14451.77
2024-01-01 18:30:00+01:00,14354.82
2024-01-01 18:45:00+01:00,14301.0
2024-01-01 19:00:00+01:00,14181.38
2024-01-01 19:15:00+01:00,14093.38
2024-01-01 19:30:00+01:00,13906.15
2024-01-01 19:45:00+01:00,13834.95
2024-01-01 20:00:00+01:00,13618.09
2024-01-01 20:15:00+01:00,13414.98
2024-01-01 20:30:00+01:00,13309.81
2024-01-01 20:45:00+01:00,13250.79
2024-01-01 21:00:00+01:00,13135.82
2024-01-01 21:15:00+01:00,13082.88
2024-01-01 21:30:00+01:00,12906.86
2024-01-01 21:45:00+01:00,12790.77
2024-01-01 22:00:00+01:00,12600.64
2024-01-01 22:15:00+01:00,12442.45
2024-01-01 22:30:00+01:00,12232.46
2024-01-01 22:45:00+01:00,12054.5
2024-01-01 23:00:00+01:00,11927.4
2024-01-01 23:15:00+01:00,11796.79
2024-01-01 23:30:00+01:00,11612.07
2024-01-01 23:45:00+01:00,11514.76
2024-01-02 00:00:00+01:00,11475.63
2024-01-02 00:15:00+01:00,11458.79
2024-01-02 00:30:00+01:00,11362.17
2024-01-02 00:45:00+01:00,11203.67
2024-01-02 01:00:00+01:00,11138.51
2024-01-02 01:15:00+01:00,11080.62
2024-01-02 01:30:00+01:00,10992.89
2024-01-02 01:45:00+01:00,10970.47
2024-01-02 02:00:00+01:00,10903.68
2024-01-02 02:15:00+01:00,10896.78
2024-01-02 02:30:00+01:00,10868.03
2024-01-02 02:45:00+01:00,10807.54
2024-01-02 03:00:00+01:00,10838.26
2024-01-02 03:15:00+01:00,10807.98
2024-01-02 03:30:00+01:00,10812.33
2024-01-02 03:45:00+01:00,10800.5
2024-01-02 04:00:00+01:00,10820.46
2024-01-02 04:15:00+01:00,10875.21
2024-01-02 04:30:00+01:00,10896.36
2024-01-02 04:45:00+01:00,10965.82
2024-01-02 05:00:00+01:00,11110.16
2024-01-02 05:15:00+01:00,11231.66
2024-01-02 05:30:00+01:00,11375.63
2024-01-02 05:45:00+01:00,11565.75
2024-01-02 06:00:00+01:00,11954.69
2024-01-02 06:15:00+01:00,12204.92
2024-01-02 06:30:00+01:00,12479.49
2024-01-02 06:45:00+01:00,12728.54
2024-01-02 07:00:00+01:00,13229.04
2024-01-02 07:15:00+01:00,13575.63
2024-01-02 07:30:00+01:00,13919.48
2024-01-02 07:45:00+01:00,14277.78
2024-01-02 08:00:00+01:00,14632.18
2024-01-02 08:15:00+01:00,14934.43
2024-01-02 08:30:00+01:00,15153.03
2024-01-02 08:45:00+01:00,15348.36
2024-01-02 09:00:00+01:00,15484.01
2024-01-02 09:15:00+01:00,15591.77
2024-01-02 09:30:00+01:00,15672.21
2024-01-02 09:45:00+01:00,15689.64
2024-01-02 10:00:00+01:00,15635.59
2024-01-02 10:15:00+01:00,15562.97
2024-01-02 10:30:00+01:00,15528.51
2024-01-02 10:45:00+01:00,15554.97
2024-01-02 11:00:00+01:00,15593.43
2024-01-02 11:15:00+01:00,15636.62
2024-01-02 11:30:00+01:00,15705.3
2024-01-02 11:45:00+01:00,15768.96
2024-01-02 12:00:00+01:00,15863.26
2024-01-02 12:15:00+01:00,15986.66
2024-01-02 12:30:00+01:00,15984.08
2024-01-02 12:45:00+01:00,16011.25
2024-01-02 13:00:00+01:00,16036.99
2024-01-02 13:15:00+01:00,16063.88
2024-01-02 13:30:00+01:00,16068.96
2024-01-02 13:45:00+01:00,16068.26
2024-01-02 14:00:00+01:00,16039.32
2024-01-02 14:15:00+01:00,16012.01
2024-01-02 14:30:00+01:00,16042.95
2024-01-02 14:45:00+01:00,16042.8
2024-01-02 15:00:00+01:00,16083.01
2024-01-02 15:15:00+01:00,16120.72
2024-01-02 15:30:00+01:00,16216.0
2024-01-02 15:45:00+01:00,16276.28
2024-01-02 16:00:00+01:00,16354.61
2024-01-02 16:15:00+01:00,16414.35
2024-01-02 16:30:00+01:00,16536.21
2024-01-02 16:45:00+01:00,16793.41
