,Actual Load
2024-01-01 01:00:00+01:00,5219.49
2024-01-01 02:00:00+01:00,5226.45
2024-01-01 03:00:00+01:00,5182.64
2024-01-01 04:00:00+01:00,5168.31
2024-01-01 05:00:00+01:00,5240.15
2024-01-01 06:00:00+01:00,5342.03
2024-01-01 07:00:00+01:00,5430.79
2024-01-01 08:00:00+01:00,5534.33
2024-01-01 09:00:00+01:00,5669.25
2024-01-01 10:00:00+01:00,5796.32
2024-01-01 11:00:00+01:00,5925.88
2024-01-01 12:00:00+01:00,5996.56
2024-01-01 13:00:00+01:00,6020.09
2024-01-01 14:00:00+01:00,6097.58
2024-01-01 15:00:00+01:00,6199.37
2024-01-01 16:00:00+01:00,6284.3
2024-01-01 17:00:00+01:00,6216.56
2024-01-01 18:00:00+01:00,6183.94
2024-01-01 19:00:00+01:00,6120.58
2024-01-01 20:00:00+01:00,6019.12
2024-01-01 21:00:00+01:00,5924.39
2024-01-01 22:00:00+01:00,5755.39
2024-01-01 23:00:00+01:00,5610.72
2024-01-02 00:00:00+01:00,5448.81
2024-01-02 01:00:00+01:00,5320.51
2024-01-02 02:00:00+01:00,5262.1
2024-01-02 03:00:00+01:00,5261.48
2024-01-02 04:00:00+01:00,5294.34
2024-01-02 05:00:00+01:00,5477.58
2024-01-02 06:00:00+01:00,5928.98
2024-01-02 07:00:00+01:00,6438.37
2024-01-02 08:00:00+01:00,6667.41
2024-01-02 09:00:00+01:00,6766.1
2024-01-02 10:00:00+01:00,6883.72
2024-01-02 11:00:00+01:00,6901.98
2024-01-02 12:00:00+01:00,6906.89
2024-01-02 13:00:00+01:00,6952.04
2024-01-02 14:00:00+01:00,7003.99
2024-01-02 15:00:00+01:00,7065.55
2024-01-02 16:00:00+01:00,7172.04
2024-01-02 17:00:00+01:00,7113.11
2024-01-02 18:00:00+01:00,6989.45
2024-01-02 19:00:00+01:00,6904.35
2024-01-02 20:00:00+01:00,6825.22
2024-01-02 21:00:00+01:00,6663.48
2024-01-02 22:00:00+01:00,6468.82
2024-01-02 23:00:00+01:00,6186.41
2024-01-03 00:00:00+01:00,6019.4
2024-01-03 01:00:00+01:00,5857.19
2024-01-03 02:00:00+01:00,5767.88
2024-01-03 03:00:00+01:00,5709.63
2024-01-03 04:00:00+01:00,5732.67
2024-01-03 05:00:00+01:00,5889.86
2024-01-03 06:00:00+01:00,6400.9
2024-01-03 07:00:00+01:00,6923.36
2024-01-03 08:00:00+01:00,7081.64
2024-01-03 09:00:00+01:00,7093.4
2024-01-03 10:00:00+01:00,7119.1
2024-01-03 11:00:00+01:00,7155.48
2024-01-03 12:00:00+01:00,7158.25
2024-01-03 13:00:00+01:00,7149.88
2024-01-03 14:00:00+01:00,7167.34
2024-01-03 15:00:00+01:00,7242.58
2024-01-03 16:00:00+01:00,7466.14
2024-01-03 17:00:00+01:00,7353.14
2024-01-03 18:00:00+01:00,7219.55
2024-01-03 19:00:00+01:00,7125.23
2024-01-03 20:00:00+01:00,7080.27
2024-01-03 21:00:00+01:00,6828.95
2024-01-03 22:00:00+01:00,6656.97
2024-01-03 23:00:00+01:00,6426.24
2024-01-04 00:00:00+01:00,6203.57
2024-01-04 01:00:00+01:00,6045.21
2024-01-04 02:00:00+01:00,5948.22
2024-01-04 03:00:00+01:00,5913.14
2024-01-04 04:00:00+01:00,5909.13
2024-01-04 05:00:00+01:00,6029.79
2024-01-04 06:00:00+01:00,6477.13
2024-01-04 07:00:00+01:00,7026.93
2024-01-04 08:00:00+01:00,7188.85
2024-01-04 09:00:00+01:00,7141.82
2024-01-04 10:00:00+01:00,7163.41
2024-01-04 11:00:00+01:00,7301.87
2024-01-04 12:00:00+01:00,7139.22
2024-01-04 13:00:00+01:00,7142.02
2024-01-04 14:00:00+01:00,7161.98
2024-01-04 15:00:00+01:00,7304.9
2024-01-04 16:00:00+01:00,7436.95
2024-01-04 17:00:00+01:00,7324.74
2024-01-04 18:00:00+01:00,7263.29
2024-01-04 19:00:00+01:00,7334.32
2024-01-04 20:00:00+01:00,7299.72
2024-01-04 21:00:00+01:00,7164.37
2024-01-04 22:00:00+01:00,7021.47
2024-01-04 23:00:00+01:00,6810.24
2024-01-05 00:00:00+01:00,6612.74
2024-01-05 01:00:00+01:00,6484.79
2024-01-05 02:00:00+01:00,6432.64
2024-01-05 03:00:00+01:00,6426.46
2024-01-05 04:00:00+01:00,6433.93
2024-01-05 05:00:00+01:00,6559.54
2024-01-05 06:00:00+01:00,7041.84
2024-01-05 07:00:00+01:00,7622.61
2024-01-05 08:00:00+01:00,7824.29
2024-01-05 09:00:00+01:00,7844.43
2024-01-05 10:00:00+01:00,7811.3
2024-01-05 11:00:00+01:00,7816.3
2024-01-05 12:00:00+01:00,7659.92
2024-01-05 13:00:00+01:00,7543.39
2024-01-05 14:00:00+01:00,7560.18
2024-01-05 15:00:00+01:00,7615.09
2024-01-05 16:00:00+01:00,7742.18
2024-01-05 17:00:00+01:00,7716.14
2024-01-05 18:00:00+01:00,7653.24
2024-01-05 19:00:00+01:00,7632.17
2024-01-05 20:00:00+01:00,7504.82
2024-01-05 21:00:00+01:00,7400.61
2024-01-05 22:00:00+01:00,7275.6
2024-01-05 23:00:00+01:00,7150.79
2024-01-06 00:00:00+01:00,7072.66
2024-01-06 01:00:00+01:00,6986.99
2024-01-06 02:00:00+01:00,6887.89
2024-01-06 03:00:00+01:00,6844.69
2024-01-06 04:00:00+01:00,6831.29
2024-01-06 05:00:00+01:00,6853.67
2024-01-06 06:00:00+01:00,6935.33
2024-01-06 07:00:00+01:00,7089.15
2024-01-06 08:00:00+01:00,7316.58
2024-01-06 09:00:00+01:00,7553.82
2024-01-06 10:00:00+01:00,7735.76
2024-01-06 11:00:00+01:00,7814.06
2024-01-06 12:00:00+01:00,7729.87
2024-01-06 13:00:00+01:00,7675.02
2024-01-06 14:00:00+01:00,7662.08
2024-01-06 15:00:00+01:00,7683.15
2024-01-06 16:00:00+01:00,7797.99
2024-01-06 17:00:00+01:00,7869.9
2024-01-06 18:00:00+01:00,7880.89
2024-01-06 19:00:00+01:00,7758.36
2024-01-06 20:00:00+01:00,7582.93
2024-01-06 21:00:00+01:00,7419.32
2024-01-06 22:00:00+01:00,7302.28
2024-01-06 23:00:00+01:00,7153.69
2024-01-07 00:00:00+01:00,7049.18
2024-01-07 01:00:00+01:00,6930.11
2024-01-07 02:00:00+01:00,6861.76
2024-01-07 03:00:00+01:00,6828.09
2024-01-07 04:00:00+01:00,6815.79
2024-01-07 05:00:00+01:00,6812.24
2024-01-07 06:00:00+01:00,6849.32
2024-01-07 07:00:00+01:00,6938.9
2024-01-07 08:00:00+01:00,7107.55
