,Actual Load
2024-01-01 01:00:00+01:00,13695.19
2024-01-01 02:00:00+01:00,13190.86
2024-01-01 03:00:00+01:00,12752.41
2024-01-01 04:00:00+01:00,12708.3
2024-01-01 05:00:00+01:00,12810.55
2024-01-01 06:00:00+01:00,13031.38
2024-01-01 07:00:00+01:00,13042.59
2024-01-01 08:00:00+01:00,13265.0
2024-01-01 09:00:00+01:00,13970.26
2024-01-01 10:00:00+01:00,14833.45
2024-01-01 11:00:00+01:00,15593.63
2024-01-01 12:00:00+01:00,16178.48
2024-01-01 13:00:00+01:00,16679.21
2024-01-01 14:00:00+01:00,16669.61
2024-01-01 15:00:00+01:00,16752.64
2024-01-01 16:00:00+01:00,17333.63
2024-01-01 17:00:00+01:00,17323.3
2024-01-01 18:00:00+01:00,17262.66
2024-01-01 19:00:00+01:00,17301.56
2024-01-01 20:00:00+01:00,17014.4
2024-01-01 21:00:00+01:00,16213.79
2024-01-01 22:00:00+01:00,15424.54
2024-01-01 23:00:00+01:00,14435.16
2024-01-02 00:00:00+01:00,13653.49
2024-01-02 01:00:00+01:00,13216.51
2024-01-02 02:00:00+01:00,12978.1
2024-01-02 03:00:00+01:00,13100.9
2024-01-02 04:00:00+01:00,13510.31
2024-01-02 05:00:00+01:00,14635.7
2024-01-02 06:00:00+01:00,17228.64
2024-01-02 07:00:00+01:00,19191.15
2024-01-02 08:00:00+01:00,20306.69
2024-01-02 09:00:00+01:00,21046.26
2024-01-02 10:00:00+01:00,21249.06
2024-01-02 11:00:00+01:00,21560.73
2024-01-02 12:00:00+01:00,21724.68
2024-01-02 13:00:00+01:00,22047.83
2024-01-02 14:00:00+01:00,21734.26
2024-01-02 15:00:00+01:00,21876.73
2024-01-02 16:00:00+01:00,22418.94
2024-01-02 17:00:00+01:00,22289.95
2024-01-02 18:00:00+01:00,21948.5
2024-01-02 19:00:00+01:00,21704.54
2024-01-02 20:00:00+01:00,21113.13
2024-01-02 21:00:00+01:00,19855.46
2024-01-02 22:00:00+01:00,18607.43
2024-01-02 23:00:00+01:00,17226.25
2024-01-03 00:00:00+01:00,16156.63
2024-01-03 01:00:00+01:00,15545.88
2024-01-03 02:00:00+01:00,15404.75
2024-01-03 03:00:00+01:00,15332.56
2024-01-03 04:00:00+01:00,15769.39
2024-01-03 05:00:00+01:00,16799.6
2024-01-03 06:00:00+01:00,19403.93
2024-01-03 07:00:00+01:00,21485.38
2024-01-03 08:00:00+01:00,22722.25
2024-01-03 09:00:00+01:00,22945.03
2024-01-03 10:00:00+01:00,22851.88
2024-01-03 11:00:00+01:00,22971.25
2024-01-03 12:00:00+01:00,23051.85
2024-01-03 13:00:00+01:00,23236.16
2024-01-03 14:00:00+01:00,22836.1
2024-01-03 15:00:00+01:00,22938.15
2024-01-03 16:00:00+01:00,23417.26
2024-01-03 17:00:00+01:00,23485.86
2024-01-03 18:00:00+01:00,23186.05
2024-01-03 19:00:00+01:00,22943.71
2024-01-03 20:00:00+01:00,22288.0
2024-01-03 21:00:00+01:00,20909.44
2024-01-03 22:00:00+01:00,19363.14
2024-01-03 23:00:00+01:00,17998.23
2024-01-04 00:00:00+01:00,16907.54
2024-01-04 01:00:00+01:00,16427.41
2024-01-04 02:00:00+01:00,16057.21
2024-01-04 03:00:00+01:00,15975.88
2024-01-04 04:00:00+01:00,16398.95
2024-01-04 05:00:00+01:00,17352.09
2024-01-04 06:00:00+01:00,19853.71
2024-01-04 07:00:00+01:00,21717.13
2024-01-04 08:00:00+01:00,22639.31
2024-01-04 09:00:00+01:00,23016.85
2024-01-04 10:00:00+01:00,22916.59
2024-01-04 11:00:00+01:00,23326.1
2024-01-04 12:00:00+01:00,23689.8
2024-01-04 13:00:00+01:00,23623.86
2024-01-04 14:00:00+01:00,23233.79
