,Forecasted Load
2024-01-01 01:00:00+01:00,7981.81
2024-01-01 01:15:00+01:00,7918.61
2024-01-01 01:30:00+01:00,7846.26
2024-01-01 01:45:00+01:00,7751.66
2024-01-01 02:00:00+01:00,7667.03
2024-01-01 02:15:00+01:00,7571.5
2024-01-01 02:30:00+01:00,7523.58
2024-01-01 02:45:00+01:00,7447.71
2024-01-01 03:00:00+01:00,7370.84
2024-01-01 03:15:00+01:00,7282.17
2024-01-01 03:30:00+01:00,7257.41
2024-01-01 03:45:00+01:00,7214.48
2024-01-01 04:00:00+01:00,7180.53
2024-01-01 04:15:00+01:00,7131.65
2024-01-01 04:30:00+01:00,7129.56
2024-01-01 04:45:00+01:00,7130.73
2024-01-01 05:00:00+01:00,7130.68
2024-01-01 05:15:00+01:00,7126.56
2024-01-01 05:30:00+01:00,7142.47
2024-01-01 05:45:00+01:00,7156.93
2024-01-01 06:00:00+01:00,7191.41
2024-01-01 06:15:00+01:00,7218.77
2024-01-01 06:30:00+01:00,7271.63
2024-01-01 06:45:00+01:00,7230.5
2024-01-01 07:00:00+01:00,7207.76
2024-01-01 07:15:00+01:00,7191.79
2024-01-01 07:30:00+01:00,7266.38
2024-01-01 07:45:00+01:00,7272.27
2024-01-01 08:00:00+01:00,7283.42
2024-01-01 08:15:00+01:00,7292.1
2024-01-01 08:30:00+01:00,7354.89
2024-01-01 08:45:00+01:00,7369.59
2024-01-01 09:00:00+01:00,7394.68
2024-01-01 09:15:00+01:00,7433.55
2024-01-01 09:30:00+01:00,7506.2
2024-01-01 09:45:00+01:00,7589.74
2024-01-01 10:00:00+01:00,7658.7
2024-01-01 10:15:00+01:00,7733.6
2024-01-01 10:30:00+01:00,7777.62
2024-01-01 10:45:00+01:00,7792.25
2024-01-01 11:00:00+01:00,7801.88
2024-01-01 11:15:00+01:00,7816.47
2024-01-01 11:30:00+01:00,7857.66
2024-01-01 11:45:00+01:00,7912.6
2024-01-01 12:00:00+01:00,7946.65
2024-01-01 12:15:00+01:00,7957.74
2024-01-01 12:30:00+01:00,7917.84
2024-01-01 12:45:00+01:00,7927.83
2024-01-01 13:00:00+01:00,7944.2
2024-01-01 13:15:00+01:00,7969.22
2024-01-01 13:30:00+01:00,7930.3
2024-01-01 13:45:00+01:00,7904.29
2024-01-01 14:00:00+01:00,7893.04
2024-01-01 14:15:00+01:00,7894.19
2024-01-01 14:30:00+01:00,7872.78
2024-01-01 14:45:00+01:00,7876.44
2024-01-01 15:00:00+01:00,7879.55
2024-01-01 15:15:00+01:00,7896.21
2024-01-01 15:30:00+01:00,7891.53
2024-01-01 15:45:00+01:00,7879.77
2024-01-01 16:00:00+01:00,7888.09
2024-01-01 16:15:00+01:00,7913.89
2024-01-01 16:30:00+01:00,7988.14
2024-01-01 16:45:00+01:00,8048.29
2024-01-01 17:00:00+01:00,8132.39
2024-01-01 17:15:00+01:00,8220.23
2024-01-01 17:30:00+01:00,8319.36
2024-01-01 17:45:00+01:00,8379.28
2024-01-01 18:00:00+01:00,8399.64
2024-01-01 18:15:00+01:00,8396.04
2024-01-01 18:30:00+01:00,8368.54
2024-01-01 18:45:00+01:00,8391.37
2024-01-01 19:00:00+01:00,8389.34
2024-01-01 19:15:00+01:00,8379.6
2024-01-01 19:30:00+01:00,8303.6
2024-01-01 19:45:00+01:00,8259.23
2024-01-01 20:00:00+01:00,8219.15
2024-01-01 20:15:00+01:00,8180.94
2024-01-01 20:30:00+01:00,8128.13
2024-01-01 20:45:00+01:00,8104.1
2024-01-01 21:00:00+01:00,8095.4
2024-01-01 21:15:00+01:00,8076.39
2024-01-01 21:30:00+01:00,8015.03
2024-01-01 21:45:00+01:00,8052.76
2024-01-01 22:00:00+01:00,8132.15
2024-01-01 22:15:00+01:00,8236.76
2024-01-01 22:30:00+01:00,8220.58
2024-01-01 22:45:00+01:00,8259.52
2024-01-01 23:00:00+01:00,8276.62
2024-01-01 23:15:00+01:00,8290.03
2024-01-01 23:30:00+01:00,8198.77
2024-01-01 23:45:00+01:00,8168.94
2024-01-02 00:00:00+01:00,8125.38
2024-01-02 00:15:00+01:00,8072.48
2024-01-02 00:30:00+01:00,7957.01
2024-01-02 00:45:00+01:00,7883.88
2024-01-02 01:00:00+01:00,7676.99
2024-01-02 01:15:00+01:00,7551.15
2024-01-02 01:30:00+01:00,7470.36
2024-01-02 01:45:00+01:00,7383.1
2024-01-02 02:00:00+01:00,7355.63
2024-01-02 02:15:00+01:00,7284.84
2024-01-02 02:30:00+01:00,7241.29
2024-01-02 02:45:00+01:00,7187.95
2024-01-02 03:00:00+01:00,7309.03
2024-01-02 03:15:00+01:00,7285.69
2024-01-02 03:30:00+01:00,7271.34
2024-01-02 03:45:00+01:00,7263.0
2024-01-02 04:00:00+01:00,7460.66
2024-01-02 04:15:00+01:00,7486.38
2024-01-02 04:30:00+01:00,7502.3
2024-01-02 04:45:00+01:00,7544.65
2024-01-02 05:00:00+01:00,7827.06
2024-01-02 05:15:00+01:00,7909.58
2024-01-02 05:30:00+01:00,8001.7
2024-01-02 05:45:00+01:00,8138.66
2024-01-02 06:00:00+01:00,8454.03
2024-01-02 06:15:00+01:00,8652.59
2024-01-02 06:30:00+01:00,8859.85
2024-01-02 06:45:00+01:00,9061.75
2024-01-02 07:00:00+01:00,9232.82
2024-01-02 07:15:00+01:00,9414.64
2024-01-02 07:30:00+01:00,9623.93
2024-01-02 07:45:00+01:00,9785.02
2024-01-02 08:00:00+01:00,10132.24
2024-01-02 08:15:00+01:00,10245.18
2024-01-02 08:30:00+01:00,10315.81
2024-01-02 08:45:00+01:00,10376.39
2024-01-02 09:00:00+01:00,9987.49
2024-01-02 09:15:00+01:00,10062.51
2024-01-02 09:30:00+01:00,10123.54
2024-01-02 09:45:00+01:00,10136.78
2024-01-02 10:00:00+01:00,9869.51
2024-01-02 10:15:00+01:00,9887.11
2024-01-02 10:30:00+01:00,9898.79
2024-01-02 10:45:00+01:00,9895.62
2024-01-02 11:00:00+01:00,9934.4
2024-01-02 11:15:00+01:00,9965.9
2024-01-02 11:30:00+01:00,10032.08
2024-01-02 11:45:00+01:00,10076.83
2024-01-02 12:00:00+01:00,9999.95
2024-01-02 12:15:00+01:00,9922.0
2024-01-02 12:30:00+01:00,9914.86
2024-01-02 12:45:00+01:00,9890.67
2024-01-02 13:00:00+01:00,9907.55
2024-01-02 13:15:00+01:00,9841.68
2024-01-02 13:30:00+01:00,9833.7
2024-01-02 13:45:00+01:00,9775.02
2024-01-02 14:00:00+01:00,9713.98
2024-01-02 14:15:00+01:00,9692.61
