,Forecasted Load
2024-01-01 01:00:00+01:00,38678.31
2024-01-01 01:15:00+01:00,38283.82
2024-01-01 01:30:00+01:00,37973.3
2024-01-01 01:45:00+01:00,37407.92
2024-01-01 02:00:00+01:00,37147.44
2024-01-01 02:15:00+01:00,36940.78
2024-01-01 02:30:00+01:00,37065.56
2024-01-01 02:45:00+01:00,37100.05
2024-01-01 03:00:00+01:00,37179.0
2024-01-01 03:15:00+01:00,36859.34
2024-01-01 03:30:00+01:00,36527.81
2024-01-01 03:45:00+01:00,36771.31
2024-01-01 04:00:00+01:00,36643.18
2024-01-01 04:15:00+01:00,36691.44
2024-01-01 04:30:00+01:00,36990.71
2024-01-01 04:45:00+01:00,37015.56
2024-01-01 05:00:00+01:00,37074.87
2024-01-01 05:15:00+01:00,37360.17
2024-01-01 05:30:00+01:00,37615.96
2024-01-01 05:45:00+01:00,37407.29
2024-01-01 06:00:00+01:00,37401.87
2024-01-01 06:15:00+01:00,38286.11
2024-01-01 06:30:00+01:00,38472.63
2024-01-01 06:45:00+01:00,38354.37
2024-01-01 07:00:00+01:00,39133.61
2024-01-01 07:15:00+01:00,39360.77
2024-01-01 07:30:00+01:00,39768.47
2024-01-01 07:45:00+01:00,40361.35
2024-01-01 08:00:00+01:00,41246.56
2024-01-01 08:15:00+01:00,41463.43
2024-01-01 08:30:00+01:00,42811.41
2024-01-01 08:45:00+01:00,43756.79
2024-01-01 09:00:00+01:00,44758.2
2024-01-01 09:15:00+01:00,45607.22
2024-01-01 09:30:00+01:00,46236.27
2024-01-01 09:45:00+01:00,46722.56
2024-01-01 10:00:00+01:00,47638.92
2024-01-01 10:15:00+01:00,48510.4
2024-01-01 10:30:00+01:00,48628.86
2024-01-01 10:45:00+01:00,49388.1
2024-01-01 11:00:00+01:00,50246.95
2024-01-01 11:15:00+01:00,50692.48
2024-01-01 11:30:00+01:00,50970.0
2024-01-01 11:45:00+01:00,51124.62
2024-01-01 12:00:00+01:00,51015.28
2024-01-01 12:15:00+01:00,50983.07
2024-01-01 12:30:00+01:00,50840.57
2024-01-01 12:45:00+01:00,50259.23
2024-01-01 13:00:00+01:00,50682.51
2024-01-01 13:15:00+01:00,49769.91
2024-01-01 13:30:00+01:00,49239.92
2024-01-01 13:45:00+01:00,48963.41
2024-01-01 14:00:00+01:00,49200.02
2024-01-01 14:15:00+01:00,49298.74
2024-01-01 14:30:00+01:00,49082.93
2024-01-01 14:45:00+01:00,48738.05
2024-01-01 15:00:00+01:00,48228.91
2024-01-01 15:15:00+01:00,48183.33
2024-01-01 15:30:00+01:00,47837.42
2024-01-01 15:45:00+01:00,48184.59
2024-01-01 16:00:00+01:00,48613.28
2024-01-01 16:15:00+01:00,48584.65
2024-01-01 16:30:00+01:00,48892.83
2024-01-01 16:45:00+01:00,49715.93
2024-01-01 17:00:00+01:00,50662.99
2024-01-01 17:15:00+01:00,51487.88
2024-01-01 17:30:00+01:00,52266.01
2024-01-01 17:45:00+01:00,52824.82
2024-01-01 18:00:00+01:00,53100.06
2024-01-01 18:15:00+01:00,53059.5
2024-01-01 18:30:00+01:00,53128.65
2024-01-01 18:45:00+01:00,52960.54
2024-01-01 19:00:00+01:00,53237.26
2024-01-01 19:15:00+01:00,52545.59
2024-01-01 19:30:00+01:00,52018.67
2024-01-01 19:45:00+01:00,51532.65
2024-01-01 20:00:00+01:00,51296.83
2024-01-01 20:15:00+01:00,50151.06
2024-01-01 20:30:00+01:00,49260.49
2024-01-01 20:45:00+01:00,48850.92
2024-01-01 21:00:00+01:00,48453.95
2024-01-01 21:15:00+01:00,47578.59
2024-01-01 21:30:00+01:00,47895.36
2024-01-01 21:45:00+01:00,47252.22
2024-01-01 22:00:00+01:00,48892.12
2024-01-01 22:15:00+01:00,48173.21
2024-01-01 22:30:00+01:00,47259.37
2024-01-01 22:45:00+01:00,46818.21
2024-01-01 23:00:00+01:00,45909.94
2024-01-01 23:15:00+01:00,45237.08
2024-01-01 23:30:00+01:00,44799.06
2024-01-01 23:45:00+01:00,44179.52
2024-01-02 00:00:00+01:00,44251.22
2024-01-02 00:15:00+01:00,43640.17
2024-01-02 00:30:00+01:00,43246.0
2024-01-02 00:45:00+01:00,42691.89
2024-01-02 01:00:00+01:00,42293.57
2024-01-02 01:15:00+01:00,42113.71
2024-01-02 01:30:00+01:00,41757.77
2024-01-02 01:45:00+01:00,41575.04
2024-01-02 02:00:00+01:00,41307.58
2024-01-02 02:15:00+01:00,41010.15
2024-01-02 02:30:00+01:00,40946.64
2024-01-02 02:45:00+01:00,41096.54
2024-01-02 03:00:00+01:00,41242.52
2024-01-02 03:15:00+01:00,41344.78
2024-01-02 03:30:00+01:00,41416.01
2024-01-02 03:45:00+01:00,41689.51
2024-01-02 04:00:00+01:00,42386.34
2024-01-02 04:15:00+01:00,42768.86
2024-01-02 04:30:00+01:00,43384.9
2024-01-02 04:45:00+01:00,44015.03
2024-01-02 05:00:00+01:00,45072.29
2024-01-02 05:15:00+01:00,45912.76
2024-01-02 05:30:00+01:00,47053.51
2024-01-02 05:45:00+01:00,48489.89
2024-01-02 06:00:00+01:00,50954.75
2024-01-02 06:15:00+01:00,52757.72
2024-01-02 06:30:00+01:00,53845.16
2024-01-02 06:45:00+01:00,55044.32
2024-01-02 07:00:00+01:00,56544.19
2024-01-02 07:15:00+01:00,57509.19
2024-01-02 07:30:00+01:00,58694.46
2024-01-02 07:45:00+01:00,59249.61
