,Forecasted Load
2024-01-01 01:00:00+01:00,10456.65
2024-01-01 01:15:00+01:00,10334.7
2024-01-01 01:30:00+01:00,10290.15
2024-01-01 01:45:00+01:00,10234.55
2024-01-01 02:00:00+01:00,10233.22
2024-01-01 02:15:00+01:00,10221.46
2024-01-01 02:30:00+01:00,10134.64
2024-01-01 02:45:00+01:00,10106.67
2024-01-01 03:00:00+01:00,10074.67
2024-01-01 03:15:00+01:00,10015.19
2024-01-01 03:30:00+01:00,10004.29
2024-01-01 03:45:00+01:00,10007.85
2024-01-01 04:00:00+01:00,10036.9
2024-01-01 04:15:00+01:00,10086.46
2024-01-01 04:30:00+01:00,10111.38
2024-01-01 04:45:00+01:00,10137.27
2024-01-01 05:00:00+01:00,10222.51
2024-01-01 05:15:00+01:00,10298.15
2024-01-01 05:30:00+01:00,10375.67
2024-01-01 05:45:00+01:00,10499.38
2024-01-01 06:00:00+01:00,10620.33
2024-01-01 06:15:00+01:00,10915.24
2024-01-01 06:30:00+01:00,11148.74
2024-01-01 06:45:00+01:00,11389.98
2024-01-01 07:00:00+01:00,11736.1
2024-01-01 07:15:00+01:00,12128.07
2024-01-01 07:30:00+01:00,12442.69
2024-01-01 07:45:00+01:00,12748.27
2024-01-01 08:00:00+01:00,13015.62
2024-01-01 08:15:00+01:00,13313.2
2024-01-01 08:30:00+01:00,13523.69
2024-01-01 08:45:00+01:00,13718.79
2024-01-01 09:00:00+01:00,13830.45
2024-01-01 09:15:00+01:00,13942.74
2024-01-01 09:30:00+01:00,13963.37
2024-01-01 09:45:00+01:00,13987.9
2024-01-01 10:00:00+01:00,14050.29
2024-01-01 10:15:00+01:00,14072.48
2024-01-01 10:30:00+01:00,14038.83
2024-01-01 10:45:00+01:00,13941.82
2024-01-01 11:00:00+01:00,13878.87
2024-01-01 11:15:00+01:00,13884.84
2024-01-01 11:30:00+01:00,13802.23
2024-01-01 11:45:00+01:00,13806.94
2024-01-01 12:00:00+01:00,13762.31
2024-01-01 12:15:00+01:00,13730.13
2024-01-01 12:30:00+01:00,13648.98
2024-01-01 12:45:00+01:00,13592.5
2024-01-01 13:00:00+01:00,13551.47
2024-01-01 13:15:00+01:00,13672.23
2024-01-01 13:30:00+01:00,13671.84
2024-01-01 13:45:00+01:00,13665.59
2024-01-01 14:00:00+01:00,13837.39
2024-01-01 14:15:00+01:00,13864.37
2024-01-01 14:30:00+01:00,13869.17
2024-01-01 14:45:00+01:00,13866.72
2024-01-01 15:00:00+01:00,13979.47
2024-01-01 15:15:00+01:00,14082.29
2024-01-01 15:30:00+01:00,14161.94
2024-01-01 15:45:00+01:00,14218.67
2024-01-01 16:00:00+01:00,14224.09
2024-01-01 16:15:00+01:00,14246.3
2024-01-01 16:30:00+01:00,14317.51
2024-01-01 16:45:00+01:00,14431.81
2024-01-01 17:00:00+01:00,14495.12
2024-01-01 17:15:00+01:00,14497.09
2024-01-01 17:30:00+01:00,14517.51
2024-01-01 17:45:00+01:00,14519.21
2024-01-01 18:00:00+01:00,14485.16
2024-01-01 18:15:00+01:00,14280.95
2024-01-01 18:30:00+01:00,14127.53
2024-01-01 18:45:00+01:00,14049.89
2024-01-01 19:00:00+01:00,13949.88
2024-01-01 19:15:00+01:00,13808.23
2024-01-01 19:30:00+01:00,13617.04
2024-01-01 19:45:00+01:00,13463.24
2024-01-01 20:00:00+01:00,13265.77
2024-01-01 20:15:00+01:00,13101.9
2024-01-01 20:30:00+01:00,12971.62
2024-01-01 20:45:00+01:00,12815.56
2024-01-01 21:00:00+01:00,12520.05
2024-01-01 21:15:00+01:00,12341.18
2024-01-01 21:30:00+01:00,12188.33
2024-01-01 21:45:00+01:00,12005.98
2024-01-01 22:00:00+01:00,11766.43
2024-01-01 22:15:00+01:00,11518.51
2024-01-01 22:30:00+01:00,11330.34
2024-01-01 22:45:00+01:00,11150.68
2024-01-01 23:00:00+01:00,11024.0
2024-01-01 23:15:00+01:00,10819.89
2024-01-01 23:30:00+01:00,10634.62
2024-01-01 23:45:00+01:00,10442.54
2024-01-02 00:00:00+01:00,10322.0
2024-01-02 00:15:00+01:00,10271.82
2024-01-02 00:30:00+01:00,10185.81
2024-01-02 00:45:00+01:00,10054.62
2024-01-02 01:00:00+01:00,9968.96
2024-01-02 01:15:00+01:00,9921.55
2024-01-02 01:30:00+01:00,9795.19
2024-01-02 01:45:00+01:00,9697.23
2024-01-02 02:00:00+01:00,9618.53
2024-01-02 02:15:00+01:00,9580.82
2024-01-02 02:30:00+01:00,9488.26
2024-01-02 02:45:00+01:00,9459.13
2024-01-02 03:00:00+01:00,9433.59
2024-01-02 03:15:00+01:00,9365.25
2024-01-02 03:30:00+01:00,9350.71
2024-01-02 03:45:00+01:00,9323.23
2024-01-02 04:00:00+01:00,9425.75
2024-01-02 04:15:00+01:00,9510.56
2024-01-02 04:30:00+01:00,9480.79
2024-01-02 04:45:00+01:00,9488.67
2024-01-02 05:00:00+01:00,9604.81
2024-01-02 05:15:00+01:00,9746.29
2024-01-02 05:30:00+01:00,9850.54
2024-01-02 05:45:00+01:00,9983.3
2024-01-02 06:00:00+01:00,10286.37
2024-01-02 06:15:00+01:00,10644.95
2024-01-02 06:30:00+01:00,10931.49
2024-01-02 06:45:00+01:00,11240.28
2024-01-02 07:00:00+01:00,11661.33
2024-01-02 07:15:00+01:00,11993.3
2024-01-02 07:30:00+01:00,12268.61
2024-01-02 07:45:00+01:00,12528.0
2024-01-02 08:00:00+01:00,12726.26
2024-01-02 08:15:00+01:00,12984.86
2024-01-02 08:30:00+01:00,13197.58
2024-01-02 08:45:00+01:00,13365.7
2024-01-02 09:00:00+01:00,13471.46
2024-01-02 09:15:00+01:00,13531.82
2024-01-02 09:30:00+01:00,13555.26
2024-01-02 09:45:00+01:00,13537.55
2024-01-02 10:00:00+01:00,13589.79
2024-01-02 10:15:00+01:00,13553.13
2024-01-02 10:30:00+01:00,13367.96
2024-01-02 10:45:00+01:00,13282.62
2024-01-02 11:00:00+01:00,13290.25
2024-01-02 11:15:00+01:00,13202.18
2024-01-02 11:30:00+01:00,13181.79
2024-01-02 11:45:00+01:00,13186.18
2024-01-02 12:00:00+01:00,13324.9
2024-01-02 12:15:00+01:00,13402.15
2024-01-02 12:30:00+01:00,13482.75
2024-01-02 12:45:00+01:00,13574.95
2024-01-02 13:00:00+01:00,13662.54
2024-01-02 13:15:00+01:00,13726.39
2024-01-02 13:30:00+01:00,13718.89
2024-01-02 13:45:00+01:00,13742.73
2024-01-02 14:00:00+01:00,13928.26
2024-01-02 14:15:00+01:00,14165.16
2024-01-02 14:30:00+01:00,14331.84
2024-01-02 14:45:00+01:00,14434.68
2024-01-02 15:00:00+01:00,14458.64
2024-01-02 15:15:00+01:00,14605.88
2024-01-02 15:30:00+01:00,14666.36
2024-01-02 15:45:00+01:00,14712.86
2024-01-02 16:00:00+01:00,14770.38
2024-01-02 16:15:00+01:00,14981.98
2024-01-02 16:30:00+01:00,15095.51
2024-01-02 16:45:00+01:00,15180.72
2024-01-02 17:00:00+01:00,15274.02
2024-01-02 17:15:00+01:00,15280.05
2024-01-02 17:30:00+01:00,15398.93
2024-01-02 17:45:00+01:00,15450.55
2024-01-02 18:00:00+01:00,15350.7
2024-01-02 18:15:00+01:00,15232.09
2024-01-02 18:30:00+01:00,15094.01
2024-01-02 18:45:00+01:00,14951.87
2024-01-02 19:00:00+01:00,14755.38
2024-01-02 19:15:00+01:00,14601.24
2024-01-02 19:30:00+01:00,14478.93
2024-01-02 19:45:00+01:00,14356.47
2024-01-02 20:00:00+01:00,14117.06
2024-01-02 20:15:00+01:00,13977.02
2024-01-02 20:30:00+01:00,13851.57
2024-01-02 20:45:00+01:00,13698.71
2024-01-02 21:00:00+01:00,13457.49
2024-01-02 21:15:00+01:00,13282.02
2024-01-02 21:30:00+01:00,13147.35
2024-01-02 21:45:00+01:00,12997.76
2024-01-02 22:00:00+01:00,12728.6
2024-01-02 22:15:00+01:00,12498.71
2024-01-02 22:30:00+01:00,12372.91
2024-01-02 22:45:00+01:00,12144.33
2024-01-02 23:00:00+01:00,12012.41
2024-01-02 23:15:00+01:00,11884.93
2024-01-02 23:30:00+01:00,11772.48
2024-01-02 23:45:00+01:00,11593.15
2024-01-03 00:00:00+01:00,11403.12
2024-01-03 00:15:00+01:00,11493.73
2024-01-03 00:30:00+01:00,11366.2
2024-01-03 00:45:00+01:00,11219.55
2024-01-03 01:00:00+01:00,11079.06
2024-01-03 01:15:00+01:00,10966.22
2024-01-03 01:30:00+01:00,10875.95
2024-01-03 01:45:00+01:00,10751.91
2024-01-03 02:00:00+01:00,10648.05
2024-01-03 02:15:00+01:00,10598.12
2024-01-03 02:30:00+01:00,10571.54
2024-01-03 02:45:00+01:00,10499.3
2024-01-03 03:00:00+01:00,10426.53
2024-01-03 03:15:00+01:00,10420.23
2024-01-03 03:30:00+01:00,10389.32
2024-01-03 03:45:00+01:00,10341.3
2024-01-03 04:00:00+01:00,10325.53
2024-01-03 04:15:00+01:00,10342.57
2024-01-03 04:30:00+01:00,10321.12
2024-01-03 04:45:00+01:00,10321.76
2024-01-03 05:00:00+01:00,10358.07
2024-01-03 05:15:00+01:00,10447.14
2024-01-03 05:30:00+01:00,10532.91
2024-01-03 05:45:00+01:00,10662.15
2024-01-03 06:00:00+01:00,10864.87
2024-01-03 06:15:00+01:00,11187.75
2024-01-03 06:30:00+01:00,11408.26
2024-01-03 06:45:00+01:00,11601.56
2024-01-03 07:00:00+01:00,11847.22
2024-01-03 07:15:00+01:00,12251.36
2024-01-03 07:30:00+01:00,12626.27
2024-01-03 07:45:00+01:00,12986.97
2024-01-03 08:00:00+01:00,13327.6
2024-01-03 08:15:00+01:00,13660.07
2024-01-03 08:30:00+01:00,13881.54
2024-01-03 08:45:00+01:00,14043.35
2024-01-03 09:00:00+01:00,14085.78
2024-01-03 09:15:00+01:00,14168.68
2024-01-03 09:30:00+01:00,14169.41
2024-01-03 09:45:00+01:00,14146.32
2024-01-03 10:00:00+01:00,14118.55
2024-01-03 10:15:00+01:00,14085.11
2024-01-03 10:30:00+01:00,14018.2
2024-01-03 10:45:00+01:00,13918.87
2024-01-03 11:00:00+01:00,13824.32
2024-01-03 11:15:00+01:00,13742.93
2024-01-03 11:30:00+01:00,13632.78
2024-01-03 11:45:00+01:00,13586.04
2024-01-03 12:00:00+01:00,13531.19
2024-01-03 12:15:00+01:00,13445.45
2024-01-03 12:30:00+01:00,13513.23
2024-01-03 12:45:00+01:00,13481.64
2024-01-03 13:00:00+01:00,13482.51
2024-01-03 13:15:00+01:00,13517.39
2024-01-03 13:30:00+01:00,13586.76
2024-01-03 13:45:00+01:00,13681.53
2024-01-03 14:00:00+01:00,13810.42
2024-01-03 14:15:00+01:00,13814.79
2024-01-03 14:30:00+01:00,13765.98
2024-01-03 14:45:00+01:00,13793.53
2024-01-03 15:00:00+01:00,13785.17
2024-01-03 15:15:00+01:00,13723.13
2024-01-03 15:30:00+01:00,13732.21
2024-01-03 15:45:00+01:00,13757.56
2024-01-03 16:00:00+01:00,13906.37
2024-01-03 16:15:00+01:00,13894.96
2024-01-03 16:30:00+01:00,13968.5
2024-01-03 16:45:00+01:00,14062.86
2024-01-03 17:00:00+01:00,14138.75
2024-01-03 17:15:00+01:00,14106.16
2024-01-03 17:30:00+01:00,14129.85
2024-01-03 17:45:00+01:00,14099.71
2024-01-03 18:00:00+01:00,13947.97
2024-01-03 18:15:00+01:00,13632.49
2024-01-03 18:30:00+01:00,13384.2
2024-01-03 18:45:00+01:00,13191.32
2024-01-03 19:00:00+01:00,13031.19
2024-01-03 19:15:00+01:00,12829.11
2024-01-03 19:30:00+01:00,12638.1
2024-01-03 19:45:00+01:00,12510.2
2024-01-03 20:00:00+01:00,12481.47
2024-01-03 20:15:00+01:00,12464.06
2024-01-03 20:30:00+01:00,12318.84
2024-01-03 20:45:00+01:00,12122.86
2024-01-03 21:00:00+01:00,12008.07
2024-01-03 21:15:00+01:00,11946.76
2024-01-03 21:30:00+01:00,11829.94
2024-01-03 21:45:00+01:00,11717.36
2024-01-03 22:00:00+01:00,11611.28
2024-01-03 22:15:00+01:00,11435.68
2024-01-03 22:30:00+01:00,11303.55
2024-01-03 22:45:00+01:00,11155.76
2024-01-03 23:00:00+01:00,11009.56
2024-01-03 23:15:00+01:00,10847.72
2024-01-03 23:30:00+01:00,10700.69
2024-01-03 23:45:00+01:00,10533.33
2024-01-04 00:00:00+01:00,10464.71
2024-01-04 00:15:00+01:00,10506.57
2024-01-04 00:30:00+01:00,10387.89
2024-01-04 00:45:00+01:00,10358.56
2024-01-04 01:00:00+01:00,10266.93
2024-01-04 01:15:00+01:00,10176.98
2024-01-04 01:30:00+01:00,10071.59
2024-01-04 01:45:00+01:00,10000.0
2024-01-04 02:00:00+01:00,9889.0
2024-01-04 02:15:00+01:00,9767.46
2024-01-04 02:30:00+01:00,9751.67
2024-01-04 02:45:00+01:00,9720.89
2024-01-04 03:00:00+01:00,9679.16
2024-01-04 03:15:00+01:00,9675.68
2024-01-04 03:30:00+01:00,9667.19
2024-01-04 03:45:00+01:00,9645.21
2024-01-04 04:00:00+01:00,9715.53
2024-01-04 04:15:00+01:00,9793.01
2024-01-04 04:30:00+01:00,9815.22
2024-01-04 04:45:00+01:00,9814.14
2024-01-04 05:00:00+01:00,9865.63
2024-01-04 05:15:00+01:00,9988.19
2024-01-04 05:30:00+01:00,10122.41
2024-01-04 05:45:00+01:00,10257.91
2024-01-04 06:00:00+01:00,10471.32
2024-01-04 06:15:00+01:00,10748.96
2024-01-04 06:30:00+01:00,10951.97
2024-01-04 06:45:00+01:00,11149.9
2024-01-04 07:00:00+01:00,11447.96
2024-01-04 07:15:00+01:00,11845.35
2024-01-04 07:30:00+01:00,12206.78
2024-01-04 07:45:00+01:00,12455.97
2024-01-04 08:00:00+01:00,12776.15
2024-01-04 08:15:00+01:00,13142.9
2024-01-04 08:30:00+01:00,13425.44
2024-01-04 08:45:00+01:00,13594.72
2024-01-04 09:00:00+01:00,13708.52
2024-01-04 09:15:00+01:00,13803.85
2024-01-04 09:30:00+01:00,13774.4
2024-01-04 09:45:00+01:00,13701.49
2024-01-04 10:00:00+01:00,13609.33
2024-01-04 10:15:00+01:00,13481.03
2024-01-04 10:30:00+01:00,13382.4
2024-01-04 10:45:00+01:00,13320.23
2024-01-04 11:00:00+01:00,13180.42
2024-01-04 11:15:00+01:00,12957.81
2024-01-04 11:30:00+01:00,12977.46
2024-01-04 11:45:00+01:00,12877.61
2024-01-04 12:00:00+01:00,12888.07
2024-01-04 12:15:00+01:00,12810.08
2024-01-04 12:30:00+01:00,12736.91
2024-01-04 12:45:00+01:00,12701.35
2024-01-04 13:00:00+01:00,12745.18
2024-01-04 13:15:00+01:00,12790.66
2024-01-04 13:30:00+01:00,12826.66
2024-01-04 13:45:00+01:00,12860.82
2024-01-04 14:00:00+01:00,12879.41
2024-01-04 14:15:00+01:00,12854.84
2024-01-04 14:30:00+01:00,12905.43
2024-01-04 14:45:00+01:00,12950.48
2024-01-04 15:00:00+01:00,13038.51
2024-01-04 15:15:00+01:00,13204.59
2024-01-04 15:30:00+01:00,13420.41
2024-01-04 15:45:00+01:00,13542.71
2024-01-04 16:00:00+01:00,13708.83
2024-01-04 16:15:00+01:00,13807.38
2024-01-04 16:30:00+01:00,13809.76
2024-01-04 16:45:00+01:00,13899.59
2024-01-04 17:00:00+01:00,13965.53
2024-01-04 17:15:00+01:00,13960.94
2024-01-04 17:30:00+01:00,14024.01
2024-01-04 17:45:00+01:00,13998.27
2024-01-04 18:00:00+01:00,13854.67
2024-01-04 18:15:00+01:00,13580.87
2024-01-04 18:30:00+01:00,13396.64
2024-01-04 18:45:00+01:00,13266.56
2024-01-04 19:00:00+01:00,13114.89
2024-01-04 19:15:00+01:00,12874.82
2024-01-04 19:30:00+01:00,12741.49
2024-01-04 19:45:00+01:00,12702.89
2024-01-04 20:00:00+01:00,12624.23
2024-01-04 20:15:00+01:00,12544.88
2024-01-04 20:30:00+01:00,12471.43
2024-01-04 20:45:00+01:00,12357.75
2024-01-04 21:00:00+01:00,12243.64
2024-01-04 21:15:00+01:00,12119.68
2024-01-04 21:30:00+01:00,12022.72
2024-01-04 21:45:00+01:00,11858.39
2024-01-04 22:00:00+01:00,11708.49
2024-01-04 22:15:00+01:00,11486.71
2024-01-04 22:30:00+01:00,11323.35
2024-01-04 22:45:00+01:00,11174.51
2024-01-04 23:00:00+01:00,11051.51
2024-01-04 23:15:00+01:00,10935.53
2024-01-04 23:30:00+01:00,10824.73
2024-01-04 23:45:00+01:00,10671.9
2024-01-05 00:00:00+01:00,10650.2
2024-01-05 00:15:00+01:00,10692.88
2024-01-05 00:30:00+01:00,10609.87
2024-01-05 00:45:00+01:00,10508.13
2024-01-05 01:00:00+01:00,10376.31
2024-01-05 01:15:00+01:00,10238.83
2024-01-05 01:30:00+01:00,10130.34
2024-01-05 01:45:00+01:00,10057.81
2024-01-05 02:00:00+01:00,9974.09
2024-01-05 02:15:00+01:00,9888.76
2024-01-05 02:30:00+01:00,9864.4
2024-01-05 02:45:00+01:00,9833.08
2024-01-05 03:00:00+01:00,9802.22
2024-01-05 03:15:00+01:00,9808.58
2024-01-05 03:30:00+01:00,9789.35
2024-01-05 03:45:00+01:00,9796.91
2024-01-05 04:00:00+01:00,9796.98
2024-01-05 04:15:00+01:00,9787.13
2024-01-05 04:30:00+01:00,9772.9
2024-01-05 04:45:00+01:00,9776.76
2024-01-05 05:00:00+01:00,9796.49
2024-01-05 05:15:00+01:00,9900.33
2024-01-05 05:30:00+01:00,10013.03
2024-01-05 05:45:00+01:00,10097.37
2024-01-05 06:00:00+01:00,10315.67
2024-01-05 06:15:00+01:00,10640.28
2024-01-05 06:30:00+01:00,10872.59
2024-01-05 06:45:00+01:00,11073.35
2024-01-05 07:00:00+01:00,11359.54
2024-01-05 07:15:00+01:00,11802.92
2024-01-05 07:30:00+01:00,12201.97
2024-01-05 07:45:00+01:00,12437.42
2024-01-05 08:00:00+01:00,12689.76
2024-01-05 08:15:00+01:00,13017.98
2024-01-05 08:30:00+01:00,13228.79
2024-01-05 08:45:00+01:00,13355.01
2024-01-05 09:00:00+01:00,13384.76
2024-01-05 09:15:00+01:00,13420.1
2024-01-05 09:30:00+01:00,13473.73
2024-01-05 09:45:00+01:00,13280.82
2024-01-05 10:00:00+01:00,13252.54
2024-01-05 10:15:00+01:00,13109.24
2024-01-05 10:30:00+01:00,13008.33
2024-01-05 10:45:00+01:00,12928.11
2024-01-05 11:00:00+01:00,12844.43
2024-01-05 11:15:00+01:00,12692.29
2024-01-05 11:30:00+01:00,12583.72
2024-01-05 11:45:00+01:00,12527.0
2024-01-05 12:00:00+01:00,12442.81
2024-01-05 12:15:00+01:00,12298.92
2024-01-05 12:30:00+01:00,12220.89
2024-01-05 12:45:00+01:00,12237.88
2024-01-05 13:00:00+01:00,12247.64
2024-01-05 13:15:00+01:00,12270.43
2024-01-05 13:30:00+01:00,12325.53
2024-01-05 13:45:00+01:00,12352.86
2024-01-05 14:00:00+01:00,12395.34
2024-01-05 14:15:00+01:00,12528.43
2024-01-05 14:30:00+01:00,12674.09
2024-01-05 14:45:00+01:00,12782.71
2024-01-05 15:00:00+01:00,12935.67
2024-01-05 15:15:00+01:00,13095.3
2024-01-05 15:30:00+01:00,13367.87
2024-01-05 15:45:00+01:00,13830.37
2024-01-05 16:00:00+01:00,13542.47
2024-01-05 16:15:00+01:00,13413.48
2024-01-05 16:30:00+01:00,13411.83
2024-01-05 16:45:00+01:00,13424.87
2024-01-05 17:00:00+01:00,13427.05
2024-01-05 17:15:00+01:00,13442.82
2024-01-05 17:30:00+01:00,13522.61
2024-01-05 17:45:00+01:00,13593.81
2024-01-05 18:00:00+01:00,13584.06
2024-01-05 18:15:00+01:00,13387.35
2024-01-05 18:30:00+01:00,13277.87
2024-01-05 18:45:00+01:00,13143.38
2024-01-05 19:00:00+01:00,12976.73
2024-01-05 19:15:00+01:00,12744.38
2024-01-05 19:30:00+01:00,12576.49
2024-01-05 19:45:00+01:00,12532.03
2024-01-05 20:00:00+01:00,12421.11
2024-01-05 20:15:00+01:00,12188.07
2024-01-05 20:30:00+01:00,12020.98
2024-01-05 20:45:00+01:00,11897.34
2024-01-05 21:00:00+01:00,11778.65
2024-01-05 21:15:00+01:00,11681.6
2024-01-05 21:30:00+01:00,11576.24
