,Forecasted Load
2024-01-01 01:00:00+01:00,5202.2
2024-01-01 02:00:00+01:00,5185.26
2024-01-01 03:00:00+01:00,5156.36
2024-01-01 04:00:00+01:00,5145.17
2024-01-01 05:00:00+01:00,5161.01
2024-01-01 06:00:00+01:00,5240.21
2024-01-01 07:00:00+01:00,5321.24
2024-01-01 08:00:00+01:00,5478.66
2024-01-01 09:00:00+01:00,5681.23
2024-01-01 10:00:00+01:00,5872.5
2024-01-01 11:00:00+01:00,5969.6
2024-01-01 12:00:00+01:00,5995.63
2024-01-01 13:00:00+01:00,6015.48
2024-01-01 14:00:00+01:00,6056.16
2024-01-01 15:00:00+01:00,6135.19
2024-01-01 16:00:00+01:00,6253.33
2024-01-01 17:00:00+01:00,6255.36
2024-01-01 18:00:00+01:00,6172.85
2024-01-01 19:00:00+01:00,6123.94
2024-01-01 20:00:00+01:00,6096.44
2024-01-01 21:00:00+01:00,6015.08
2024-01-01 22:00:00+01:00,5861.71
2024-01-01 23:00:00+01:00,5674.2
2024-01-02 00:00:00+01:00,5547.24
2024-01-02 01:00:00+01:00,5498.05
2024-01-02 02:00:00+01:00,5423.06
2024-01-02 03:00:00+01:00,5363.62
2024-01-02 04:00:00+01:00,5418.13
2024-01-02 05:00:00+01:00,5621.89
2024-01-02 06:00:00+01:00,5783.12
2024-01-02 07:00:00+01:00,6257.22
2024-01-02 08:00:00+01:00,6602.19
2024-01-02 09:00:00+01:00,6705.48
2024-01-02 10:00:00+01:00,6811.03
2024-01-02 11:00:00+01:00,6846.74
2024-01-02 12:00:00+01:00,6864.37
2024-01-02 13:00:00+01:00,6857.34
2024-01-02 14:00:00+01:00,6940.75
2024-01-02 15:00:00+01:00,7073.76
2024-01-02 16:00:00+01:00,7100.57
2024-01-02 17:00:00+01:00,7099.13
2024-01-02 18:00:00+01:00,6983.37
2024-01-02 19:00:00+01:00,6913.36
2024-01-02 20:00:00+01:00,6843.96
2024-01-02 21:00:00+01:00,6628.78
2024-01-02 22:00:00+01:00,6407.33
2024-01-02 23:00:00+01:00,6250.73
2024-01-03 00:00:00+01:00,5981.34
2024-01-03 01:00:00+01:00,5948.76
2024-01-03 02:00:00+01:00,5810.19
2024-01-03 03:00:00+01:00,5739.05
2024-01-03 04:00:00+01:00,5757.5
2024-01-03 05:00:00+01:00,5928.74
2024-01-03 06:00:00+01:00,6318.37
2024-01-03 07:00:00+01:00,6869.89
2024-01-03 08:00:00+01:00,7112.17
2024-01-03 09:00:00+01:00,7113.79
2024-01-03 10:00:00+01:00,7144.7
2024-01-03 11:00:00+01:00,7092.46
2024-01-03 12:00:00+01:00,7179.54
2024-01-03 13:00:00+01:00,7147.17
2024-01-03 14:00:00+01:00,7233.2
2024-01-03 15:00:00+01:00,7271.25
2024-01-03 16:00:00+01:00,7332.14
